0,1
img_000065,"[459.0, 292.0, 0.1617601364850998, 482.0, 316.0, 0.9094656109809875, 508.0, 312.0, 0.8531143665313721, 535.0, 360.0, 0.6508753895759583, 529.0, 406.0, 0.2605621814727783, 456.0, 320.0, 0.8654496073722839, 452.0, 365.0, 0.7937132120132446, 451.0, 398.0, 0.673088014125824, 514.0, 407.0, 0.9120049476623535, 526.0, 496.0, 0.8683316707611084, 538.0, 579.0, 0.8700307607650757, 472.0, 411.0, 0.9219741225242615, 466.0, 501.0, 0.9088656306266785, 458.0, 586.0, 0.6708489656448364, -1, -1, -1, 456.0, 282.0, 0.180023655295372, 481.0, 279.0, 0.537774920463562, 457.0, 282.0, 0.7640408277511597]"
img_001153,"[401.0, 366.0, 0.17002679407596588, 403.0, 388.0, 0.9426975250244141, 428.0, 392.0, 0.8443131446838379, 442.0, 434.0, 0.5525323748588562, 419.0, 457.0, 0.2173387110233307, 373.0, 388.0, 0.9032384157180786, 352.0, 430.0, 0.8678297996520996, 335.0, 457.0, 0.6721253395080566, 421.0, 483.0, 0.8990525007247925, 409.0, 540.0, 0.7762259244918823, 397.0, 598.0, 0.7708864212036133, 378.0, 483.0, 0.8373851776123047, 349.0, 523.0, 0.7647332549095154, 350.0, 583.0, 0.6941713094711304, -1, -1, -1, 400.0, 351.0, 0.15291345119476318, 414.0, 357.0, 0.6004688739776611, 389.0, 354.0, 0.7783617973327637]"
img_000193,"[-1, -1, -1, 400.0, 390.0, 0.9373661875724792, 428.0, 395.0, 0.8418404459953308, 434.0, 431.0, 0.42466795444488525, -1, -1, -1, 369.0, 385.0, 0.8952930569648743, 330.0, 414.0, 0.8040609359741211, 309.0, 403.0, 0.614479660987854, 417.0, 489.0, 0.834331214427948, 404.0, 538.0, 0.7201790809631348, 396.0, 601.0, 0.7261749505996704, 375.0, 489.0, 0.8232854604721069, 348.0, 532.0, 0.6893094778060913, 349.0, 588.0, 0.6641250252723694, -1, -1, -1, 370.0, 360.0, 0.1345592737197876, 413.0, 352.0, 0.49833327531814575, 381.0, 353.0, 0.8290615677833557]"
img_000577,"[365.0, 368.0, 0.10739192366600037, 392.0, 395.0, 0.9413046836853027, 419.0, 398.0, 0.8619236350059509, 424.0, 433.0, 0.44830650091171265, -1, -1, -1, 365.0, 392.0, 0.9170432090759277, 330.0, 425.0, 0.8129900693893433, 302.0, 420.0, 0.7331814765930176, 414.0, 484.0, 0.8286807537078857, 406.0, 538.0, 0.744674026966095, 399.0, 600.0, 0.7412001490592957, 373.0, 486.0, 0.8281067609786987, 351.0, 529.0, 0.6953086256980896, 351.0, 590.0, 0.6913729906082153, -1, -1, -1, 364.0, 363.0, 0.1285451352596283, 407.0, 359.0, 0.47828036546707153, 371.0, 359.0, 0.8428013324737549]"
img_000769,"[361.0, 362.0, 0.3002411127090454, 391.0, 392.0, 0.9480656385421753, 416.0, 394.0, 0.8381837606430054, 428.0, 434.0, 0.36163413524627686, -1, -1, -1, 366.0, 391.0, 0.899086594581604, 330.0, 423.0, 0.7580323219299316, 316.0, 399.0, 0.608180820941925, 415.0, 487.0, 0.8133547306060791, 404.0, 541.0, 0.6582899689674377, 396.0, 599.0, 0.6785903573036194, 374.0, 487.0, 0.817510724067688, 343.0, 530.0, 0.6475322246551514, 350.0, 590.0, 0.6569592952728271, -1, -1, -1, 364.0, 354.0, 0.36649665236473083, 407.0, 360.0, 0.2846033275127411, 373.0, 357.0, 0.8769429922103882]"
img_000833,"[363.0, 364.0, 0.21348519623279572, 395.0, 393.0, 0.9503657221794128, 421.0, 394.0, 0.8478888273239136, 427.0, 434.0, 0.4389144480228424, -1, -1, -1, 366.0, 391.0, 0.9464495778083801, 334.0, 428.0, 0.8698719143867493, 300.0, 441.0, 0.7091077566146851, 418.0, 484.0, 0.8410454392433167, 408.0, 534.0, 0.7258105278015137, 401.0, 597.0, 0.7472212314605713, 376.0, 487.0, 0.8168864846229553, 350.0, 524.0, 0.6725958585739136, 352.0, 589.0, 0.7319424152374268, -1, -1, -1, 365.0, 354.0, 0.27431827783584595, 411.0, 360.0, 0.3750503361225128, 373.0, 358.0, 0.9255818724632263]"
img_002049,"[-1, -1, -1, 710.0, 326.0, 0.954276442527771, 757.0, 329.0, 0.8667088150978088, 793.0, 341.0, 0.7335340976715088, 760.0, 291.0, 0.5052420496940613, 666.0, 322.0, 0.948001503944397, 628.0, 396.0, 0.9216061234474182, 640.0, 435.0, 0.27010950446128845, 731.0, 474.0, 0.8966711759567261, 720.0, 579.0, 0.9454478621482849, 723.0, 668.0, 0.8765418529510498, 674.0, 471.0, 0.9009189605712891, 668.0, 589.0, 1.0207570791244507, 675.0, 698.0, 0.9150513410568237, -1, -1, -1, -1, -1, -1, 740.0, 284.0, 0.7870393991470337, 691.0, 284.0, 0.5709904432296753]"
img_000257,"[419.0, 367.0, 0.3581760823726654, 406.0, 394.0, 0.930010199546814, 419.0, 395.0, 0.8541268110275269, 432.0, 438.0, 0.6204738020896912, 433.0, 453.0, 0.4075701832771301, 381.0, 393.0, 0.8357110619544983, 367.0, 432.0, 0.5473321676254272, 356.0, 463.0, 0.259478360414505, 410.0, 483.0, 0.8660581707954407, 408.0, 539.0, 0.7799051403999329, 393.0, 599.0, 0.69242924451828, 377.0, 479.0, 0.8103958964347839, 366.0, 530.0, 0.6617143154144287, 356.0, 584.0, 0.6354909539222717, 419.0, 362.0, 0.3436563313007355, -1, -1, -1, 416.0, 362.0, 0.7982357740402222, 406.0, 363.0, 0.34298351407051086]"
img_000961,"[365.0, 355.0, 0.31078991293907166, 396.0, 392.0, 0.9441646337509155, 423.0, 396.0, 0.861982524394989, 433.0, 434.0, 0.46583428978919983, -1, -1, -1, 366.0, 388.0, 0.9302285313606262, 330.0, 431.0, 0.8489824533462524, 317.0, 443.0, 0.6123107671737671, 415.0, 487.0, 0.8446764349937439, 407.0, 537.0, 0.7229794263839722, 399.0, 600.0, 0.7268734574317932, 372.0, 488.0, 0.8301813006401062, 347.0, 530.0, 0.6308323740959167, 351.0, 587.0, 0.7085222005844116, -1, -1, -1, 368.0, 346.0, 0.3876537084579468, 412.0, 362.0, 0.32621240615844727, 377.0, 354.0, 0.9817519187927246]"
img_001601,"[-1, -1, -1, 406.0, 388.0, 0.9112501740455627, 434.0, 394.0, 0.844017744064331, 449.0, 435.0, 0.7201524376869202, 447.0, 449.0, 0.3487318754196167, 373.0, 385.0, 0.8978867530822754, 360.0, 429.0, 0.8003530502319336, 353.0, 463.0, 0.46526965498924255, 417.0, 486.0, 0.8970008492469788, 410.0, 541.0, 0.7690838575363159, 402.0, 599.0, 0.7571686506271362, 372.0, 483.0, 0.8549169898033142, 354.0, 523.0, 0.7523695230484009, 354.0, 584.0, 0.7079375386238098, -1, -1, -1, -1, -1, -1, 421.0, 352.0, 0.7500249147415161, 398.0, 349.0, 0.6906432509422302]"
img_002177,"[504.0, 285.0, 0.25495508313179016, 542.0, 312.0, 0.9321654438972473, 560.0, 311.0, 0.8352029323577881, 584.0, 361.0, 0.33279451727867126, 577.0, 400.0, 0.11194505542516708, 523.0, 312.0, 0.8744459748268127, 506.0, 345.0, 0.8001943230628967, 491.0, 358.0, 0.4509083032608032, 561.0, 405.0, 0.830234169960022, 541.0, 478.0, 0.7993177175521851, 544.0, 546.0, 0.6480926275253296, 531.0, 405.0, 0.8834527730941772, 521.0, 482.0, 0.7967912554740906, 539.0, 549.0, 0.6640123724937439, -1, -1, -1, 504.0, 279.0, 0.31445416808128357, 546.0, 277.0, 0.19322237372398376, 520.0, 279.0, 0.7819185256958008]"
img_002113,"[-1, -1, -1, 663.0, 321.0, 0.9582031965255737, 693.0, 323.0, 0.8935000896453857, 710.0, 374.0, 0.7618011236190796, 686.0, 396.0, 0.211368590593338, 627.0, 318.0, 0.9283248782157898, 599.0, 371.0, 0.9125637412071228, 597.0, 380.0, 0.4145621061325073, 679.0, 431.0, 0.8736581802368164, 660.0, 523.0, 0.843643069267273, 656.0, 606.0, 0.7436923980712891, 635.0, 433.0, 0.8746232986450195, 634.0, 526.0, 0.9444984197616577, 645.0, 612.0, 0.8920229077339172, -1, -1, -1, -1, -1, -1, 678.0, 281.0, 0.6340315937995911, 645.0, 277.0, 0.8093801140785217]"
img_001857,"[207.0, 273.0, 0.9012393951416016, 212.0, 306.0, 0.8826472163200378, 179.0, 311.0, 0.8669061660766602, 152.0, 347.0, 0.7870358228683472, 174.0, 330.0, 0.7096682786941528, 247.0, 300.0, 0.8941527009010315, 283.0, 343.0, 0.8378413915634155, 267.0, 330.0, 0.7862659692764282, 194.0, 416.0, 0.9667746424674988, 191.0, 511.0, 0.9474372863769531, 191.0, 605.0, 0.8309745192527771, 238.0, 417.0, 0.9773207306861877, 230.0, 517.0, 0.8648157715797424, 224.0, 593.0, 0.8590661883354187, 200.0, 264.0, 0.8902044296264648, 215.0, 262.0, 0.8749651312828064, 192.0, 272.0, 0.7233189940452576, 227.0, 266.0, 0.6893991827964783]"
img_001665,"[366.0, 356.0, 0.20900802314281464, 389.0, 391.0, 0.9328045845031738, 418.0, 395.0, 0.8580957651138306, 425.0, 436.0, 0.504429042339325, 417.0, 471.0, 0.17482590675354004, 362.0, 388.0, 0.9210430383682251, 327.0, 428.0, 0.8203282952308655, 315.0, 439.0, 0.6292380094528198, 411.0, 483.0, 0.8453292846679688, 402.0, 532.0, 0.680977463722229, 400.0, 593.0, 0.721373975276947, 369.0, 484.0, 0.8352832198143005, 343.0, 526.0, 0.724256157875061, 352.0, 590.0, 0.7344443798065186, -1, -1, -1, 368.0, 343.0, 0.26775625348091125, 406.0, 357.0, 0.4240124225616455, 372.0, 352.0, 0.9220189452171326]"
img_000321,"[413.0, 370.0, 0.19618377089500427, 409.0, 397.0, 0.9101960062980652, 425.0, 400.0, 0.7807918190956116, 438.0, 436.0, 0.4430128335952759, -1, -1, -1, 384.0, 395.0, 0.8269206881523132, 367.0, 430.0, 0.6251529455184937, 357.0, 451.0, 0.2664666175842285, 417.0, 486.0, 0.8307693004608154, 407.0, 542.0, 0.7093904614448547, 394.0, 596.0, 0.6089185476303101, 380.0, 482.0, 0.7874499559402466, 356.0, 528.0, 0.6453844308853149, 358.0, 583.0, 0.6458549499511719, -1, -1, -1, -1, -1, -1, 419.0, 367.0, 0.5486024618148804, 402.0, 365.0, 0.550365686416626]"
img_000641,"[367.0, 359.0, 0.21162588894367218, 391.0, 392.0, 0.9411117434501648, 419.0, 395.0, 0.8593975901603699, 431.0, 434.0, 0.48827290534973145, 424.0, 463.0, 0.15411017835140228, 364.0, 392.0, 0.9341417551040649, 333.0, 432.0, 0.825201690196991, 311.0, 444.0, 0.6429246664047241, 415.0, 485.0, 0.8665149807929993, 409.0, 539.0, 0.7367116212844849, 402.0, 600.0, 0.7536721229553223, 372.0, 487.0, 0.8490708470344543, 348.0, 530.0, 0.6678788065910339, 354.0, 589.0, 0.696476936340332, -1, -1, -1, 368.0, 347.0, 0.26871147751808167, 407.0, 359.0, 0.4115751385688782, 373.0, 355.0, 0.9217548966407776]"
img_001793,"[252.0, 267.0, 0.9012580513954163, 275.0, 301.0, 0.9137212038040161, 246.0, 298.0, 0.9115414619445801, 212.0, 321.0, 0.6583825349807739, 195.0, 285.0, 0.50908362865448, 296.0, 302.0, 0.9083194732666016, 296.0, 346.0, 0.8677697777748108, 255.0, 335.0, 0.7767343521118164, 254.0, 405.0, 0.8878039121627808, 253.0, 497.0, 0.9538134336471558, 277.0, 570.0, 0.8212843537330627, 283.0, 407.0, 0.9189043045043945, 280.0, 494.0, 0.9422709345817566, 301.0, 566.0, 0.8288424611091614, 248.0, 259.0, 0.5961105823516846, 263.0, 260.0, 0.9170136451721191, -1, -1, -1, 279.0, 264.0, 0.902993381023407]"
img_001985,"[547.0, 293.0, 0.7348319292068481, 487.0, 331.0, 0.8089386820793152, 479.0, 334.0, 0.9183524250984192, 503.0, 412.0, 0.936114490032196, 573.0, 382.0, 0.9003746509552002, 492.0, 331.0, 0.7698931097984314, 523.0, 399.0, 0.4447460174560547, 572.0, 375.0, 0.47643330693244934, 464.0, 493.0, 0.9265347123146057, 521.0, 603.0, 0.913525402545929, 547.0, 739.0, 0.90558260679245, 471.0, 492.0, 0.7766265273094177, 458.0, 602.0, 0.9029920697212219, 411.0, 718.0, 0.9532062411308289, 546.0, 283.0, 0.8241827487945557, -1, -1, -1, 522.0, 278.0, 1.0192644596099854, -1, -1, -1]"
img_002241,"[388.0, 279.0, 0.5203803777694702, 411.0, 303.0, 0.8639174103736877, 417.0, 301.0, 0.7539324164390564, 411.0, 339.0, 0.2675113081932068, 386.0, 361.0, 0.17494049668312073, 406.0, 304.0, 0.8825657963752747, 396.0, 343.0, 0.8228037357330322, 377.0, 364.0, 0.6868090629577637, 410.0, 386.0, 0.7472723126411438, 403.0, 450.0, 0.7137517929077148, 401.0, 498.0, 0.5111398100852966, 403.0, 381.0, 0.8603897094726562, 393.0, 449.0, 0.7243443131446838, 394.0, 492.0, 0.5487653017044067, -1, -1, -1, 395.0, 275.0, 0.5776564478874207, -1, -1, -1, 405.0, 275.0, 0.7882962226867676]"
img_000385,"[361.0, 368.0, 0.2428407073020935, 398.0, 392.0, 0.9441211819648743, 423.0, 394.0, 0.8258452415466309, 431.0, 432.0, 0.3385028839111328, -1, -1, -1, 370.0, 390.0, 0.8859100341796875, 331.0, 419.0, 0.8345913887023926, 316.0, 381.0, 0.716949462890625, 424.0, 488.0, 0.8250450491905212, 405.0, 538.0, 0.6653563976287842, 400.0, 598.0, 0.7656849026679993, 379.0, 490.0, 0.818264901638031, 342.0, 525.0, 0.7464527487754822, 349.0, 592.0, 0.6994171738624573, -1, -1, -1, 363.0, 360.0, 0.31163647770881653, 412.0, 360.0, 0.2944995164871216, 374.0, 359.0, 0.8630848526954651]"
img_000001,"[502.0, 250.0, 0.11374660581350327, 529.0, 313.0, 0.9122733473777771, 561.0, 318.0, 0.8834428191184998, 572.0, 352.0, 0.2946650981903076, -1, -1, -1, 495.0, 304.0, 0.8824554681777954, 425.0, 302.0, 0.7572298049926758, 351.0, 285.0, 0.6486851572990417, 541.0, 423.0, 0.865136981010437, 533.0, 506.0, 0.8839243650436401, 534.0, 585.0, 0.8572081327438354, 500.0, 420.0, 0.9132465124130249, 488.0, 504.0, 0.902890682220459, 483.0, 589.0, 0.6944419145584106, -1, -1, -1, -1, -1, -1, 542.0, 269.0, 0.33891403675079346, 506.0, 262.0, 0.7351677417755127]"
img_001025,"[-1, -1, -1, 397.0, 391.0, 0.9279174208641052, 425.0, 396.0, 0.8403151631355286, 433.0, 439.0, 0.5039221048355103, 420.0, 474.0, 0.18544378876686096, 366.0, 386.0, 0.8974128365516663, 334.0, 429.0, 0.8774374127388, 322.0, 421.0, 0.5344017744064331, 413.0, 488.0, 0.8403035402297974, 406.0, 534.0, 0.7189909219741821, 399.0, 600.0, 0.7130516767501831, 368.0, 486.0, 0.8181105852127075, 342.0, 527.0, 0.6380442380905151, 346.0, 587.0, 0.644616961479187, -1, -1, -1, 371.0, 358.0, 0.11555536091327667, 412.0, 355.0, 0.5586926937103271, 380.0, 353.0, 0.8484354615211487]"
img_001473,"[374.0, 345.0, 0.4078200161457062, 404.0, 387.0, 0.9554815888404846, 429.0, 390.0, 0.8107248544692993, 434.0, 441.0, 0.33370739221572876, -1, -1, -1, 376.0, 385.0, 0.9315971732139587, 345.0, 432.0, 0.8588343858718872, 324.0, 442.0, 0.6142223477363586, 421.0, 487.0, 0.8662575483322144, 407.0, 540.0, 0.6601243615150452, 402.0, 600.0, 0.7184170484542847, 379.0, 488.0, 0.8376968502998352, 339.0, 523.0, 0.714091420173645, 356.0, 589.0, 0.6988188624382019, -1, -1, -1, 378.0, 339.0, 0.48217350244522095, 414.0, 359.0, 0.2578251361846924, 392.0, 349.0, 0.9523749351501465]"
img_001089,"[409.0, 363.0, 0.5470787882804871, 414.0, 390.0, 0.8051046133041382, -1, -1, -1, -1, -1, -1, -1, -1, -1, 414.0, 390.0, 0.7627915740013123, 407.0, 430.0, 0.469795823097229, 394.0, 444.0, 0.26810041069984436, 408.0, 483.0, 0.616886556148529, 397.0, 538.0, 0.4718311131000519, 389.0, 592.0, 0.46912330389022827, 406.0, 475.0, 0.6959571242332458, 364.0, 526.0, 0.46819934248924255, 366.0, 587.0, 0.5041065216064453, 411.0, 355.0, 0.26046839356422424, 411.0, 357.0, 0.5779783129692078, -1, -1, -1, 416.0, 361.0, 0.6462349891662598]"
img_001345,"[372.0, 360.0, 0.12500587105751038, 391.0, 389.0, 0.9151099324226379, 420.0, 391.0, 0.8509135246276855, 435.0, 433.0, 0.574222207069397, 415.0, 468.0, 0.27511391043663025, 363.0, 390.0, 0.9055625796318054, 337.0, 435.0, 0.8638692498207092, 335.0, 459.0, 0.6133787631988525, 417.0, 485.0, 0.8851282596588135, 409.0, 542.0, 0.7626779675483704, 400.0, 602.0, 0.7565016746520996, 373.0, 487.0, 0.8692114353179932, 350.0, 528.0, 0.7166268229484558, 352.0, 587.0, 0.733018159866333, -1, -1, -1, 370.0, 339.0, 0.13943134248256683, 405.0, 355.0, 0.5308672785758972, 372.0, 352.0, 0.8721965551376343]"
img_001537,"[-1, -1, -1, 406.0, 386.0, 0.9319947361946106, 434.0, 394.0, 0.843670129776001, 445.0, 433.0, 0.6417727470397949, 436.0, 453.0, 0.3317309319972992, 374.0, 383.0, 0.9131761193275452, 350.0, 420.0, 0.8227302432060242, 350.0, 434.0, 0.3769167363643646, 418.0, 486.0, 0.9039742350578308, 407.0, 539.0, 0.765588104724884, 395.0, 598.0, 0.7711907625198364, 373.0, 482.0, 0.8612964153289795, 350.0, 524.0, 0.7755440473556519, 349.0, 586.0, 0.7168206572532654, -1, -1, -1, -1, -1, -1, 420.0, 354.0, 0.6056060791015625, 395.0, 350.0, 0.7335529327392578]"
img_001729,"[347.0, 281.0, 0.1190951019525528, 368.0, 306.0, 0.9095876216888428, 392.0, 309.0, 0.8516708016395569, 409.0, 350.0, 0.5291540622711182, -1, -1, -1, 343.0, 306.0, 0.8083148002624512, 327.0, 339.0, 0.8560779094696045, 319.0, 355.0, 0.6174529194831848, 393.0, 400.0, 0.8490106463432312, 392.0, 492.0, 0.9002516269683838, 400.0, 581.0, 0.7619369029998779, 355.0, 402.0, 0.863707423210144, 347.0, 495.0, 0.9385786652565002, 358.0, 581.0, 0.8239006996154785, -1, -1, -1, 340.0, 276.0, 0.1469336301088333, 376.0, 273.0, 0.5339160561561584, 350.0, 271.0, 0.7732740640640259]"
img_000449,"[335.0, 372.0, 0.30925869941711426, 373.0, 394.0, 0.9423328042030334, 400.0, 393.0, 0.8526398539543152, 414.0, 436.0, 0.3348392844200134, 412.0, 465.0, 0.1188606321811676, 355.0, 396.0, 0.8941405415534973, 314.0, 428.0, 0.7774711847305298, 283.0, 424.0, 0.6815100908279419, 412.0, 480.0, 0.8321771621704102, 405.0, 535.0, 0.7371054887771606, 402.0, 598.0, 0.726818859577179, 374.0, 485.0, 0.8399231433868408, 351.0, 529.0, 0.6727098822593689, 354.0, 590.0, 0.6945658326148987, -1, -1, -1, 333.0, 366.0, 0.4060620963573456, 374.0, 361.0, 0.22477136552333832, 350.0, 365.0, 0.9496405124664307]"
img_001409,"[388.0, 358.0, 0.15350358188152313, 402.0, 388.0, 0.9343993663787842, 428.0, 391.0, 0.8324424028396606, 438.0, 435.0, 0.4736585319042206, -1, -1, -1, 371.0, 385.0, 0.90828937292099, 340.0, 430.0, 0.89882493019104, 315.0, 446.0, 0.7070542573928833, 417.0, 486.0, 0.8569884896278381, 406.0, 543.0, 0.7239148616790771, 400.0, 599.0, 0.7165261507034302, 375.0, 487.0, 0.8373503088951111, 347.0, 532.0, 0.72804856300354, 355.0, 590.0, 0.7062556743621826, -1, -1, -1, 391.0, 341.0, 0.17600201070308685, 415.0, 355.0, 0.48399126529693604, 390.0, 351.0, 0.7926425933837891]"
img_000897,"[369.0, 362.0, 0.3040413558483124, 405.0, 393.0, 0.96553635597229, 429.0, 398.0, 0.8288593888282776, 438.0, 439.0, 0.30309751629829407, -1, -1, -1, 380.0, 387.0, 0.8955620527267456, 332.0, 405.0, 0.7457996606826782, 316.0, 373.0, 0.6020166277885437, 418.0, 491.0, 0.8132510185241699, 401.0, 538.0, 0.679347038269043, 396.0, 599.0, 0.7210583090782166, 378.0, 489.0, 0.8000072240829468, 344.0, 531.0, 0.660895049571991, 353.0, 589.0, 0.6299554705619812, -1, -1, -1, 371.0, 352.0, 0.3839421570301056, 415.0, 363.0, 0.23681820929050446, 387.0, 355.0, 0.8835763335227966]"
img_001217,"[-1, -1, -1, 404.0, 386.0, 0.9230683445930481, 432.0, 389.0, 0.8295750021934509, 440.0, 436.0, 0.5340770483016968, 415.0, 470.0, 0.2334069162607193, 371.0, 384.0, 0.9209805130958557, 351.0, 433.0, 0.9108095169067383, 339.0, 457.0, 0.6875358819961548, 422.0, 485.0, 0.9327203035354614, 411.0, 542.0, 0.7857927680015564, 401.0, 603.0, 0.7767432332038879, 377.0, 486.0, 0.8726150989532471, 348.0, 523.0, 0.7642390131950378, 352.0, 586.0, 0.7176306843757629, -1, -1, -1, -1, -1, -1, 417.0, 352.0, 0.6242378354072571, 387.0, 349.0, 0.7850458025932312]"
