0,1
img_000065,"[545.0, 328.0, 0.10103867948055267, 512.0, 339.0, 0.8797117471694946, 543.0, 351.0, 0.9299300909042358, 544.0, 405.0, 0.9267790913581848, 547.0, 437.0, 0.7321615815162659, 479.0, 329.0, 0.8599459528923035, 454.0, 366.0, 0.6719621419906616, 458.0, 390.0, 0.2550894021987915, 503.0, 438.0, 0.9273074269294739, 505.0, 516.0, 0.8714897632598877, 512.0, 595.0, 0.9038622379302979, 455.0, 427.0, 0.9208874106407166, 450.0, 511.0, 0.8962870836257935, 448.0, 594.0, 0.8960564136505127, 553.0, 327.0, 0.10149797797203064, -1, -1, -1, 544.0, 319.0, 0.8308967351913452, 510.0, 302.0, 0.5399449467658997]"
img_001153,"[525.0, 283.0, 0.8798312544822693, 532.0, 313.0, 0.9176603555679321, 496.0, 312.0, 0.8681542873382568, 450.0, 322.0, 0.7463284134864807, 481.0, 285.0, 0.6161315441131592, 562.0, 314.0, 0.8600060939788818, 606.0, 320.0, 0.6980172991752625, 602.0, 307.0, 0.4315764307975769, 500.0, 414.0, 0.943806529045105, 494.0, 492.0, 0.8954102396965027, 477.0, 566.0, 0.8115563988685608, 542.0, 419.0, 0.9232770204544067, 535.0, 498.0, 0.943696141242981, 532.0, 583.0, 0.9366881847381592, 520.0, 277.0, 0.8123982548713684, 534.0, 277.0, 0.8529098033905029, 508.0, 280.0, 0.46997660398483276, 543.0, 279.0, 0.6475322842597961]"
img_000193,"[-1, -1, -1, 483.0, 338.0, 0.8949900269508362, 514.0, 335.0, 0.8544938564300537, 547.0, 385.0, 0.893298864364624, 548.0, 410.0, 0.5959868431091309, 450.0, 343.0, 0.891687273979187, 429.0, 393.0, 0.8727527856826782, 429.0, 442.0, 0.7771568298339844, 518.0, 431.0, 0.9337922930717468, 509.0, 524.0, 0.9373742341995239, 508.0, 603.0, 0.8865626454353333, 463.0, 439.0, 0.8740862607955933, 460.0, 516.0, 0.9497882127761841, 458.0, 602.0, 0.9289444088935852, -1, -1, -1, -1, -1, -1, 493.0, 301.0, 0.5517930388450623, 463.0, 308.0, 0.5076776146888733]"
img_000577,"[435.0, 278.0, 0.15806035697460175, 445.0, 314.0, 0.8936384320259094, 471.0, 314.0, 0.8312436938285828, 482.0, 365.0, 0.5107405185699463, 467.0, 402.0, 0.24020929634571075, 415.0, 312.0, 0.8064359426498413, 395.0, 354.0, 0.7966609597206116, 398.0, 372.0, 0.573914647102356, 462.0, 411.0, 0.8734656572341919, 459.0, 498.0, 0.955078661441803, 467.0, 590.0, 0.8387002348899841, 421.0, 410.0, 0.9308276772499084, 424.0, 504.0, 0.9507366418838501, 440.0, 594.0, 0.8965086340904236, -1, -1, -1, 428.0, 265.0, 0.17459604144096375, 456.0, 277.0, 0.5483396649360657, 432.0, 273.0, 0.7236965894699097]"
img_000769,"[440.0, 277.0, 0.13044385612010956, 461.0, 308.0, 0.9200032949447632, 495.0, 314.0, 0.9076919555664062, 511.0, 348.0, 0.5682110786437988, -1, -1, -1, 434.0, 301.0, 0.8029544949531555, 385.0, 321.0, 0.8164554238319397, 374.0, 280.0, 0.608675479888916, 478.0, 414.0, 0.8483527898788452, 469.0, 498.0, 0.9462738037109375, 466.0, 591.0, 0.9042929410934448, 432.0, 411.0, 0.8464499115943909, 430.0, 500.0, 0.9248943328857422, 437.0, 592.0, 0.8716919422149658, -1, -1, -1, 447.0, 273.0, 0.14995014667510986, 477.0, 276.0, 0.4656948447227478, 449.0, 269.0, 0.7121565341949463]"
img_000833,"[453.0, 277.0, 0.2985566556453705, 464.0, 309.0, 0.9253286123275757, 494.0, 312.0, 0.9050970077514648, 517.0, 360.0, 0.8326238393783569, 515.0, 406.0, 0.6024248003959656, 441.0, 310.0, 0.8333387970924377, 418.0, 354.0, 0.9175133109092712, 416.0, 389.0, 0.5164105892181396, 488.0, 409.0, 0.9125447273254395, 470.0, 500.0, 0.931083083152771, 463.0, 590.0, 0.8337010741233826, 449.0, 408.0, 0.890689492225647, 442.0, 499.0, 0.9038252234458923, 448.0, 588.0, 0.8275057077407837, -1, -1, -1, 452.0, 272.0, 0.3125648498535156, 473.0, 278.0, 0.5025060772895813, 453.0, 273.0, 0.7839792370796204]"
img_000257,"[-1, -1, -1, 488.0, 314.0, 0.9111361503601074, 522.0, 315.0, 0.8608712553977966, 526.0, 362.0, 0.5046247243881226, 506.0, 397.0, 0.13538044691085815, 452.0, 311.0, 0.9000331163406372, 423.0, 364.0, 0.9184252619743347, -1, -1, -1, 505.0, 418.0, 0.8743743896484375, 501.0, 509.0, 0.9770156145095825, 508.0, 604.0, 0.889948844909668, 459.0, 418.0, 0.9316211342811584, 459.0, 512.0, 0.9813297986984253, 459.0, 602.0, 0.9178342223167419, -1, -1, -1, -1, -1, -1, 503.0, 273.0, 0.6670475006103516, 466.0, 271.0, 0.7293754816055298]"
img_000961,"[-1, -1, -1, 326.0, 299.0, 0.8666983842849731, 356.0, 302.0, 0.8435287475585938, 376.0, 338.0, 0.829996645450592, 374.0, 347.0, 0.5559327006340027, 294.0, 299.0, 0.8234878778457642, 282.0, 337.0, 0.5953709483146667, 301.0, 361.0, 0.2744627594947815, 352.0, 392.0, 0.8737540245056152, 363.0, 476.0, 0.9074791073799133, 364.0, 560.0, 0.852333664894104, 304.0, 396.0, 0.8315557837486267, 316.0, 482.0, 0.8950899839401245, 322.0, 569.0, 0.7715698480606079, -1, -1, -1, -1, -1, -1, 339.0, 266.0, 0.6826079487800598, 315.0, 262.0, 0.6585270762443542]"
img_001601,"[468.0, 278.0, 0.5696446895599365, 429.0, 306.0, 0.7980309724807739, 441.0, 307.0, 0.8155853748321533, 450.0, 325.0, 0.47666993737220764, 486.0, 274.0, 0.3708049952983856, 416.0, 302.0, 0.7028935551643372, 420.0, 329.0, 0.1572451889514923, -1, -1, -1, 426.0, 403.0, 0.8929723501205444, 441.0, 472.0, 0.9078120589256287, 420.0, 547.0, 0.8480619192123413, 411.0, 399.0, 0.7766942977905273, 425.0, 477.0, 0.7727693319320679, 418.0, 544.0, 0.7799164056777954, 467.0, 272.0, 0.582526445388794, -1, -1, -1, 452.0, 273.0, 0.7483235597610474, -1, -1, -1]"
img_001665,"[467.0, 283.0, 0.6328237652778625, 473.0, 310.0, 0.8084953427314758, 459.0, 309.0, 0.7667101621627808, 444.0, 339.0, 0.45907118916511536, -1, -1, -1, 490.0, 310.0, 0.7931121587753296, 494.0, 333.0, 0.5899404883384705, 476.0, 333.0, 0.3303777575492859, 464.0, 397.0, 0.8280208110809326, 465.0, 468.0, 0.8697043657302856, 459.0, 536.0, 0.7763819098472595, 481.0, 397.0, 0.8103216290473938, 479.0, 468.0, 0.8570449352264404, 468.0, 536.0, 0.7405452728271484, 466.0, 277.0, 0.4922223389148712, 476.0, 279.0, 0.5960506200790405, 471.0, 277.0, 0.21859459578990936, 486.0, 279.0, 0.5080041885375977]"
img_000321,"[433.0, 284.0, 0.18176817893981934, 459.0, 316.0, 0.9360750913619995, 492.0, 316.0, 0.867838978767395, 505.0, 356.0, 0.30335503816604614, -1, -1, -1, 432.0, 314.0, 0.7959341406822205, 382.0, 332.0, 0.7800443172454834, 360.0, 302.0, 0.7357799410820007, 492.0, 423.0, 0.8437647819519043, 471.0, 508.0, 0.8076318502426147, 468.0, 592.0, 0.7821263074874878, 453.0, 424.0, 0.8960247039794922, 448.0, 510.0, 0.8963804841041565, 456.0, 593.0, 0.7969546914100647, -1, -1, -1, 425.0, 278.0, 0.22367866337299347, 466.0, 278.0, 0.41121211647987366, 442.0, 277.0, 0.69047611951828]"
img_000641,"[433.0, 280.0, 0.10474330931901932, 447.0, 315.0, 0.9490227699279785, 476.0, 318.0, 0.8612341284751892, 486.0, 361.0, 0.42249828577041626, 487.0, 415.0, 0.13272976875305176, 412.0, 308.0, 0.811208188533783, 358.0, 313.0, 0.8042115569114685, 359.0, 277.0, 0.611668050289154, 460.0, 420.0, 0.8650811910629272, 460.0, 500.0, 0.9242898225784302, 468.0, 587.0, 0.8781969547271729, 420.0, 418.0, 0.8520728349685669, 426.0, 505.0, 0.9224119782447815, 437.0, 591.0, 0.855399489402771, -1, -1, -1, 421.0, 280.0, 0.10152113437652588, 460.0, 277.0, 0.5792218446731567, 433.0, 273.0, 0.6760115027427673]"
img_000385,"[-1, -1, -1, 466.0, 314.0, 0.9175828695297241, 501.0, 316.0, 0.9023991227149963, 522.0, 362.0, 0.6725842952728271, 512.0, 419.0, 0.346910297870636, 437.0, 311.0, 0.8218270540237427, 398.0, 339.0, 0.7870786786079407, 376.0, 313.0, 0.43646472692489624, 494.0, 416.0, 0.8723283410072327, 481.0, 500.0, 0.8851884007453918, 473.0, 587.0, 0.8396531939506531, 448.0, 415.0, 0.8795013427734375, 437.0, 499.0, 0.8906232118606567, 431.0, 592.0, 0.8706314563751221, -1, -1, -1, -1, -1, -1, 483.0, 277.0, 0.5212958455085754, 451.0, 275.0, 0.695979118347168]"
