0,1
img_000065,"[-1, -1, -1, 802.0, 245.0, 0.9293513894081116, 837.0, 247.0, 0.901617169380188, 865.0, 297.0, 0.9172625541687012, 857.0, 337.0, 0.5065270662307739, 764.0, 249.0, 0.9128417372703552, 756.0, 307.0, 0.8955351114273071, 747.0, 356.0, 0.7676236033439636, 834.0, 345.0, 0.8566070199012756, 838.0, 435.0, 0.8668623566627502, 838.0, 519.0, 0.9093671441078186, 786.0, 353.0, 0.8291723132133484, 787.0, 436.0, 0.8408230543136597, 798.0, 516.0, 0.7803567051887512, -1, -1, -1, -1, -1, -1, 809.0, 202.0, 0.7742239236831665, 779.0, 206.0, 0.8029594421386719]"
img_001153,"[-1, -1, -1, 635.0, 350.0, 0.8964263796806335, 671.0, 352.0, 0.8738131523132324, 704.0, 393.0, 0.7824960947036743, 714.0, 377.0, 0.6541036367416382, 601.0, 353.0, 0.8586305379867554, 581.0, 390.0, 0.41570037603378296, -1, -1, -1, 665.0, 443.0, 0.7365719079971313, 704.0, 460.0, 0.4830287992954254, 706.0, 510.0, 0.5945443511009216, 625.0, 452.0, 0.7374903559684753, 646.0, 464.0, 0.33304277062416077, 655.0, 507.0, 0.27757516503334045, -1, -1, -1, -1, -1, -1, 656.0, 312.0, 0.8848330974578857, 624.0, 308.0, 0.60628342628479]"
img_000193,"[-1, -1, -1, 662.0, 330.0, 0.9536095857620239, 686.0, 335.0, 0.8639176487922668, 711.0, 385.0, 0.8464539647102356, 715.0, 407.0, 0.6254960894584656, 628.0, 329.0, 0.9533737897872925, 610.0, 373.0, 0.7356989979743958, 611.0, 402.0, 0.4726259112358093, 674.0, 423.0, 0.8451331853866577, 684.0, 469.0, 0.7225170135498047, 678.0, 522.0, 0.6882411241531372, 628.0, 423.0, 0.8621845841407776, 637.0, 466.0, 0.677987813949585, 646.0, 520.0, 0.5263093113899231, -1, -1, -1, -1, -1, -1, 681.0, 296.0, 0.8500865697860718, 648.0, 289.0, 0.7587462067604065]"
img_000577,"[635.0, 287.0, 0.44103533029556274, 640.0, 324.0, 0.5249515771865845, 623.0, 324.0, 0.453144371509552, 610.0, 356.0, 0.22228719294071198, -1, -1, -1, 667.0, 324.0, 0.5058636665344238, 685.0, 340.0, 0.23608669638633728, 678.0, 321.0, 0.2146618664264679, 637.0, 413.0, 0.4023103415966034, 660.0, 464.0, 0.21567703783512115, 655.0, 508.0, 0.15786907076835632, 663.0, 412.0, 0.39851710200309753, 670.0, 460.0, 0.21529453992843628, 673.0, 513.0, 0.15321817994117737, 631.0, 284.0, 0.40058526396751404, 638.0, 284.0, 0.40335121750831604, 628.0, 289.0, 0.1865869164466858, 653.0, 286.0, 0.3035513162612915]"
img_000769,[]
img_000833,[]
img_000257,"[-1, -1, -1, 667.0, 335.0, 0.9073059558868408, 696.0, 343.0, 0.8388869762420654, 704.0, 383.0, 0.6897125840187073, -1, -1, -1, 635.0, 332.0, 0.9077610373497009, 611.0, 368.0, 0.659483790397644, 599.0, 388.0, 0.3371340334415436, 672.0, 417.0, 0.8176662921905518, 684.0, 469.0, 0.7197544574737549, 677.0, 521.0, 0.558174192905426, 629.0, 416.0, 0.8285748958587646, 639.0, 471.0, 0.5392763614654541, 640.0, 518.0, 0.45223650336265564, -1, -1, -1, -1, -1, -1, 695.0, 312.0, 0.838126003742218, 661.0, 300.0, 0.5963305234909058]"
img_000961,"[-1, -1, -1, 651.0, 334.0, 0.9020856022834778, 679.0, 340.0, 0.857053279876709, 714.0, 380.0, 0.808678388595581, 731.0, 363.0, 0.6090306639671326, 623.0, 330.0, 0.8893592357635498, 591.0, 365.0, 0.6237411499023438, -1, -1, -1, 664.0, 423.0, 0.7904515266418457, 688.0, 456.0, 0.6313528418540955, 690.0, 511.0, 0.6276237964630127, 621.0, 427.0, 0.8056426048278809, 641.0, 465.0, 0.520077109336853, 660.0, 515.0, 0.46110987663269043, -1, -1, -1, -1, -1, -1, 672.0, 304.0, 0.8083820939064026, 637.0, 295.0, 0.670779824256897]"
img_001601,"[-1, -1, -1, 640.0, 345.0, 0.9036536812782288, 675.0, 348.0, 0.9130179286003113, 696.0, 400.0, 0.8416352272033691, 699.0, 422.0, 0.6126266717910767, 607.0, 347.0, 0.8815975189208984, 585.0, 390.0, 0.7395540475845337, 591.0, 416.0, 0.5728491544723511, 665.0, 432.0, 0.7889031767845154, 674.0, 468.0, 0.6545709371566772, 670.0, 524.0, 0.6454341411590576, 624.0, 437.0, 0.7966836094856262, 636.0, 473.0, 0.6061692237854004, 642.0, 521.0, 0.5216851830482483, -1, -1, -1, -1, -1, -1, 663.0, 308.0, 0.9162006378173828, 626.0, 306.0, 0.7466349005699158]"
img_001857,[]
img_001665,"[-1, -1, -1, 639.0, 340.0, 0.8985849618911743, 673.0, 345.0, 0.9120672345161438, 694.0, 396.0, 0.8493642210960388, 699.0, 416.0, 0.6034154891967773, 609.0, 340.0, 0.8585578203201294, 587.0, 384.0, 0.7204216122627258, 594.0, 410.0, 0.40737470984458923, 661.0, 431.0, 0.807271420955658, 692.0, 473.0, 0.6471540927886963, 699.0, 513.0, 0.6693788766860962, 619.0, 432.0, 0.8005369901657104, 635.0, 479.0, 0.5822725892066956, 634.0, 516.0, 0.485283225774765, -1, -1, -1, -1, -1, -1, 664.0, 309.0, 0.9135803580284119, 628.0, 303.0, 0.6138213872909546]"
img_000321,"[-1, -1, -1, 667.0, 335.0, 0.9001067876815796, 694.0, 342.0, 0.8098498582839966, 705.0, 381.0, 0.693456768989563, 709.0, 392.0, 0.3450569212436676, 636.0, 333.0, 0.868050754070282, 617.0, 369.0, 0.6066436767578125, 612.0, 376.0, 0.24233750998973846, 674.0, 415.0, 0.7765487432479858, 680.0, 465.0, 0.5787572860717773, 676.0, 517.0, 0.4593493342399597, 632.0, 415.0, 0.7832995653152466, 637.0, 468.0, 0.5306782722473145, 642.0, 516.0, 0.41559433937072754, -1, -1, -1, -1, -1, -1, 687.0, 309.0, 0.6906105279922485, 657.0, 297.0, 0.6676132082939148]"
img_000641,[]
img_001793,"[-1, -1, -1, 639.0, 341.0, 0.8999300599098206, 674.0, 346.0, 0.9054424166679382, 692.0, 400.0, 0.8526731729507446, 689.0, 409.0, 0.5282624363899231, 607.0, 340.0, 0.8684999942779541, 585.0, 384.0, 0.7576810121536255, 590.0, 408.0, 0.36190393567085266, 660.0, 438.0, 0.816291332244873, 684.0, 473.0, 0.5278468132019043, 694.0, 511.0, 0.5328521132469177, 616.0, 439.0, 0.7814462184906006, 634.0, 492.0, 0.425708532333374, 633.0, 514.0, 0.30680665373802185, -1, -1, -1, -1, -1, -1, 666.0, 309.0, 0.8986533284187317, 629.0, 301.0, 0.677147626876831]"
img_000385,"[-1, -1, -1, 658.0, 340.0, 0.9122282266616821, 683.0, 344.0, 0.8433502316474915, 703.0, 385.0, 0.79440838098526, 711.0, 396.0, 0.5457661747932434, 628.0, 338.0, 0.9006520509719849, 610.0, 378.0, 0.6406584978103638, 613.0, 405.0, 0.3323150873184204, 671.0, 416.0, 0.8409236669540405, 683.0, 469.0, 0.7552629113197327, 681.0, 523.0, 0.7115733027458191, 628.0, 417.0, 0.8570220470428467, 637.0, 469.0, 0.7295917272567749, 645.0, 524.0, 0.6481188535690308, -1, -1, -1, -1, -1, -1, 676.0, 315.0, 0.7545636892318726, 643.0, 307.0, 0.5739330649375916]"
img_000001,"[-1, -1, -1, 825.0, 241.0, 0.9011150598526001, 868.0, 243.0, 0.9255583882331848, 897.0, 254.0, 0.5198713541030884, 876.0, 197.0, 0.28442585468292236, 791.0, 238.0, 0.8843111395835876, 734.0, 241.0, 0.735553503036499, 706.0, 235.0, 0.4521624743938446, 847.0, 363.0, 0.8681297898292542, 841.0, 453.0, 0.9707638621330261, 833.0, 546.0, 0.958813488483429, 800.0, 358.0, 0.8603770732879639, 795.0, 452.0, 0.9140812158584595, 794.0, 540.0, 0.7915889620780945, -1, -1, -1, -1, -1, -1, 848.0, 198.0, 0.7001180648803711, 809.0, 195.0, 0.7289139628410339]"
img_001025,"[-1, -1, -1, 658.0, 335.0, 0.9128220081329346, 685.0, 340.0, 0.8552369475364685, 715.0, 380.0, 0.8367711305618286, 733.0, 374.0, 0.5921233296394348, 627.0, 332.0, 0.9205634593963623, 601.0, 368.0, 0.6243199706077576, 601.0, 382.0, 0.3201102018356323, 670.0, 420.0, 0.802680253982544, 685.0, 460.0, 0.6864010691642761, 691.0, 515.0, 0.7098843455314636, 626.0, 422.0, 0.8353336453437805, 639.0, 466.0, 0.62269127368927, 649.0, 517.0, 0.5320073962211609, -1, -1, -1, -1, -1, -1, 679.0, 307.0, 0.8953995704650879, 647.0, 298.0, 0.6069050431251526]"
img_001473,"[-1, -1, -1, 645.0, 340.0, 0.9079795479774475, 678.0, 344.0, 0.9181725978851318, 699.0, 395.0, 0.8482183218002319, 700.0, 408.0, 0.5704012513160706, 614.0, 342.0, 0.9097152352333069, 589.0, 385.0, 0.7675826549530029, 587.0, 408.0, 0.5579624176025391, 667.0, 432.0, 0.8468437194824219, 673.0, 477.0, 0.7725189328193665, 670.0, 530.0, 0.7570626735687256, 624.0, 437.0, 0.8297879099845886, 636.0, 478.0, 0.6661356091499329, 644.0, 530.0, 0.5760446190834045, -1, -1, -1, -1, -1, -1, 667.0, 305.0, 0.8973118662834167, 629.0, 301.0, 0.7787943482398987]"
img_001089,"[-1, -1, -1, 635.0, 342.0, 0.8937483429908752, 670.0, 344.0, 0.8823838233947754, 704.0, 389.0, 0.7425593137741089, 718.0, 383.0, 0.5814289450645447, 603.0, 344.0, 0.8501903414726257, 575.0, 383.0, 0.5704724788665771, 587.0, 401.0, 0.18214112520217896, 664.0, 439.0, 0.7856870293617249, 693.0, 470.0, 0.4296143054962158, 701.0, 507.0, 0.4101872146129608, 622.0, 446.0, 0.7430344820022583, 646.0, 472.0, 0.3043411374092102, 648.0, 513.0, 0.2266656458377838, 669.0, 317.0, 0.10861210525035858, -1, -1, -1, 656.0, 306.0, 0.8966528177261353, 624.0, 304.0, 0.5496843457221985]"
img_001345,"[-1, -1, -1, 655.0, 340.0, 0.9002392292022705, 683.0, 347.0, 0.8468648195266724, 702.0, 392.0, 0.7504227161407471, 700.0, 407.0, 0.3774181604385376, 622.0, 338.0, 0.8962421417236328, 598.0, 381.0, 0.7392104864120483, 598.0, 412.0, 0.4908071756362915, 670.0, 425.0, 0.7977328896522522, 687.0, 469.0, 0.6967257261276245, 697.0, 513.0, 0.746023416519165, 627.0, 429.0, 0.8064902424812317, 638.0, 473.0, 0.6418617963790894, 645.0, 519.0, 0.5586389303207397, -1, -1, -1, -1, -1, -1, 674.0, 307.0, 0.7944759726524353, 640.0, 298.0, 0.7975925207138062]"
img_001537,"[-1, -1, -1, 651.0, 338.0, 0.9065520763397217, 683.0, 346.0, 0.864829957485199, 706.0, 387.0, 0.8046615123748779, 697.0, 405.0, 0.5756430625915527, 618.0, 335.0, 0.90533846616745, 592.0, 381.0, 0.7058584094047546, 598.0, 406.0, 0.4298746883869171, 663.0, 426.0, 0.7950118780136108, 671.0, 466.0, 0.6685481071472168, 665.0, 519.0, 0.7069798707962036, 619.0, 426.0, 0.7909151315689087, 635.0, 468.0, 0.6098218560218811, 638.0, 515.0, 0.5582939386367798, -1, -1, -1, -1, -1, -1, 674.0, 306.0, 0.8945457935333252, 639.0, 297.0, 0.7234604358673096]"
img_001729,"[672.0, 326.0, 0.11306817829608917, 640.0, 339.0, 0.9173517823219299, 673.0, 345.0, 0.942145049571991, 691.0, 396.0, 0.8272165656089783, 697.0, 400.0, 0.6043651103973389, 610.0, 338.0, 0.8944007754325867, 588.0, 381.0, 0.6604481339454651, 598.0, 409.0, 0.3067462146282196, 659.0, 432.0, 0.8294433355331421, 687.0, 477.0, 0.6453455686569214, 688.0, 517.0, 0.577790379524231, 617.0, 434.0, 0.7965710163116455, 638.0, 480.0, 0.5354456901550293, 634.0, 526.0, 0.5084512233734131, 674.0, 322.0, 0.14163090288639069, -1, -1, -1, 667.0, 308.0, 0.9550440311431885, 631.0, 298.0, 0.5534474849700928]"
img_000449,"[-1, -1, -1, 672.0, 348.0, 0.8161977529525757, 694.0, 354.0, 0.7317876815795898, 703.0, 389.0, 0.6372197866439819, 710.0, 403.0, 0.38680171966552734, 646.0, 345.0, 0.7207499742507935, 628.0, 376.0, 0.48561379313468933, 626.0, 395.0, 0.16725608706474304, 674.0, 418.0, 0.7379570603370667, 677.0, 472.0, 0.5820795297622681, 675.0, 516.0, 0.4765784740447998, 637.0, 416.0, 0.7076047658920288, 640.0, 472.0, 0.5102832913398743, 646.0, 519.0, 0.41442474722862244, -1, -1, -1, -1, -1, -1, 697.0, 330.0, 0.5137759447097778, 668.0, 320.0, 0.36797595024108887]"
