0,1
img_000065,"[508.0, 268.0, 0.9599552750587463, 514.0, 294.0, 0.8993169069290161, 473.0, 287.0, 0.9559420347213745, 418.0, 286.0, 0.9473989605903625, 393.0, 261.0, 0.792582094669342, 551.0, 298.0, 0.8858475685119629, 584.0, 335.0, 0.8407368659973145, 559.0, 361.0, 0.8515724539756775, 486.0, 412.0, 0.9041013121604919, 476.0, 502.0, 0.8762977719306946, 478.0, 582.0, 0.894645631313324, 534.0, 414.0, 0.9349905252456665, 541.0, 505.0, 0.895534098148346, 557.0, 581.0, 0.8661001920700073, 503.0, 254.0, 0.933757483959198, 520.0, 256.0, 0.919819712638855, 496.0, 262.0, 0.5767834186553955, 538.0, 262.0, 0.8290618658065796]"
img_001153,"[570.0, 277.0, 0.8979166150093079, 561.0, 304.0, 0.8663660883903503, 534.0, 308.0, 0.9102331399917603, 512.0, 347.0, 0.9071229696273804, 564.0, 343.0, 0.8552201390266418, 590.0, 301.0, 0.9041480422019958, 615.0, 339.0, 0.7978265881538391, 601.0, 339.0, 0.7374656200408936, 545.0, 407.0, 0.946717381477356, 540.0, 485.0, 0.8510540723800659, 528.0, 556.0, 0.8781349062919617, 586.0, 404.0, 0.9204473495483398, 605.0, 482.0, 0.8799618482589722, 634.0, 555.0, 0.8712491989135742, 561.0, 271.0, 0.8749849200248718, 577.0, 270.0, 0.8567118644714355, 548.0, 274.0, 0.8022805452346802, 579.0, 275.0, 0.4615246057510376]"
img_000193,"[572.0, 275.0, 0.9549329280853271, 575.0, 304.0, 0.8998703956604004, 537.0, 298.0, 0.9165340065956116, 494.0, 328.0, 0.8476831912994385, 471.0, 304.0, 0.775814950466156, 610.0, 309.0, 0.8455535173416138, 640.0, 347.0, 0.8655919432640076, 625.0, 376.0, 0.8136240243911743, 530.0, 410.0, 0.9212402105331421, 505.0, 498.0, 0.9537126421928406, 494.0, 579.0, 0.9475117325782776, 580.0, 416.0, 0.9356173276901245, 568.0, 503.0, 0.9269870519638062, 559.0, 582.0, 0.938498318195343, 564.0, 264.0, 0.8913641571998596, 581.0, 267.0, 0.9381822347640991, 554.0, 263.0, 0.5739340782165527, 591.0, 270.0, 0.8339208364486694]"
img_000577,"[681.0, 411.0, 0.9613569974899292, 728.0, 417.0, 0.8373677134513855, 714.0, 416.0, 0.8212409019470215, 694.0, 479.0, 0.5123617053031921, 698.0, 465.0, 0.4742397964000702, 748.0, 416.0, 0.909012496471405, 751.0, 479.0, 0.8258985877037048, 701.0, 463.0, 0.6722205281257629, 747.0, 502.0, 0.8629305958747864, 658.0, 534.0, 0.9394681453704834, 671.0, 622.0, 0.8622022867202759, 779.0, 508.0, 0.8924515247344971, 746.0, 571.0, 0.6983715891838074, 767.0, 610.0, 0.7628328800201416, -1, -1, -1, 685.0, 405.0, 0.9671022295951843, -1, -1, -1, 706.0, 394.0, 1.010107398033142]"
img_000769,"[673.0, 381.0, 0.9506499171257019, 717.0, 392.0, 0.9108706116676331, 694.0, 397.0, 0.8683523535728455, 693.0, 457.0, 0.7025299668312073, 671.0, 437.0, 0.6239367127418518, 739.0, 389.0, 0.9179820418357849, 742.0, 453.0, 0.7979059815406799, 687.0, 453.0, 0.5780411958694458, 733.0, 480.0, 0.933799684047699, 672.0, 533.0, 0.9443893432617188, 669.0, 622.0, 0.8572873473167419, 775.0, 483.0, 0.9169674515724182, 739.0, 554.0, 0.8809992671012878, 783.0, 616.0, 0.8034720420837402, 672.0, 373.0, 0.29408740997314453, 677.0, 375.0, 1.017066240310669, -1, -1, -1, 697.0, 368.0, 1.0116156339645386]"
img_000833,"[700.0, 282.0, 0.835195004940033, 742.0, 302.0, 0.8402535915374756, 748.0, 299.0, 0.7691951990127563, 731.0, 352.0, 0.28604891896247864, 697.0, 335.0, 0.2427750527858734, 739.0, 304.0, 0.9090957641601562, 724.0, 365.0, 0.9197611212730408, 694.0, 335.0, 0.7238113284111023, 767.0, 412.0, 0.8323274850845337, 738.0, 507.0, 0.8486388921737671, 770.0, 589.0, 0.7349772453308105, 760.0, 414.0, 0.9327491521835327, 733.0, 507.0, 0.948772668838501, 784.0, 590.0, 0.882032036781311, 703.0, 275.0, 0.1682901680469513, 707.0, 274.0, 0.8926556706428528, -1, -1, -1, 721.0, 271.0, 1.0024917125701904]"
img_000257,"[553.0, 274.0, 0.7752528190612793, 552.0, 294.0, 0.915890634059906, 515.0, 296.0, 0.9131181240081787, 482.0, 340.0, 0.963289737701416, 507.0, 284.0, 0.8513671159744263, 590.0, 291.0, 0.8782690763473511, 627.0, 324.0, 0.8705388903617859, 590.0, 276.0, 0.781358540058136, 537.0, 418.0, 0.9453747868537903, 519.0, 525.0, 0.8560498356819153, 513.0, 603.0, 0.7927824258804321, 585.0, 419.0, 0.9545620083808899, 582.0, 523.0, 0.9528679251670837, 569.0, 616.0, 0.8958795070648193, 546.0, 266.0, 0.7049922347068787, 559.0, 265.0, 0.6980452537536621, 535.0, 266.0, 0.4863893985748291, 569.0, 265.0, 0.39716261625289917]"
img_000961,"[734.0, 279.0, 0.9032580852508545, 752.0, 304.0, 0.8832669258117676, 723.0, 305.0, 0.8476647138595581, 711.0, 337.0, 0.5794891119003296, 713.0, 327.0, 0.5289790034294128, 771.0, 302.0, 0.852337658405304, 770.0, 338.0, 0.8974103331565857, 730.0, 326.0, 0.8295414447784424, 726.0, 398.0, 0.9059125185012817, 700.0, 469.0, 0.9310905337333679, 677.0, 548.0, 0.9445539712905884, 760.0, 403.0, 0.895401656627655, 755.0, 482.0, 0.9483039379119873, 760.0, 555.0, 0.9730405807495117, 728.0, 271.0, 0.7386226058006287, 744.0, 274.0, 0.9135854840278625, 746.0, 275.0, 0.1416812688112259, 757.0, 276.0, 0.864385724067688]"
img_000321,"[541.0, 280.0, 0.917669951915741, 545.0, 317.0, 0.9599658846855164, 507.0, 321.0, 0.9293699264526367, 465.0, 376.0, 0.8506144285202026, 475.0, 362.0, 0.8062731027603149, 584.0, 313.0, 0.8996148109436035, 627.0, 356.0, 0.8767706155776978, 593.0, 309.0, 0.6677752733230591, 525.0, 436.0, 0.8695772290229797, 516.0, 540.0, 0.9331125617027283, 508.0, 640.0, 0.9291307330131531, 580.0, 434.0, 0.8734100461006165, 581.0, 530.0, 0.9321081638336182, 572.0, 620.0, 0.9412733316421509, 534.0, 273.0, 0.8722093105316162, 547.0, 273.0, 0.9197897911071777, 521.0, 276.0, 0.6352815628051758, 560.0, 270.0, 0.7246358394622803]"
img_000641,"[715.0, 458.0, 0.8464921712875366, 756.0, 469.0, 0.9121375679969788, 739.0, 467.0, 0.805489182472229, 715.0, 509.0, 0.6078640818595886, 704.0, 484.0, 0.47641485929489136, 772.0, 469.0, 0.9534816741943359, 765.0, 530.0, 0.9011858701705933, 753.0, 556.0, 0.5619193911552429, 759.0, 550.0, 0.682444155216217, 677.0, 532.0, 0.8150312304496765, 668.0, 618.0, 0.7193151712417603, 796.0, 558.0, 0.740677535533905, 751.0, 562.0, 0.5199680924415588, 760.0, 612.0, 0.5986649394035339, 714.0, 455.0, 0.24866294860839844, 718.0, 451.0, 0.8738196492195129, -1, -1, -1, 736.0, 444.0, 0.8996315002441406]"
