0,1
img_000065,"[-1, -1, -1, 493.0, 316.0, 0.9294301271438599, 531.0, 320.0, 0.9062914848327637, 535.0, 371.0, 0.6167629361152649, 510.0, 400.0, 0.22014203667640686, 454.0, 312.0, 0.8994484543800354, 434.0, 363.0, 0.8835095167160034, 449.0, 403.0, 0.5461120009422302, 512.0, 423.0, 0.8993142247200012, 504.0, 517.0, 0.9293543100357056, 498.0, 602.0, 0.8235527873039246, 462.0, 424.0, 0.9244264364242554, 459.0, 513.0, 0.976380467414856, 462.0, 607.0, 0.9488990306854248, -1, -1, -1, -1, -1, -1, 511.0, 274.0, 0.7894760966300964, 474.0, 271.0, 0.7053084969520569]"
img_001153,"[-1, -1, -1, 471.0, 322.0, 0.8965882658958435, 499.0, 327.0, 0.8566460609436035, 510.0, 380.0, 0.41872870922088623, 505.0, 418.0, 0.1653030961751938, 443.0, 318.0, 0.8097608685493469, 403.0, 349.0, 0.7413755059242249, 409.0, 306.0, 0.4740588963031769, 486.0, 428.0, 0.8428115248680115, 456.0, 514.0, 0.8221173882484436, 459.0, 599.0, 0.6850762963294983, 449.0, 426.0, 0.8671329617500305, 440.0, 517.0, 0.8446246385574341, 456.0, 601.0, 0.7962175011634827, -1, -1, -1, -1, -1, -1, 489.0, 283.0, 0.39551952481269836, 455.0, 281.0, 0.6802718043327332]"
img_000193,"[460.0, 302.0, 0.15983913838863373, 483.0, 332.0, 0.9230086207389832, 515.0, 328.0, 0.8540351390838623, 527.0, 366.0, 0.32111361622810364, -1, -1, -1, 450.0, 341.0, 0.8444000482559204, 424.0, 388.0, 0.8386242985725403, 438.0, 405.0, 0.5296885371208191, 515.0, 434.0, 0.8329258561134338, 502.0, 525.0, 0.8380486369132996, 499.0, 601.0, 0.7357324957847595, 465.0, 445.0, 0.8433476686477661, 464.0, 526.0, 0.8843759298324585, 469.0, 611.0, 0.8776437044143677, -1, -1, -1, 456.0, 287.0, 0.1779814213514328, 486.0, 287.0, 0.5083351731300354, 456.0, 292.0, 0.7110361456871033]"
img_000577,"[-1, -1, -1, 325.0, 306.0, 0.8781684637069702, 353.0, 310.0, 0.817613422870636, 361.0, 355.0, 0.6402755379676819, -1, -1, -1, 292.0, 303.0, 0.8257871270179749, 270.0, 336.0, 0.7727929353713989, -1, -1, -1, 334.0, 402.0, 0.8972193598747253, 352.0, 486.0, 0.8688605427742004, 366.0, 568.0, 0.8703072667121887, 291.0, 404.0, 0.8979220390319824, 272.0, 479.0, 0.8981633186340332, 243.0, 565.0, 0.8856891989707947, -1, -1, -1, -1, -1, -1, 341.0, 279.0, 0.6227476000785828, 313.0, 271.0, 0.7177726626396179]"
img_000769,"[296.0, 418.0, 0.6356781721115112, 259.0, 431.0, 0.8542594909667969, 278.0, 437.0, 0.9097059965133667, 289.0, 480.0, 0.7913927435874939, 303.0, 483.0, 0.49022355675697327, 240.0, 424.0, 0.7608897089958191, 235.0, 458.0, 0.2377290427684784, 278.0, 490.0, 0.16610504686832428, 236.0, 510.0, 0.8323771953582764, 282.0, 520.0, 0.6566689610481262, 277.0, 572.0, 0.6837421655654907, 210.0, 505.0, 0.7936820983886719, 259.0, 543.0, 0.4502033591270447, 266.0, 583.0, 0.524490475654602, 296.0, 414.0, 0.6855812072753906, -1, -1, -1, 283.0, 410.0, 0.9271361827850342, -1, -1, -1]"
img_000833,"[314.0, 417.0, 0.38628092408180237, 272.0, 426.0, 0.8683945536613464, 290.0, 432.0, 0.8878596425056458, 305.0, 477.0, 0.8573633432388306, 315.0, 481.0, 0.5702365636825562, 246.0, 420.0, 0.7992205619812012, 236.0, 454.0, 0.35843464732170105, 260.0, 486.0, 0.1408875733613968, 249.0, 501.0, 0.8434532284736633, 288.0, 523.0, 0.682283878326416, 281.0, 570.0, 0.6658334136009216, 218.0, 495.0, 0.8481439352035522, 247.0, 535.0, 0.504875659942627, 250.0, 582.0, 0.5457439422607422, 318.0, 413.0, 0.45984095335006714, -1, -1, -1, 296.0, 408.0, 0.904440701007843, -1, -1, -1]"
img_000257,"[-1, -1, -1, 469.0, 309.0, 0.9027032256126404, 502.0, 312.0, 0.8987452387809753, 520.0, 367.0, 0.8306663632392883, 512.0, 411.0, 0.5669063925743103, 443.0, 308.0, 0.8560448884963989, 420.0, 352.0, 0.8748573660850525, 417.0, 371.0, 0.5914362668991089, 493.0, 410.0, 0.8964553475379944, 479.0, 498.0, 0.9299502968788147, 474.0, 585.0, 0.8755599856376648, 449.0, 407.0, 0.8914342522621155, 427.0, 495.0, 0.9414103627204895, 442.0, 587.0, 0.8627347946166992, -1, -1, -1, -1, -1, -1, 486.0, 272.0, 0.5906528234481812, 453.0, 268.0, 0.76199871301651]"
img_000961,"[-1, -1, -1, 446.0, 307.0, 0.8911570310592651, 473.0, 311.0, 0.833652675151825, 488.0, 357.0, 0.6061930060386658, 476.0, 407.0, 0.27102404832839966, 412.0, 305.0, 0.8315430283546448, 380.0, 336.0, 0.8475699424743652, 377.0, 309.0, 0.42969784140586853, 459.0, 405.0, 0.8220136761665344, 448.0, 478.0, 0.8823020458221436, 454.0, 557.0, 0.7373693585395813, 416.0, 405.0, 0.8550335168838501, 412.0, 482.0, 0.9469425082206726, 443.0, 569.0, 0.8511526584625244, -1, -1, -1, -1, -1, -1, 459.0, 272.0, 0.6370481848716736, 429.0, 270.0, 0.7074408531188965]"
img_001601,"[386.0, 280.0, 0.23285479843616486, 397.0, 316.0, 0.8948708772659302, 427.0, 317.0, 0.8290547728538513, 448.0, 364.0, 0.7107330560684204, 428.0, 360.0, 0.298851877450943, 364.0, 318.0, 0.8313955664634705, 336.0, 361.0, 0.8766304850578308, 342.0, 347.0, 0.3138010799884796, 416.0, 422.0, 0.8488407731056213, 416.0, 506.0, 0.936865508556366, 449.0, 583.0, 0.8492178320884705, 371.0, 423.0, 0.9089332222938538, 358.0, 509.0, 0.886186957359314, 357.0, 601.0, 0.881706178188324, -1, -1, -1, 376.0, 276.0, 0.2620532214641571, 408.0, 277.0, 0.6226651668548584, 380.0, 278.0, 0.7712821960449219]"
img_001857,"[685.0, 320.0, 0.7998561859130859, 691.0, 350.0, 0.8688039183616638, 671.0, 345.0, 0.798820436000824, 628.0, 358.0, 0.5938968062400818, 626.0, 325.0, 0.4333585798740387, 714.0, 357.0, 0.8759180903434753, 688.0, 378.0, 0.37735238671302795, 667.0, 333.0, 0.27401202917099, 646.0, 438.0, 0.8406676650047302, 600.0, 497.0, 0.8945602178573608, 581.0, 590.0, 0.8305569887161255, 679.0, 449.0, 0.7919697165489197, 669.0, 523.0, 0.8335903882980347, 677.0, 599.0, 0.7388736009597778, 679.0, 310.0, 0.5808420181274414, 698.0, 315.0, 0.7722586989402771, 680.0, 320.0, 0.14387181401252747, 713.0, 323.0, 0.694871187210083]"
