0,1
img_000065,"[-1, -1, -1, 687.0, 330.0, 0.9131499528884888, 730.0, 331.0, 0.9248551726341248, 744.0, 414.0, 0.7469364404678345, 725.0, 463.0, 0.30412617325782776, 643.0, 329.0, 0.9067457318305969, 627.0, 409.0, 0.9240477085113525, 616.0, 466.0, 0.805168867111206, 724.0, 478.0, 0.8432334661483765, 698.0, 610.0, 0.8357871174812317, 678.0, 721.0, 0.8014063835144043, 671.0, 479.0, 0.8674309849739075, 675.0, 615.0, 0.922589123249054, 687.0, 732.0, 0.8554067611694336, -1, -1, -1, -1, -1, -1, 712.0, 280.0, 0.6821780800819397, 668.0, 276.0, 0.8721161484718323]"
img_001153,"[454.0, 277.0, 0.9733195900917053, 468.0, 318.0, 0.8998332023620605, 437.0, 317.0, 0.9272379279136658, 401.0, 325.0, 0.7479702830314636, 399.0, 299.0, 0.5018114447593689, 497.0, 322.0, 0.9145827889442444, 496.0, 354.0, 0.7569144368171692, 474.0, 321.0, 0.6447462439537048, 453.0, 431.0, 0.8303290605545044, 461.0, 515.0, 0.8462581634521484, 481.0, 596.0, 0.7347207069396973, 484.0, 430.0, 0.8515748977661133, 467.0, 519.0, 0.9189484119415283, 487.0, 607.0, 0.8738976716995239, 451.0, 267.0, 0.8522464632987976, 464.0, 268.0, 0.9625165462493896, 459.0, 284.0, 0.19974863529205322, 489.0, 278.0, 0.9597574472427368]"
img_000193,"[-1, -1, -1, 489.0, 319.0, 0.9150694012641907, 516.0, 320.0, 0.8868153095245361, 529.0, 370.0, 0.6959691047668457, 509.0, 411.0, 0.3758509159088135, 455.0, 318.0, 0.87318354845047, 442.0, 363.0, 0.889040470123291, 445.0, 398.0, 0.7454640865325928, 503.0, 411.0, 0.8734917044639587, 495.0, 491.0, 0.8525528907775879, 487.0, 574.0, 0.7275843024253845, 464.0, 412.0, 0.9053332209587097, 470.0, 494.0, 0.8571717739105225, 484.0, 579.0, 0.8377609848976135, -1, -1, -1, -1, -1, -1, 503.0, 281.0, 0.7735822200775146, 470.0, 279.0, 0.730003833770752]"
img_000577,"[-1, -1, -1, 411.0, 398.0, 0.1885901540517807, 414.0, 396.0, 0.14280353486537933, -1, -1, -1, -1, -1, -1, 399.0, 398.0, 0.1532236933708191, 383.0, 416.0, 0.12498003989458084, -1, -1, -1, 411.0, 445.0, 0.27905604243278503, 409.0, 493.0, 0.30886000394821167, 408.0, 541.0, 0.27843740582466125, 403.0, 444.0, 0.2982291877269745, 401.0, 492.0, 0.30164670944213867, 404.0, 540.0, 0.28146523237228394, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
img_000769,"[383.0, 422.0, 0.8403952121734619, 421.0, 409.0, 0.7794546484947205, 409.0, 412.0, 0.663791835308075, 413.0, 466.0, 0.5539798736572266, 406.0, 502.0, 0.4735364615917206, 430.0, 405.0, 0.7940468192100525, 436.0, 461.0, 0.6949988007545471, 416.0, 510.0, 0.5947564840316772, 476.0, 450.0, 0.6387908458709717, 463.0, 523.0, 0.627516508102417, 478.0, 590.0, 0.572756826877594, 521.0, 438.0, 0.7381681203842163, 469.0, 514.0, 0.9645946621894836, 491.0, 610.0, 0.8843216300010681, 371.0, 415.0, 0.4852026700973511, 384.0, 414.0, 0.81915283203125, -1, -1, -1, 398.0, 404.0, 0.827014148235321]"
img_000833,"[-1, -1, -1, 443.0, 453.0, 0.22678953409194946, 430.0, 450.0, 0.20589235424995422, 420.0, 487.0, 0.14161381125450134, 413.0, 525.0, 0.19032403826713562, -1, -1, -1, -1, -1, -1, -1, -1, -1, 449.0, 489.0, 0.48344624042510986, 432.0, 539.0, 0.5789272785186768, 418.0, 595.0, 0.5378915667533875, 475.0, 479.0, 0.46382835507392883, 457.0, 533.0, 0.6573057174682617, 485.0, 610.0, 0.6288595795631409, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
img_000257,"[378.0, 283.0, 0.8352223038673401, 411.0, 312.0, 0.8894714117050171, 409.0, 310.0, 0.7732192873954773, 396.0, 346.0, 0.29925280809402466, 373.0, 375.0, 0.25052550435066223, 412.0, 311.0, 0.9041886329650879, 405.0, 349.0, 0.8730732202529907, 379.0, 378.0, 0.8775193691253662, 407.0, 403.0, 0.7814584374427795, 400.0, 469.0, 0.8025743365287781, 409.0, 536.0, 0.7700697779655457, 409.0, 404.0, 0.8486006259918213, 399.0, 469.0, 0.8609175682067871, 410.0, 540.0, 0.8488816618919373, -1, -1, -1, 383.0, 280.0, 0.8327094316482544, -1, -1, -1, 401.0, 280.0, 0.905189037322998]"
img_000961,"[-1, -1, -1, 488.0, 429.0, 0.452324241399765, 510.0, 429.0, 0.40615034103393555, 515.0, 463.0, 0.3162165880203247, 436.0, 513.0, 0.17299330234527588, 465.0, 419.0, 0.3824411928653717, 424.0, 450.0, 0.42295926809310913, 412.0, 479.0, 0.41148969531059265, 489.0, 472.0, 0.6267755031585693, 441.0, 526.0, 0.7863209247589111, 422.0, 587.0, 0.7128073573112488, 467.0, 470.0, 0.642195999622345, 450.0, 527.0, 0.8428913950920105, 485.0, 613.0, 0.8305084109306335, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
img_000321,"[392.0, 282.0, 0.9093199968338013, 387.0, 316.0, 0.9123159050941467, 363.0, 314.0, 0.9053968191146851, 349.0, 357.0, 0.8025582432746887, 349.0, 401.0, 0.8393160104751587, 414.0, 318.0, 0.9305159449577332, 428.0, 358.0, 0.9432985782623291, 418.0, 403.0, 0.9568509459495544, 368.0, 405.0, 0.9629800915718079, 361.0, 474.0, 0.8754432797431946, 360.0, 549.0, 0.8563305139541626, 401.0, 408.0, 0.9266279339790344, 389.0, 481.0, 0.8933361768722534, 374.0, 548.0, 0.8249865174293518, 385.0, 277.0, 0.9136756062507629, 402.0, 279.0, 0.8928995728492737, 375.0, 281.0, 0.7657760977745056, 409.0, 283.0, 0.6968742609024048]"
img_000641,"[376.0, 422.0, 0.5417147874832153, 415.0, 404.0, 0.7160994410514832, 398.0, 403.0, 0.6100128293037415, 388.0, 453.0, 0.45858293771743774, 386.0, 466.0, 0.5353622436523438, 428.0, 392.0, 0.753918468952179, 465.0, 427.0, 0.5231450796127319, 486.0, 468.0, 0.5722765326499939, 454.0, 459.0, 0.7603135704994202, 451.0, 523.0, 0.7205090522766113, 467.0, 590.0, 0.7111753225326538, 488.0, 450.0, 0.7805232405662537, 458.0, 515.0, 0.8120173811912537, 469.0, 594.0, 0.7770295739173889, 369.0, 425.0, 0.15393266081809998, 380.0, 411.0, 0.5662347674369812, -1, -1, -1, 390.0, 392.0, 0.6098398566246033]"
