0,1
img_000065,"[475.0, 291.0, 0.10442987084388733, 492.0, 321.0, 0.9468950033187866, 524.0, 320.0, 0.915549635887146, 547.0, 376.0, 0.8909170627593994, 554.0, 435.0, 0.8353883028030396, 456.0, 323.0, 0.8817524909973145, 436.0, 372.0, 0.8535279631614685, 418.0, 417.0, 0.6410837173461914, 514.0, 423.0, 0.8994598984718323, 510.0, 509.0, 0.9632073640823364, 529.0, 600.0, 0.9469234347343445, 465.0, 422.0, 0.9045502543449402, 459.0, 507.0, 0.9056168794631958, 454.0, 584.0, 0.9265792965888977, -1, -1, -1, 461.0, 285.0, 0.12089605629444122, 497.0, 281.0, 0.6343098878860474, 466.0, 281.0, 0.7678617238998413]"
img_001153,"[-1, -1, -1, 730.0, 333.0, 0.9260900020599365, 779.0, 343.0, 0.9214104413986206, 812.0, 414.0, 0.8442329168319702, 826.0, 450.0, 0.869691789150238, 683.0, 323.0, 0.8056642413139343, 619.0, 305.0, 0.597831130027771, -1, -1, -1, 747.0, 484.0, 0.9036914110183716, 731.0, 603.0, 0.9776267409324646, 719.0, 722.0, 0.9427863359451294, 681.0, 475.0, 0.8714190125465393, 689.0, 598.0, 0.8566461205482483, 688.0, 691.0, 0.72456294298172, -1, -1, -1, -1, -1, -1, 762.0, 290.0, 0.8398996591567993, 717.0, 283.0, 0.8804199695587158]"
img_000193,"[250.0, 275.0, 0.9349263906478882, 251.0, 308.0, 0.8911430239677429, 216.0, 314.0, 0.9118747711181641, 189.0, 363.0, 0.9209376573562622, 171.0, 409.0, 0.8286886811256409, 286.0, 300.0, 0.8844893574714661, 331.0, 332.0, 0.8491908311843872, 373.0, 362.0, 0.8238333463668823, 239.0, 414.0, 0.9185518026351929, 247.0, 498.0, 0.9350411295890808, 253.0, 585.0, 0.8903573751449585, 280.0, 411.0, 0.922480583190918, 272.0, 498.0, 0.9389733076095581, 260.0, 582.0, 0.8226926326751709, 242.0, 268.0, 0.9461079835891724, 259.0, 265.0, 0.9118495583534241, 232.0, 274.0, 0.7876232862472534, 268.0, 269.0, 0.6726784706115723]"
img_000577,"[271.0, 282.0, 0.7720390558242798, 261.0, 313.0, 0.910752534866333, 230.0, 311.0, 0.8771584033966064, 198.0, 354.0, 0.9076085090637207, 189.0, 407.0, 0.9013885259628296, 287.0, 315.0, 0.8991454243659973, 318.0, 358.0, 0.8814677000045776, 324.0, 396.0, 0.7747440934181213, 235.0, 409.0, 0.8912864923477173, 228.0, 485.0, 0.8528309464454651, 235.0, 558.0, 0.8335670232772827, 271.0, 411.0, 0.8824372291564941, 262.0, 488.0, 0.8865547776222229, 249.0, 559.0, 0.7767672538757324, 267.0, 278.0, 0.7566331624984741, 275.0, 277.0, 0.7346668243408203, 258.0, 278.0, 0.7331108450889587, 278.0, 279.0, 0.6195150017738342]"
img_000769,"[-1, -1, -1, 690.0, 333.0, 0.9018959403038025, 732.0, 338.0, 0.8967484831809998, 761.0, 410.0, 0.9336023330688477, 767.0, 464.0, 0.9126024842262268, 643.0, 330.0, 0.9045714139938354, 605.0, 390.0, 0.900770902633667, 583.0, 437.0, 0.8091679215431213, 719.0, 462.0, 0.8657795786857605, 711.0, 563.0, 0.9302765130996704, 707.0, 659.0, 0.7572828531265259, 663.0, 460.0, 0.87773197889328, 667.0, 567.0, 0.9621353149414062, 680.0, 673.0, 0.8921226859092712, -1, -1, -1, -1, -1, -1, 713.0, 291.0, 0.852620542049408, 675.0, 287.0, 0.7830182313919067]"
img_000833,"[578.0, 299.0, 0.1466723531484604, 597.0, 323.0, 0.9181203246116638, 624.0, 325.0, 0.89288330078125, 639.0, 375.0, 0.7494797706604004, 644.0, 428.0, 0.7829008102416992, 574.0, 322.0, 0.8568054437637329, 549.0, 363.0, 0.9027637243270874, 523.0, 391.0, 0.6061567068099976, 618.0, 415.0, 0.8803220391273499, 589.0, 498.0, 0.8418990969657898, 597.0, 573.0, 0.6792755722999573, 578.0, 414.0, 0.8640468120574951, 563.0, 500.0, 0.9156736135482788, 594.0, 579.0, 0.7697786688804626, -1, -1, -1, 578.0, 287.0, 0.178132101893425, 611.0, 286.0, 0.44532620906829834, 582.0, 285.0, 0.845020055770874]"
img_000257,"[295.0, 275.0, 0.9186293482780457, 272.0, 321.0, 0.9810070991516113, 227.0, 323.0, 0.9492372274398804, 191.0, 392.0, 0.9467297792434692, 188.0, 457.0, 0.9585010409355164, 316.0, 318.0, 0.9931299090385437, 362.0, 361.0, 0.8175028562545776, 410.0, 377.0, 0.6295164227485657, 240.0, 466.0, 0.9359967708587646, 236.0, 576.0, 0.9019415974617004, 232.0, 671.0, 0.9188230633735657, 299.0, 465.0, 0.9089497923851013, 316.0, 577.0, 0.9805274605751038, 316.0, 685.0, 0.968661904335022, 285.0, 264.0, 0.9561571478843689, 304.0, 265.0, 0.8622201085090637, 257.0, 266.0, 0.9245374202728271, 316.0, 272.0, 0.10200434923171997]"
img_000961,"[271.0, 277.0, 0.6897749304771423, 272.0, 305.0, 0.9293934106826782, 252.0, 308.0, 0.8745509386062622, 227.0, 354.0, 0.713061511516571, 205.0, 401.0, 0.6839150190353394, 289.0, 298.0, 0.7562687993049622, 337.0, 313.0, 0.627239465713501, 363.0, 294.0, 0.5876676440238953, 273.0, 405.0, 0.8186546564102173, 269.0, 481.0, 0.8975755572319031, 278.0, 550.0, 0.8517724275588989, 284.0, 406.0, 0.8054407238960266, 269.0, 482.0, 0.9065396189689636, 276.0, 552.0, 0.8752908110618591, 267.0, 272.0, 0.6130836606025696, 274.0, 270.0, 0.6593611836433411, 261.0, 274.0, 0.5534902215003967, 276.0, 271.0, 0.5959550738334656]"
img_001601,"[-1, -1, -1, 716.0, 328.0, 0.9932594299316406, 764.0, 333.0, 0.931037187576294, 786.0, 403.0, 0.8991909027099609, 785.0, 460.0, 0.9016406536102295, 668.0, 326.0, 0.9474786520004272, 647.0, 393.0, 0.8718795776367188, 669.0, 434.0, 0.5653132200241089, 746.0, 458.0, 0.8593664765357971, 740.0, 561.0, 0.958417534828186, 738.0, 662.0, 0.9518433809280396, 684.0, 456.0, 0.8974109888076782, 682.0, 562.0, 1.0113273859024048, 698.0, 670.0, 0.8471574187278748, -1, -1, -1, -1, -1, -1, 739.0, 283.0, 0.781963586807251, 695.0, 278.0, 0.9233364462852478]"
img_001665,"[-1, -1, -1, 603.0, 319.0, 0.9142748713493347, 631.0, 320.0, 0.900670051574707, 650.0, 370.0, 0.8627948760986328, 655.0, 420.0, 0.8382787108421326, 577.0, 321.0, 0.8648629784584045, 559.0, 365.0, 0.8413769006729126, 565.0, 396.0, 0.531259298324585, 624.0, 412.0, 0.9171157479286194, 613.0, 496.0, 0.8945176005363464, 606.0, 573.0, 0.8038992881774902, 586.0, 412.0, 0.9459648728370667, 585.0, 494.0, 0.9668676853179932, 596.0, 576.0, 0.8613125681877136, -1, -1, -1, -1, -1, -1, 618.0, 284.0, 0.6666958332061768, 586.0, 282.0, 0.7501349449157715]"
img_000321,"[-1, -1, -1, 608.0, 335.0, 0.9056059718132019, 642.0, 345.0, 0.9193708300590515, 665.0, 426.0, 0.94655442237854, 709.0, 483.0, 0.8639114499092102, 571.0, 330.0, 0.9146426916122437, 515.0, 395.0, 0.8263893723487854, 482.0, 442.0, 0.6526306867599487, 613.0, 491.0, 0.8583566546440125, 599.0, 618.0, 0.8995448350906372, 510.0, 734.0, 0.9192052483558655, 570.0, 485.0, 0.7701050043106079, 629.0, 611.0, 0.8197466135025024, 649.0, 724.0, 0.8748538494110107, 668.0, 290.0, 0.10649333149194717, -1, -1, -1, 653.0, 287.0, 0.9207056164741516, 607.0, 279.0, 0.47071143984794617]"
