0,1
img_002766,"[537.0, 187.0, 0.911444902420044, 511.0, 225.0, 0.9182981848716736, 476.0, 215.0, 0.9026177525520325, 438.0, 271.0, 0.9987982511520386, 481.0, 305.0, 0.9061271548271179, 545.0, 234.0, 0.9265171885490417, 550.0, 292.0, 0.810340404510498, 555.0, 346.0, 0.7816946506500244, 465.0, 351.0, 0.84348464012146, 450.0, 462.0, 0.9621790647506714, 414.0, 566.0, 0.8996299505233765, 512.0, 361.0, 0.8720465302467346, 498.0, 468.0, 0.9801746606826782, 490.0, 564.0, 0.9072259068489075, 530.0, 175.0, 0.8934043049812317, 543.0, 180.0, 0.875249981880188, 508.0, 174.0, 0.8725118637084961, 542.0, 187.0, 0.25616422295570374]"
img_001382,"[524.0, 177.0, 0.9190798401832581, 504.0, 227.0, 0.903447687625885, 472.0, 229.0, 0.9161239266395569, 465.0, 298.0, 0.9878888130187988, 526.0, 324.0, 0.9251386523246765, 539.0, 228.0, 0.8448140621185303, 547.0, 290.0, 0.4680376946926117, 547.0, 327.0, 0.4343636631965637, 486.0, 363.0, 0.9233160614967346, 472.0, 476.0, 0.9258615970611572, 451.0, 587.0, 0.9388488531112671, 529.0, 365.0, 0.8895265460014343, 513.0, 478.0, 0.8724200129508972, 497.0, 576.0, 0.8984392285346985, 511.0, 167.0, 0.9367411732673645, 532.0, 167.0, 0.9007871150970459, 495.0, 173.0, 0.9002878665924072, 535.0, 168.0, 0.19648753106594086]"
img_002528,"[443.0, 169.0, 0.8938136696815491, 425.0, 219.0, 0.9003327488899231, 385.0, 222.0, 0.8800413608551025, 353.0, 282.0, 0.9562069177627563, 390.0, 310.0, 0.9291818141937256, 462.0, 217.0, 0.8878498673439026, 490.0, 278.0, 0.81205815076828, 465.0, 315.0, 0.6123182773590088, 396.0, 359.0, 0.8706966638565063, 394.0, 465.0, 0.8951963782310486, 393.0, 563.0, 0.8774584531784058, 453.0, 359.0, 0.9012168645858765, 457.0, 466.0, 0.9240117073059082, 464.0, 576.0, 0.9320483803749084, 432.0, 160.0, 0.9038717150688171, 449.0, 160.0, 0.8740772604942322, 412.0, 166.0, 0.897334635257721, 450.0, 164.0, 0.3000633716583252]"
img_001197,"[492.0, 169.0, 0.9606990218162537, 491.0, 211.0, 0.8634994029998779, 457.0, 202.0, 0.9066882729530334, 403.0, 196.0, 0.6114525198936462, 366.0, 185.0, 0.8285478353500366, 521.0, 218.0, 0.7805722951889038, 536.0, 223.0, 0.2912164330482483, -1, -1, -1, 442.0, 341.0, 0.9081844687461853, 416.0, 455.0, 0.9909297227859497, 427.0, 552.0, 0.8928176164627075, 491.0, 356.0, 0.8829651474952698, 467.0, 460.0, 0.9368733167648315, 468.0, 566.0, 0.9042160511016846, 486.0, 158.0, 0.925938069820404, 501.0, 159.0, 0.9435054659843445, 466.0, 167.0, 0.5764464139938354, 515.0, 169.0, 0.7128705978393555]"
img_002576,"[428.0, 172.0, 0.9118155241012573, 421.0, 208.0, 0.9345430135726929, 383.0, 197.0, 0.9187964797019958, 329.0, 177.0, 0.7762423753738403, 284.0, 142.0, 0.8129304051399231, 459.0, 218.0, 0.9550223350524902, 520.0, 253.0, 0.8579538464546204, 504.0, 217.0, 0.6546654105186462, 376.0, 349.0, 0.8643651008605957, 383.0, 468.0, 0.8942158222198486, 393.0, 565.0, 0.8816814422607422, 425.0, 358.0, 0.9347677230834961, 429.0, 468.0, 0.9497169256210327, 449.0, 580.0, 0.9650063514709473, 421.0, 159.0, 0.9195070862770081, 442.0, 162.0, 0.8745191693305969, 409.0, 162.0, 0.7742938995361328, 450.0, 166.0, 0.5325084924697876]"
img_002235,"[449.0, 186.0, 0.6672313809394836, 490.0, 223.0, 0.781511664390564, 488.0, 218.0, 0.7289355993270874, 477.0, 284.0, 0.23198623955249786, 448.0, 336.0, 0.1776198148727417, 489.0, 226.0, 0.8924576640129089, 486.0, 297.0, 0.8850416541099548, 454.0, 353.0, 0.8880890011787415, 476.0, 354.0, 0.6965384483337402, 462.0, 449.0, 0.8116106390953064, 472.0, 536.0, 0.7831090092658997, 478.0, 359.0, 0.793322741985321, 460.0, 448.0, 0.855749785900116, 491.0, 533.0, 0.7697169780731201, -1, -1, -1, 454.0, 175.0, 0.7135530114173889, -1, -1, -1, 470.0, 180.0, 0.869920015335083]"
img_000804,"[494.0, 175.0, 0.9269651770591736, 517.0, 213.0, 0.8688839673995972, 490.0, 205.0, 0.8892783522605896, 421.0, 197.0, 0.7786696553230286, 378.0, 148.0, 0.8088218569755554, 548.0, 226.0, 0.9001544117927551, 574.0, 292.0, 0.8190199136734009, 573.0, 349.0, 0.766357421875, 484.0, 345.0, 0.8157204389572144, 492.0, 456.0, 0.8313795328140259, 504.0, 552.0, 0.8167104125022888, 522.0, 356.0, 0.8805580735206604, 517.0, 459.0, 0.9122868776321411, 534.0, 564.0, 0.9204139113426208, 494.0, 163.0, 0.6529992818832397, 506.0, 163.0, 0.9215379357337952, -1, -1, -1, 535.0, 172.0, 0.8373594880104065]"
img_001633,"[560.0, 189.0, 0.9066163301467896, 529.0, 223.0, 0.8742283582687378, 501.0, 215.0, 0.8722974061965942, 486.0, 279.0, 0.5321395397186279, 476.0, 341.0, 0.32759469747543335, 558.0, 228.0, 0.83343505859375, 597.0, 252.0, 0.6205644011497498, 622.0, 231.0, 0.6162533164024353, 498.0, 350.0, 0.8514368534088135, 512.0, 459.0, 0.8650736808776855, 494.0, 569.0, 0.8241924047470093, 536.0, 355.0, 0.8221458792686462, 526.0, 461.0, 0.8007975816726685, 498.0, 557.0, 0.7249869108200073, 550.0, 177.0, 0.928939163684845, 571.0, 181.0, 0.7966822385787964, 533.0, 177.0, 0.8451042175292969, -1, -1, -1]"
img_002569,"[425.0, 173.0, 0.8824411034584045, 417.0, 213.0, 0.9316747188568115, 384.0, 201.0, 0.939714789390564, 330.0, 187.0, 0.7753345370292664, 284.0, 147.0, 0.8508365154266357, 452.0, 224.0, 0.9265768527984619, 492.0, 272.0, 0.8248007297515869, 470.0, 244.0, 0.57247394323349, 376.0, 351.0, 0.8622125387191772, 381.0, 467.0, 0.9000588059425354, 391.0, 565.0, 0.8787621259689331, 421.0, 360.0, 0.926068127155304, 430.0, 467.0, 0.9441842436790466, 446.0, 579.0, 0.9525814056396484, 421.0, 161.0, 0.8937709331512451, 439.0, 162.0, 0.8326908349990845, 409.0, 163.0, 0.7802479267120361, 441.0, 166.0, 0.43619444966316223]"
img_000957,"[506.0, 174.0, 0.9114006757736206, 515.0, 221.0, 0.8442813754081726, 498.0, 215.0, 0.84686678647995, 473.0, 265.0, 0.3166695237159729, -1, -1, -1, 539.0, 226.0, 0.9060342311859131, 534.0, 289.0, 0.9202738404273987, 488.0, 281.0, 0.8612825274467468, 489.0, 340.0, 0.7587966918945312, 495.0, 450.0, 0.8439594507217407, 512.0, 548.0, 0.8484434485435486, 507.0, 351.0, 0.8325058817863464, 474.0, 454.0, 0.9024856090545654, 487.0, 558.0, 0.8375926613807678, 502.0, 165.0, 0.8033084869384766, 516.0, 167.0, 0.8900358080863953, 502.0, 181.0, 0.1505734771490097, 536.0, 179.0, 0.816113293170929]"
img_000579,"[488.0, 178.0, 0.917798638343811, 500.0, 229.0, 0.9402873516082764, 465.0, 227.0, 0.9089416861534119, 428.0, 273.0, 0.8694475889205933, 422.0, 238.0, 0.5819284915924072, 538.0, 231.0, 0.9071823954582214, 549.0, 313.0, 0.9167562127113342, 501.0, 321.0, 0.8840534687042236, 457.0, 370.0, 0.924727737903595, 444.0, 488.0, 0.9026207327842712, 445.0, 600.0, 0.9305747151374817, 505.0, 375.0, 0.9072572588920593, 506.0, 497.0, 0.9559504985809326, 548.0, 599.0, 0.9090369343757629, 478.0, 166.0, 0.9094998240470886, 496.0, 164.0, 0.9434895515441895, 470.0, 178.0, 0.42182421684265137, 512.0, 168.0, 0.8556021451950073]"
img_002467,"[413.0, 168.0, 0.9434277415275574, 421.0, 217.0, 0.8968563079833984, 386.0, 219.0, 0.9003956317901611, 366.0, 280.0, 0.9520348310470581, 332.0, 325.0, 0.7392605543136597, 457.0, 213.0, 0.930799126625061, 471.0, 280.0, 0.8625819087028503, 458.0, 350.0, 0.8110661506652832, 398.0, 351.0, 0.8571208119392395, 397.0, 457.0, 0.9022402763366699, 399.0, 543.0, 0.8801355957984924, 446.0, 350.0, 0.8506391644477844, 454.0, 457.0, 0.9518899917602539, 465.0, 569.0, 0.9177827835083008, 405.0, 160.0, 0.9544903635978699, 419.0, 158.0, 0.9357370734214783, 394.0, 167.0, 0.5996785759925842, 436.0, 161.0, 0.7836237549781799]"
img_000724,"[516.0, 182.0, 0.5099891424179077, 559.0, 231.0, 0.7843996286392212, 557.0, 226.0, 0.7518219947814941, 548.0, 307.0, 0.14115837216377258, -1, -1, -1, 566.0, 234.0, 0.8855406641960144, 573.0, 316.0, 0.8537150025367737, 543.0, 385.0, 0.8527202010154724, 547.0, 375.0, 0.7642207145690918, 518.0, 475.0, 0.8265683650970459, 513.0, 557.0, 0.8205426931381226, 564.0, 378.0, 0.8567880988121033, 554.0, 478.0, 0.8720064163208008, 569.0, 589.0, 0.9420694708824158, -1, -1, -1, 528.0, 173.0, 0.5711079835891724, -1, -1, -1, 544.0, 179.0, 0.8518720865249634]"
img_002271,"[416.0, 182.0, 0.544070839881897, 450.0, 224.0, 0.8636623024940491, 431.0, 218.0, 0.8056074976921082, 415.0, 276.0, 0.27012696862220764, 397.0, 354.0, 0.14383330941200256, 465.0, 229.0, 0.8628168106079102, 484.0, 291.0, 0.754429817199707, 493.0, 357.0, 0.6861839890480042, 412.0, 346.0, 0.8758139610290527, 404.0, 450.0, 0.8798999786376953, 407.0, 542.0, 0.9312561750411987, 447.0, 355.0, 0.8458946943283081, 448.0, 453.0, 0.8854539394378662, 460.0, 553.0, 0.9027061462402344, -1, -1, -1, 423.0, 173.0, 0.573970377445221, -1, -1, -1, 447.0, 174.0, 0.7193983197212219]"
img_001763,"[575.0, 177.0, 0.8975326418876648, 550.0, 220.0, 0.8789276480674744, 528.0, 218.0, 0.8862126469612122, 525.0, 286.0, 0.9370797872543335, 579.0, 301.0, 0.7249122858047485, 579.0, 225.0, 0.8727622628211975, 582.0, 282.0, 0.6338645815849304, 596.0, 303.0, 0.5652161836624146, 522.0, 347.0, 0.8592072129249573, 527.0, 460.0, 0.8407363891601562, 501.0, 571.0, 0.8347885012626648, 551.0, 353.0, 0.8390129208564758, 535.0, 462.0, 0.8399136662483215, 505.0, 557.0, 0.7402912974357605, 565.0, 167.0, 0.8905650973320007, 582.0, 168.0, 0.8569414019584656, 544.0, 167.0, 0.8696783185005188, 568.0, 177.0, 0.12451040744781494]"
img_000794,"[495.0, 176.0, 0.890184760093689, 525.0, 218.0, 0.8257737159729004, 501.0, 214.0, 0.8430976271629333, 490.0, 283.0, 0.41655591130256653, 464.0, 338.0, 0.37077251076698303, 546.0, 220.0, 0.8706799745559692, 561.0, 290.0, 0.8740261197090149, 545.0, 348.0, 0.8706440329551697, 494.0, 348.0, 0.8179429173469543, 496.0, 456.0, 0.8158078789710999, 508.0, 550.0, 0.8318247199058533, 527.0, 359.0, 0.8301583528518677, 513.0, 457.0, 0.9057415723800659, 531.0, 561.0, 0.9071711301803589, 495.0, 164.0, 0.5092301964759827, 503.0, 164.0, 0.9179420471191406, -1, -1, -1, 532.0, 168.0, 0.8501072525978088]"
img_001708,"[552.0, 182.0, 0.8774363994598389, 521.0, 223.0, 0.8273158073425293, 495.0, 223.0, 0.8676836490631104, 442.0, 278.0, 0.9696621894836426, 494.0, 320.0, 1.0010513067245483, 545.0, 219.0, 0.7974709868431091, 592.0, 206.0, 0.21865490078926086, 628.0, 224.0, 0.24024918675422668, 503.0, 366.0, 0.8834068179130554, 500.0, 478.0, 0.8365815877914429, 494.0, 582.0, 0.8373270034790039, 540.0, 366.0, 0.842091977596283, 522.0, 477.0, 0.8054529428482056, 499.0, 567.0, 0.7680565118789673, 544.0, 173.0, 0.9551467299461365, 549.0, 174.0, 0.4426647424697876, 517.0, 178.0, 0.9104688763618469, -1, -1, -1]"
img_002665,"[406.0, 171.0, 0.9428254961967468, 414.0, 212.0, 0.9600101709365845, 379.0, 211.0, 0.9266860485076904, 342.0, 240.0, 0.6948050856590271, 305.0, 237.0, 0.5909996032714844, 451.0, 213.0, 0.9509843587875366, 500.0, 259.0, 0.9260887503623962, 541.0, 213.0, 0.850693941116333, 373.0, 351.0, 0.8796380758285522, 378.0, 470.0, 0.9170065522193909, 382.0, 564.0, 0.8857303261756897, 421.0, 359.0, 0.9388282895088196, 427.0, 470.0, 0.9544366002082825, 448.0, 582.0, 0.965962827205658, 400.0, 160.0, 0.9207826256752014, 414.0, 160.0, 0.9535794258117676, 385.0, 161.0, 0.49596312642097473, 431.0, 162.0, 0.7666932344436646]"
img_000440,"[569.0, 189.0, 0.9120444059371948, 575.0, 242.0, 0.9641296863555908, 531.0, 232.0, 0.9111884832382202, 479.0, 272.0, 0.9481160640716553, 509.0, 223.0, 0.7106052041053772, 616.0, 254.0, 0.8903684020042419, 613.0, 334.0, 0.9770820140838623, 555.0, 336.0, 0.8697171211242676, 499.0, 374.0, 0.9472828507423401, 464.0, 495.0, 0.9666470885276794, 446.0, 601.0, 0.9289342164993286, 557.0, 394.0, 0.8375540375709534, 542.0, 508.0, 0.9398784041404724, 537.0, 614.0, 0.8950662016868591, 561.0, 178.0, 0.8655019998550415, 581.0, 183.0, 0.9573075175285339, 560.0, 185.0, 0.2548767030239105, 598.0, 192.0, 0.9190861582756042]"
img_001968,"[588.0, 196.0, 0.8009977340698242, 563.0, 226.0, 0.8468866944313049, 541.0, 226.0, 0.9048876166343689, 574.0, 279.0, 0.8107385635375977, 626.0, 260.0, 0.6850820779800415, 593.0, 226.0, 0.7845210433006287, 621.0, 279.0, 0.5505103468894958, 627.0, 269.0, 0.4105241894721985, 549.0, 353.0, 0.8573564291000366, 549.0, 458.0, 0.9307237863540649, 534.0, 571.0, 0.8469838500022888, 584.0, 355.0, 0.8816043734550476, 590.0, 460.0, 0.9502259492874146, 569.0, 553.0, 0.8457066416740417, 583.0, 189.0, 0.8145909309387207, 595.0, 190.0, 0.5542972087860107, 555.0, 186.0, 0.7724083662033081, -1, -1, -1]"
