0,1
img_004776,"[396.0, 256.0, 0.9470537304878235, 419.0, 310.0, 0.8959604501724243, 390.0, 311.0, 0.8917142748832703, 379.0, 367.0, 0.6279790997505188, 367.0, 369.0, 0.3707793951034546, 455.0, 305.0, 0.877251386642456, 471.0, 372.0, 0.9112087488174438, 501.0, 408.0, 0.8796215057373047, 405.0, 434.0, 0.8852165341377258, 419.0, 540.0, 0.8822705745697021, 444.0, 635.0, 0.7409881353378296, 446.0, 432.0, 0.9326053857803345, 440.0, 541.0, 0.8986790776252747, 447.0, 642.0, 0.827384352684021, 388.0, 247.0, 0.8660439252853394, 405.0, 246.0, 0.9799266457557678, 401.0, 271.0, 0.11582115292549133, 424.0, 249.0, 0.8913716077804565]"
img_004366,"[494.0, 268.0, 0.946922779083252, 539.0, 290.0, 0.8710413575172424, 513.0, 290.0, 0.8338785171508789, 512.0, 348.0, 0.4914354383945465, 505.0, 376.0, 0.31582847237586975, 557.0, 287.0, 0.8947070837020874, 581.0, 340.0, 0.8421440124511719, 582.0, 398.0, 0.8439525365829468, 522.0, 397.0, 0.8763188719749451, 500.0, 485.0, 0.9821245074272156, 479.0, 580.0, 0.9005116820335388, 555.0, 404.0, 0.8880570530891418, 558.0, 486.0, 0.9023707509040833, 581.0, 564.0, 0.9010939598083496, 500.0, 263.0, 0.26504597067832947, 500.0, 255.0, 0.9651903510093689, -1, -1, -1, 526.0, 253.0, 0.882623553276062]"
img_004529,"[643.0, 250.0, 0.11692370474338531, 622.0, 279.0, 0.9167258739471436, 644.0, 279.0, 0.9265422224998474, 674.0, 328.0, 0.8849884867668152, 706.0, 330.0, 0.7824326753616333, 591.0, 281.0, 0.8823978304862976, 576.0, 330.0, 0.6189419031143188, 588.0, 363.0, 0.3826867341995239, 647.0, 383.0, 0.8963627815246582, 660.0, 478.0, 0.9200772047042847, 663.0, 568.0, 0.8017300367355347, 604.0, 386.0, 0.8526201248168945, 625.0, 476.0, 0.86125648021698, 586.0, 553.0, 0.7908965945243835, 641.0, 238.0, 0.1551857441663742, -1, -1, -1, 636.0, 243.0, 0.8506953120231628, 611.0, 240.0, 0.32660454511642456]"
img_000797,"[-1, -1, -1, 745.0, 274.0, 0.912337601184845, 769.0, 273.0, 0.8593425750732422, 784.0, 318.0, 0.776526927947998, 790.0, 332.0, 0.4863649606704712, 715.0, 276.0, 0.9171674847602844, 704.0, 323.0, 0.8154622912406921, 704.0, 363.0, 0.7552902102470398, 762.0, 363.0, 0.9167731404304504, 763.0, 445.0, 0.9544909000396729, 754.0, 519.0, 0.8492859601974487, 727.0, 365.0, 0.8825761675834656, 738.0, 443.0, 0.8645286560058594, 739.0, 514.0, 0.8090621829032898, -1, -1, -1, -1, -1, -1, 761.0, 234.0, 0.8784711360931396, 730.0, 237.0, 0.5315081477165222]"
img_005120,"[-1, -1, -1, 637.0, 275.0, 0.9240800142288208, 667.0, 276.0, 0.8942824006080627, 680.0, 316.0, 0.7622478008270264, 684.0, 337.0, 0.5314624309539795, 616.0, 275.0, 0.8483619689941406, 596.0, 312.0, 0.8320550918579102, 588.0, 350.0, 0.6638950705528259, 661.0, 356.0, 0.8917242288589478, 665.0, 435.0, 0.9086766242980957, 662.0, 513.0, 0.9004307389259338, 626.0, 358.0, 0.8758338093757629, 632.0, 433.0, 0.9298660755157471, 637.0, 506.0, 0.8052183985710144, -1, -1, -1, -1, -1, -1, 660.0, 242.0, 0.736682653427124, 628.0, 237.0, 0.6266178488731384]"
img_003328,"[-1, -1, -1, 793.0, 263.0, 0.9064419269561768, 823.0, 266.0, 0.8634803891181946, 870.0, 285.0, 0.8541224002838135, 913.0, 236.0, 0.6558910012245178, 765.0, 261.0, 0.8212748169898987, 718.0, 282.0, 0.7636734843254089, 714.0, 254.0, 0.45261555910110474, 809.0, 380.0, 0.9025905728340149, 801.0, 468.0, 0.9439476132392883, 797.0, 559.0, 0.9012983441352844, 769.0, 375.0, 0.8913403153419495, 762.0, 465.0, 0.90606689453125, 755.0, 543.0, 0.8691023588180542, -1, -1, -1, -1, -1, -1, 805.0, 228.0, 0.5417470932006836, 779.0, 228.0, 0.39182132482528687]"
img_001382,"[702.0, 244.0, 0.17594893276691437, 673.0, 277.0, 0.9359437227249146, 691.0, 276.0, 0.8923113346099854, 707.0, 315.0, 0.809785008430481, 722.0, 310.0, 0.5903928875923157, 647.0, 279.0, 0.8384734392166138, 636.0, 318.0, 0.5660336017608643, 647.0, 342.0, 0.27405062317848206, 691.0, 358.0, 0.886559784412384, 707.0, 435.0, 0.9588928818702698, 694.0, 508.0, 0.7775507569313049, 662.0, 363.0, 0.8651845455169678, 677.0, 439.0, 0.9394464492797852, 679.0, 505.0, 0.8312000632286072, 701.0, 239.0, 0.21807199716567993, -1, -1, -1, 687.0, 241.0, 0.8633768558502197, 671.0, 240.0, 0.29651349782943726]"
img_003387,"[-1, -1, -1, 755.0, 270.0, 0.9132068753242493, 788.0, 272.0, 0.8576900959014893, 804.0, 321.0, 0.8963838815689087, 805.0, 356.0, 0.7206839919090271, 719.0, 270.0, 0.8942095041275024, 706.0, 320.0, 0.8666731119155884, 704.0, 370.0, 0.8242632746696472, 769.0, 368.0, 0.8849841952323914, 763.0, 456.0, 0.9673278331756592, 759.0, 536.0, 0.8102633357048035, 728.0, 369.0, 0.8635276556015015, 739.0, 455.0, 0.8795701861381531, 747.0, 534.0, 0.7797948122024536, -1, -1, -1, -1, -1, -1, 768.0, 230.0, 0.7340720295906067, 745.0, 231.0, 0.5477042198181152]"
img_000182,"[-1, -1, -1, 724.0, 274.0, 0.9018629789352417, 757.0, 277.0, 0.8910591006278992, 761.0, 334.0, 0.535629153251648, 752.0, 370.0, 0.32627737522125244, 691.0, 269.0, 0.8359957933425903, 656.0, 313.0, 0.8720369338989258, 665.0, 342.0, 0.49472150206565857, 737.0, 378.0, 0.8867140412330627, 725.0, 465.0, 0.9187366366386414, 723.0, 552.0, 0.8391600251197815, 692.0, 372.0, 0.866952657699585, 676.0, 457.0, 0.9421584010124207, 645.0, 540.0, 0.8807711601257324, -1, -1, -1, -1, -1, -1, 746.0, 237.0, 0.5150740146636963, 711.0, 232.0, 0.6215139627456665]"
img_003330,"[-1, -1, -1, 787.0, 261.0, 0.9241307973861694, 819.0, 266.0, 0.8869686126708984, 860.0, 295.0, 0.8367485404014587, 888.0, 244.0, 0.619673490524292, 759.0, 259.0, 0.8692916631698608, 713.0, 293.0, 0.8867183327674866, 716.0, 251.0, 0.4668249785900116, 807.0, 380.0, 0.9106835722923279, 801.0, 468.0, 0.9500621557235718, 797.0, 559.0, 0.9238714575767517, 763.0, 374.0, 0.9233754873275757, 757.0, 466.0, 0.8855994939804077, 752.0, 542.0, 0.8375149369239807, -1, -1, -1, -1, -1, -1, 801.0, 227.0, 0.4884759485721588, 771.0, 224.0, 0.5246931910514832]"
img_003858,"[664.0, 255.0, 0.3553737998008728, 622.0, 279.0, 0.8932463526725769, 636.0, 278.0, 0.9148306846618652, 637.0, 325.0, 0.8229373097419739, 666.0, 342.0, 0.7366861701011658, 600.0, 279.0, 0.7964279055595398, 578.0, 323.0, 0.5877532958984375, 578.0, 357.0, 0.528723418712616, 624.0, 369.0, 0.9039780497550964, 644.0, 451.0, 0.9646829962730408, 633.0, 532.0, 0.9001902341842651, 599.0, 367.0, 0.8803539872169495, 623.0, 452.0, 0.8648731708526611, 622.0, 522.0, 0.767571210861206, 664.0, 248.0, 0.4069410562515259, -1, -1, -1, 642.0, 248.0, 0.9015262126922607, 624.0, 246.0, 0.11976879835128784]"
img_003262,"[817.0, 239.0, 0.16089165210723877, 792.0, 274.0, 0.9396774768829346, 819.0, 274.0, 0.9284319877624512, 843.0, 326.0, 0.8742161989212036, 881.0, 356.0, 0.6650573015213013, 760.0, 274.0, 0.89601069688797, 736.0, 322.0, 0.8638502359390259, 713.0, 333.0, 0.4883486330509186, 812.0, 378.0, 0.887128472328186, 803.0, 471.0, 0.9862983822822571, 794.0, 557.0, 0.8497469425201416, 768.0, 377.0, 0.8856801390647888, 767.0, 465.0, 0.8882055878639221, 757.0, 547.0, 0.8725754022598267, 815.0, 233.0, 0.1809222549200058, -1, -1, -1, 806.0, 234.0, 0.8502967953681946, 776.0, 235.0, 0.4461200535297394]"
img_005392,"[660.0, 248.0, 0.944685161113739, 654.0, 284.0, 0.909817099571228, 623.0, 284.0, 0.9392719864845276, 595.0, 326.0, 0.8589395880699158, 602.0, 353.0, 0.7998787760734558, 684.0, 286.0, 0.9354715347290039, 702.0, 332.0, 0.8779141902923584, 683.0, 336.0, 0.7372190952301025, 630.0, 380.0, 0.89664226770401, 632.0, 471.0, 0.8765946626663208, 624.0, 549.0, 0.8187093138694763, 672.0, 381.0, 0.8991895318031311, 669.0, 471.0, 0.9399361610412598, 661.0, 553.0, 0.8498443365097046, 653.0, 241.0, 0.975683867931366, 668.0, 241.0, 1.002976655960083, 640.0, 246.0, 0.8802803158760071, 675.0, 244.0, 0.7912055253982544]"
img_004924,"[-1, -1, -1, 548.0, 292.0, 0.9012411832809448, 587.0, 296.0, 0.9121463298797607, 615.0, 359.0, 0.9004941582679749, 636.0, 376.0, 0.6299535632133484, 512.0, 290.0, 0.9018547534942627, 490.0, 350.0, 0.8912003040313721, 510.0, 361.0, 0.36815324425697327, 577.0, 414.0, 0.9473265409469604, 563.0, 521.0, 0.9175359010696411, 560.0, 623.0, 0.9164498448371887, 526.0, 412.0, 0.898610532283783, 535.0, 520.0, 0.894011914730072, 541.0, 612.0, 0.7337800860404968, -1, -1, -1, -1, -1, -1, 572.0, 253.0, 0.6789678931236267, 535.0, 248.0, 0.6624425053596497]"
