0,1
img_001505,"[-1, -1, -1, 632.0, 327.0, 0.9312222599983215, 660.0, 329.0, 0.8642903566360474, 677.0, 363.0, 0.6839082837104797, 689.0, 359.0, 0.48743218183517456, 606.0, 329.0, 0.8812620043754578, 590.0, 366.0, 0.6820715069770813, 593.0, 389.0, 0.34625309705734253, 651.0, 409.0, 0.859921395778656, 656.0, 474.0, 0.7918557524681091, 655.0, 533.0, 0.7527309060096741, 613.0, 410.0, 0.8248432874679565, 621.0, 476.0, 0.712222695350647, 620.0, 533.0, 0.6635082364082336, -1, -1, -1, -1, -1, -1, 651.0, 295.0, 0.7540713548660278, 622.0, 290.0, 0.6067206263542175]"
img_001382,"[-1, -1, -1, 635.0, 326.0, 0.9251456260681152, 663.0, 330.0, 0.8512786626815796, 673.0, 371.0, 0.72962886095047, 678.0, 388.0, 0.48130011558532715, 610.0, 325.0, 0.869186282157898, 589.0, 359.0, 0.6988659501075745, 589.0, 386.0, 0.344016969203949, 647.0, 406.0, 0.8875960111618042, 649.0, 475.0, 0.8169242739677429, 650.0, 531.0, 0.792705774307251, 608.0, 406.0, 0.8309141993522644, 610.0, 474.0, 0.7280497550964355, 610.0, 535.0, 0.6893684267997742, -1, -1, -1, -1, -1, -1, 661.0, 298.0, 0.7175959348678589, 627.0, 291.0, 0.6062514781951904]"
img_000182,"[401.0, 259.0, 0.9342219233512878, 400.0, 258.0, 0.9335748553276062, 400.0, 291.0, 0.8740713000297546, -1, -1, -1, 369.0, 297.0, 0.9413244128227234, -1, -1, -1, 361.0, 331.0, 0.7723374366760254, -1, -1, -1, 381.0, 327.0, 0.6254162788391113, -1, -1, -1, 427.0, 286.0, 0.8844605088233948, -1, -1, -1, 445.0, 327.0, 0.8994451761245728, -1, -1, -1, 428.0, 322.0, 0.7362546920776367, -1, -1, -1, 382.0, 383.0, 0.8815240859985352, -1, -1, -1, 385.0, 463.0, 0.9335237145423889, -1, -1, -1, 382.0, 533.0, 0.8627477884292603, -1, -1, -1, 419.0, 380.0, 0.918956995010376, -1, -1, -1, 424.0, 461.0, 0.9533736705780029, -1, -1, -1, 439.0, 518.0, 0.7543627023696899, -1, -1, -1, -1, -1, -1, 391.0, 251.0, 0.9380818605422974, -1, -1, -1, 406.0, 250.0, 0.9301524758338928, 378.0, 256.0, 0.7958308458328247, 378.0, 256.0, 0.7958308458328247, 413.0, 253.0, 0.6760970950126648, 413.0, 253.0, 0.6760970950126648]"
img_001197,"[-1, -1, -1, 628.0, 326.0, 0.9372643828392029, 653.0, 328.0, 0.8460074663162231, 668.0, 374.0, 0.8646280765533447, 675.0, 401.0, 0.6893098950386047, 598.0, 325.0, 0.893301784992218, 581.0, 366.0, 0.8313227891921997, 574.0, 407.0, 0.7566828727722168, 641.0, 410.0, 0.8950007557868958, 652.0, 476.0, 0.8360296487808228, 659.0, 528.0, 0.9000595808029175, 600.0, 412.0, 0.8573423624038696, 611.0, 477.0, 0.8074843883514404, 621.0, 534.0, 0.697738766670227, -1, -1, -1, -1, -1, -1, 646.0, 293.0, 0.7827893495559692, 619.0, 289.0, 0.6047160625457764]"
img_000804,"[551.0, 239.0, 0.7059289813041687, 531.0, 290.0, 0.8432167172431946, 519.0, 290.0, 0.9163610339164734, 568.0, 307.0, 0.6646259427070618, 592.0, 273.0, 0.7364150285720825, 539.0, 290.0, 0.7466228008270264, 595.0, 301.0, 0.4256884455680847, 604.0, 285.0, 0.4519740343093872, 548.0, 415.0, 0.9463677406311035, 569.0, 508.0, 0.8587439656257629, 523.0, 594.0, 0.7924202680587769, 564.0, 411.0, 0.8904401063919067, 587.0, 510.0, 0.8630887269973755, 548.0, 592.0, 0.6754610538482666, 545.0, 234.0, 0.7462257742881775, -1, -1, -1, 528.0, 241.0, 0.7288844585418701, -1, -1, -1]"
img_001074,"[680.0, 245.0, 0.7346053123474121, 706.0, 281.0, 0.888585090637207, 709.0, 280.0, 0.792716920375824, 688.0, 323.0, 0.2599167823791504, 679.0, 344.0, 0.1365746557712555, 702.0, 281.0, 0.868343710899353, 688.0, 308.0, 0.6908734440803528, 678.0, 341.0, 0.41516199707984924, 698.0, 362.0, 0.7669970393180847, 700.0, 424.0, 0.7462995052337646, 718.0, 478.0, 0.5743280649185181, 691.0, 362.0, 0.8238475322723389, 687.0, 423.0, 0.7860180735588074, 719.0, 483.0, 0.5770187973976135, 687.0, 239.0, 0.26711925864219666, 687.0, 244.0, 0.7763340473175049, -1, -1, -1, 704.0, 247.0, 0.8462697267532349]"
img_000174,"[416.0, 261.0, 0.9297096133232117, 418.0, 288.0, 0.9006238579750061, 394.0, 293.0, 0.8941330909729004, 385.0, 331.0, 0.5973471403121948, 410.0, 323.0, 0.5103023052215576, 450.0, 286.0, 0.944879949092865, 465.0, 327.0, 0.9352768063545227, 446.0, 318.0, 0.8809340596199036, 408.0, 380.0, 0.9022942185401917, 399.0, 454.0, 0.8285196423530579, 393.0, 532.0, 0.7828729152679443, 446.0, 377.0, 0.9619707465171814, 454.0, 453.0, 0.8992195129394531, 471.0, 509.0, 0.754660427570343, 411.0, 252.0, 0.9232615232467651, 421.0, 252.0, 0.9298374652862549, 406.0, 254.0, 0.6421647071838379, 434.0, 252.0, 0.7144597768783569]"
img_000448,"[-1, -1, -1, 791.0, 272.0, 0.9133945107460022, 815.0, 272.0, 0.8709065914154053, 833.0, 314.0, 0.7616058588027954, 833.0, 332.0, 0.3640265464782715, 761.0, 273.0, 0.9212706685066223, 746.0, 314.0, 0.7820961475372314, 746.0, 335.0, 0.5008932948112488, 808.0, 361.0, 0.9247616529464722, 809.0, 438.0, 0.8906071782112122, 805.0, 508.0, 0.8522803783416748, 769.0, 363.0, 0.911981999874115, 777.0, 440.0, 0.8917741775512695, 786.0, 508.0, 0.8321434855461121, -1, -1, -1, -1, -1, -1, 805.0, 236.0, 0.8004710674285889, 774.0, 234.0, 0.6006734371185303]"
img_000957,"[-1, -1, -1, 823.0, 277.0, 0.9099521040916443, 851.0, 281.0, 0.9269204139709473, 863.0, 332.0, 0.9264857172966003, 864.0, 377.0, 0.8910765647888184, 794.0, 273.0, 0.8621667623519897, 771.0, 313.0, 0.7605873942375183, 779.0, 355.0, 0.4078853726387024, 830.0, 372.0, 0.8636661767959595, 829.0, 456.0, 0.909865140914917, 821.0, 539.0, 0.8821549415588379, 791.0, 369.0, 0.8944766521453857, 798.0, 452.0, 0.8822494745254517, 809.0, 534.0, 0.7369473576545715, -1, -1, -1, -1, -1, -1, 845.0, 246.0, 0.6681446433067322, 810.0, 239.0, 0.4754331111907959]"
img_000579,"[548.0, 242.0, 0.6763613820075989, 547.0, 270.0, 0.8928992748260498, 528.0, 270.0, 0.8656189441680908, 510.0, 305.0, 0.7954137325286865, 537.0, 321.0, 0.6303870677947998, 571.0, 271.0, 0.8084819316864014, 586.0, 308.0, 0.6218440532684326, 591.0, 331.0, 0.5071762204170227, 537.0, 353.0, 0.8764737844467163, 536.0, 424.0, 0.7866142392158508, 545.0, 486.0, 0.593852162361145, 559.0, 355.0, 0.8337761759757996, 551.0, 425.0, 0.7603012323379517, 554.0, 483.0, 0.5467790365219116, 545.0, 239.0, 0.645201563835144, 551.0, 238.0, 0.5835438966751099, 541.0, 239.0, 0.5583634972572327, 557.0, 239.0, 0.36334657669067383]"
