0,1
img_000797,"[585.0, 248.0, 0.8583673238754272, 563.0, 280.0, 0.7802201509475708, 550.0, 280.0, 0.8511714935302734, 566.0, 315.0, 0.7626368403434753, 582.0, 281.0, 0.6389809846878052, 577.0, 279.0, 0.6840704083442688, 603.0, 317.0, 0.37874406576156616, 620.0, 312.0, 0.331757515668869, 570.0, 388.0, 0.8680466413497925, 593.0, 479.0, 0.901458203792572, 622.0, 577.0, 0.8912269473075867, 578.0, 386.0, 0.8612838983535767, 578.0, 487.0, 0.8566218614578247, 551.0, 562.0, 0.8259099125862122, 578.0, 244.0, 0.857628345489502, 582.0, 242.0, 0.396336168050766, 552.0, 247.0, 0.785771369934082, -1, -1, -1]"
img_000182,"[607.0, 247.0, 0.28874078392982483, 583.0, 282.0, 0.9300461411476135, 608.0, 280.0, 0.8749793767929077, 663.0, 295.0, 0.9256014823913574, 718.0, 248.0, 0.8069312572479248, 556.0, 282.0, 0.8188893795013428, 553.0, 307.0, 0.22247613966464996, -1, -1, -1, 610.0, 390.0, 0.8707723617553711, 626.0, 485.0, 0.9333896636962891, 623.0, 575.0, 0.8692687153816223, 567.0, 395.0, 0.8228703737258911, 586.0, 490.0, 0.9479830861091614, 589.0, 578.0, 0.8331917524337769, 604.0, 240.0, 0.32061895728111267, -1, -1, -1, 594.0, 243.0, 0.8654131293296814, 581.0, 240.0, 0.2756738066673279]"
img_001633,"[402.0, 264.0, 0.6276775002479553, 422.0, 294.0, 0.7689566016197205, 420.0, 294.0, 0.7142655849456787, 414.0, 329.0, 0.24091148376464844, 403.0, 312.0, 0.14158974587917328, 432.0, 297.0, 0.8101189732551575, 422.0, 318.0, 0.6450033187866211, 406.0, 290.0, 0.5104103088378906, 446.0, 384.0, 0.7449464797973633, 456.0, 465.0, 0.8223809599876404, 442.0, 544.0, 0.6701475381851196, 449.0, 384.0, 0.8495436310768127, 456.0, 465.0, 0.8365722894668579, 440.0, 543.0, 0.7115777730941772, 403.0, 248.0, 0.26167216897010803, 407.0, 261.0, 0.674179196357727, -1, -1, -1, 419.0, 263.0, 0.6720759868621826]"
img_001833,"[622.0, 263.0, 0.9867653250694275, 640.0, 290.0, 0.9095104336738586, 623.0, 298.0, 0.9088323712348938, 616.0, 340.0, 0.6705975532531738, 599.0, 364.0, 0.7235331535339355, 663.0, 286.0, 0.9458053112030029, 664.0, 329.0, 0.7865065932273865, 600.0, 359.0, 0.5290778279304504, 646.0, 383.0, 0.93544602394104, 650.0, 462.0, 0.885237991809845, 631.0, 541.0, 0.9270231127738953, 674.0, 380.0, 0.9269874095916748, 680.0, 462.0, 0.9646199941635132, 688.0, 539.0, 0.8498792052268982, 615.0, 255.0, 0.923778235912323, 628.0, 251.0, 1.0080612897872925, 622.0, 264.0, 0.31688353419303894, 640.0, 251.0, 0.8489975929260254]"
img_001074,"[627.0, 286.0, 0.9158041477203369, 579.0, 315.0, 0.84710294008255, 579.0, 315.0, 0.9244981408119202, 615.0, 373.0, 0.8489569425582886, 656.0, 377.0, 0.6297692060470581, -1, -1, -1, -1, -1, -1, -1, -1, -1, 526.0, 414.0, 0.891893208026886, 576.0, 494.0, 0.9128610491752625, 596.0, 592.0, 0.89012610912323, 534.0, 413.0, 0.8860681653022766, 554.0, 498.0, 0.8368621468544006, 548.0, 583.0, 0.7887963056564331, 623.0, 280.0, 0.9517892599105835, 628.0, 278.0, 0.2874941825866699, 596.0, 280.0, 0.9356328248977661, -1, -1, -1]"
img_000579,"[-1, -1, -1, 646.0, 336.0, 0.9003127217292786, 678.0, 342.0, 0.9204878807067871, 685.0, 403.0, 0.8636585474014282, 687.0, 446.0, 0.7271504998207092, 615.0, 333.0, 0.8814798593521118, 586.0, 388.0, 0.9003280401229858, 571.0, 430.0, 0.8176020383834839, 655.0, 440.0, 0.8638391494750977, 664.0, 508.0, 0.8473063707351685, 646.0, 573.0, 0.8438088893890381, 607.0, 435.0, 0.8220565915107727, 630.0, 508.0, 0.6837685108184814, 633.0, 574.0, 0.687080442905426, -1, -1, -1, -1, -1, -1, 671.0, 303.0, 0.7997736930847168, 633.0, 295.0, 0.7032256722450256]"
img_000724,"[-1, -1, -1, 593.0, 279.0, 0.8892769813537598, 626.0, 278.0, 0.8952391743659973, 650.0, 328.0, 0.93607097864151, 638.0, 305.0, 0.4077034890651703, 564.0, 283.0, 0.8845688700675964, 553.0, 331.0, 0.6598756909370422, 561.0, 363.0, 0.5133059024810791, 627.0, 383.0, 0.9118496179580688, 644.0, 481.0, 0.9289172291755676, 625.0, 576.0, 0.8584194183349609, 585.0, 386.0, 0.9117644429206848, 593.0, 478.0, 0.9162255525588989, 578.0, 564.0, 0.846091628074646, -1, -1, -1, -1, -1, -1, 613.0, 239.0, 0.8208481669425964, 581.0, 237.0, 0.48293933272361755]"
img_000519,"[674.0, 403.0, 0.12179796397686005, 645.0, 411.0, 0.9121460914611816, 671.0, 418.0, 0.9190239310264587, 675.0, 468.0, 0.7004691362380981, 679.0, 487.0, 0.43613651394844055, 623.0, 406.0, 0.8531253933906555, 588.0, 449.0, 0.6547783017158508, 585.0, 478.0, 0.48307284712791443, 642.0, 490.0, 0.826747715473175, 658.0, 537.0, 0.8050806522369385, 641.0, 587.0, 0.7387620210647583, 602.0, 485.0, 0.7731972932815552, 623.0, 540.0, 0.4934413433074951, 625.0, 584.0, 0.5429303050041199, 680.0, 388.0, 0.1480182409286499, -1, -1, -1, 674.0, 384.0, 0.8342387080192566, 642.0, 373.0, 0.3764858543872833]"
img_000464,"[-1, -1, -1, 641.0, 297.0, 0.9087725281715393, 674.0, 308.0, 0.9302297830581665, 697.0, 347.0, 0.769925594329834, 712.0, 314.0, 0.4997609555721283, 611.0, 290.0, 0.9109321236610413, 567.0, 327.0, 0.8868055939674377, 562.0, 346.0, 0.6283408999443054, 638.0, 400.0, 0.9441753625869751, 665.0, 489.0, 1.046797752380371, 633.0, 574.0, 0.8843815326690674, 590.0, 397.0, 0.9541544914245605, 611.0, 484.0, 0.8663241863250732, 618.0, 549.0, 0.6788318157196045, -1, -1, -1, -1, -1, -1, 670.0, 274.0, 0.7990798354148865, 632.0, 263.0, 0.5802229642868042]"
img_001490,"[550.0, 232.0, 0.3917982578277588, 551.0, 270.0, 0.7815514802932739, 538.0, 264.0, 0.7313827276229858, 513.0, 294.0, 0.5487369894981384, 546.0, 268.0, 0.5737200975418091, 571.0, 270.0, 0.6995112895965576, 581.0, 321.0, 0.4560261070728302, 610.0, 335.0, 0.290852814912796, 544.0, 387.0, 0.8138430714607239, 548.0, 487.0, 0.8546814918518066, 560.0, 571.0, 0.7923914790153503, 543.0, 391.0, 0.8446857333183289, 512.0, 476.0, 0.8826291561126709, 502.0, 566.0, 0.827633261680603, 547.0, 225.0, 0.3275356590747833, 555.0, 222.0, 0.28976792097091675, 544.0, 228.0, 0.2627480924129486, 565.0, 228.0, 0.21144315600395203]"
