0,1
img_001505,"[-1, -1, -1, 511.0, 329.0, 0.8597915768623352, 538.0, 328.0, 0.7877997756004333, 549.0, 398.0, 0.2738986611366272, -1, -1, -1, 484.0, 329.0, 0.8132954835891724, 456.0, 371.0, 0.550167977809906, 455.0, 343.0, 0.20439200103282928, 546.0, 452.0, 0.8529238700866699, 540.0, 549.0, 0.9061160087585449, 543.0, 628.0, 0.8052677512168884, 505.0, 456.0, 0.9446561336517334, 493.0, 550.0, 0.8927587866783142, 503.0, 643.0, 0.8644813895225525, -1, -1, -1, -1, -1, -1, 520.0, 283.0, 0.2591661810874939, 495.0, 287.0, 0.4285421073436737]"
img_000182,"[522.0, 283.0, 0.4286377429962158, 568.0, 333.0, 0.8938931226730347, 596.0, 341.0, 0.8136871457099915, 624.0, 394.0, 0.5517978072166443, 511.0, 407.0, 0.3952106833457947, 542.0, 329.0, 0.844578206539154, 506.0, 375.0, 0.6272281408309937, 507.0, 406.0, 0.5753145217895508, 586.0, 464.0, 0.8819099068641663, 579.0, 557.0, 0.9013481140136719, 580.0, 643.0, 0.881968080997467, 547.0, 460.0, 0.8992854356765747, 520.0, 550.0, 0.9154967665672302, 501.0, 646.0, 0.8933590650558472, -1, -1, -1, 532.0, 278.0, 0.49210622906684875, 582.0, 297.0, 0.155125692486763, 553.0, 288.0, 0.8971580862998962]"
img_000448,"[-1, -1, -1, 515.0, 335.0, 0.9224614500999451, 550.0, 335.0, 0.9429745078086853, 564.0, 406.0, 0.6900640726089478, 572.0, 461.0, 0.5813712477684021, 481.0, 338.0, 0.8706612586975098, 467.0, 397.0, 0.8206489086151123, 491.0, 438.0, 0.30510208010673523, 547.0, 455.0, 0.9024527668952942, 551.0, 549.0, 0.9888194799423218, 576.0, 639.0, 0.915816068649292, 500.0, 457.0, 0.9645892381668091, 494.0, 553.0, 0.9012162685394287, 497.0, 643.0, 0.8753356337547302, -1, -1, -1, -1, -1, -1, 531.0, 286.0, 0.694211483001709, 496.0, 289.0, 0.6595837473869324]"
img_000957,"[-1, -1, -1, 505.0, 325.0, 0.9497295618057251, 547.0, 331.0, 0.8951818346977234, 574.0, 397.0, 0.8393272161483765, 566.0, 451.0, 0.49804291129112244, 465.0, 321.0, 0.8754891157150269, 419.0, 357.0, 0.769612193107605, 433.0, 328.0, 0.38924309611320496, 539.0, 457.0, 0.8731483221054077, 541.0, 551.0, 0.9248118996620178, 554.0, 641.0, 0.8749439716339111, 489.0, 459.0, 0.8959048390388489, 489.0, 556.0, 0.8981821537017822, 500.0, 645.0, 0.8364851474761963, -1, -1, -1, -1, -1, -1, 526.0, 279.0, 0.46314048767089844, 488.0, 278.0, 0.5261291265487671]"
img_001265,"[-1, -1, -1, 540.0, 328.0, 0.9326945543289185, 575.0, 333.0, 0.900589108467102, 607.0, 391.0, 0.8548062443733215, 585.0, 407.0, 0.30117174983024597, 505.0, 327.0, 0.8699785470962524, 478.0, 382.0, 0.7920020818710327, 487.0, 344.0, 0.286336213350296, 558.0, 457.0, 0.8973889350891113, 550.0, 555.0, 0.9589669704437256, 554.0, 646.0, 0.8939834237098694, 511.0, 455.0, 0.9242100715637207, 502.0, 554.0, 0.9167759418487549, 500.0, 645.0, 0.883230984210968, -1, -1, -1, -1, -1, -1, 547.0, 281.0, 0.34982818365097046, 514.0, 276.0, 0.6189576983451843]"
img_000794,"[-1, -1, -1, 541.0, 335.0, 0.9023457169532776, 576.0, 336.0, 0.8460338711738586, 578.0, 402.0, 0.245130255818367, -1, -1, -1, 508.0, 335.0, 0.8913034796714783, 466.0, 385.0, 0.7298439741134644, 484.0, 438.0, 0.18018130958080292, 561.0, 460.0, 0.9097656607627869, 555.0, 559.0, 0.9434322714805603, 551.0, 648.0, 0.8617265224456787, 514.0, 460.0, 0.9268012046813965, 505.0, 557.0, 0.9164793491363525, 501.0, 645.0, 0.9099665284156799, -1, -1, -1, -1, -1, -1, 563.0, 293.0, 0.5136725902557373, 524.0, 290.0, 0.49766647815704346]"
img_001490,"[-1, -1, -1, 502.0, 335.0, 0.9345176219940186, 536.0, 338.0, 0.9273570775985718, 545.0, 403.0, 0.5060819983482361, 544.0, 449.0, 0.2611190378665924, 468.0, 335.0, 0.8748922944068909, 428.0, 369.0, 0.6393129229545593, 435.0, 342.0, 0.20857419073581696, 535.0, 459.0, 0.8960815072059631, 537.0, 550.0, 0.876708447933197, 546.0, 620.0, 0.8050311207771301, 491.0, 463.0, 0.8988551497459412, 489.0, 555.0, 0.9128997325897217, 500.0, 645.0, 0.8523281812667847, -1, -1, -1, -1, -1, -1, 511.0, 285.0, 0.542510986328125, 487.0, 287.0, 0.5036671757698059]"
img_001468,"[-1, -1, -1, 498.0, 335.0, 0.950090765953064, 538.0, 337.0, 0.9141982793807983, 575.0, 370.0, 0.7775698900222778, 554.0, 331.0, 0.3463830053806305, 461.0, 338.0, 0.9357737898826599, 433.0, 396.0, 0.7573537826538086, -1, -1, -1, 538.0, 464.0, 0.8891794681549072, 533.0, 555.0, 0.9190523028373718, 543.0, 644.0, 0.8807933926582336, 487.0, 466.0, 0.8743686079978943, 490.0, 561.0, 0.9154576659202576, 501.0, 646.0, 0.8443805575370789, -1, -1, -1, -1, -1, -1, 511.0, 285.0, 0.7323362231254578, 475.0, 288.0, 0.625267505645752]"
img_000415,"[-1, -1, -1, 519.0, 328.0, 0.913227379322052, 555.0, 330.0, 0.8799869418144226, 576.0, 397.0, 0.7695352435112, 579.0, 459.0, 0.637393057346344, 481.0, 330.0, 0.8834684491157532, 455.0, 390.0, 0.8671274185180664, 431.0, 445.0, 0.7233260273933411, 550.0, 456.0, 0.8785171508789062, 552.0, 551.0, 0.9583445191383362, 576.0, 636.0, 0.8999743461608887, 502.0, 458.0, 0.9566080570220947, 493.0, 555.0, 0.9392809271812439, 497.0, 643.0, 0.870290994644165, -1, -1, -1, -1, -1, -1, 534.0, 278.0, 0.512139618396759, 498.0, 283.0, 0.5817421674728394]"
img_000065,"[500.0, 271.0, 0.14404472708702087, 539.0, 332.0, 0.939484179019928, 578.0, 341.0, 0.9094262719154358, 593.0, 398.0, 0.5138022303581238, 571.0, 450.0, 0.17181876301765442, 501.0, 329.0, 0.9083108901977539, 451.0, 389.0, 0.8318983316421509, 397.0, 435.0, 0.6574411392211914, 564.0, 459.0, 0.8775674104690552, 563.0, 553.0, 0.8965333104133606, 576.0, 637.0, 0.8945841193199158, 512.0, 460.0, 0.925804853439331, 503.0, 553.0, 0.8998048901557922, 499.0, 642.0, 0.9067547917366028, -1, -1, -1, 501.0, 264.0, 0.16646969318389893, 548.0, 287.0, 0.2768567204475403, 515.0, 279.0, 0.7615661025047302]"
