0,1
img_001074,"[532.0, 256.0, 0.90094393491745, 541.0, 292.0, 0.9006460905075073, 510.0, 295.0, 0.9334122538566589, 495.0, 338.0, 0.8119165301322937, 471.0, 370.0, 0.7554960250854492, 573.0, 290.0, 0.8723946809768677, 591.0, 337.0, 0.9228280186653137, 593.0, 388.0, 0.9486055374145508, 521.0, 389.0, 0.8491840958595276, 523.0, 460.0, 0.8941161632537842, 514.0, 537.0, 0.8094278573989868, 556.0, 391.0, 0.8530319333076477, 554.0, 466.0, 0.8730967044830322, 555.0, 536.0, 0.7905371189117432, 523.0, 247.0, 0.862385094165802, 538.0, 246.0, 0.9240744113922119, 518.0, 254.0, 0.45943692326545715, 548.0, 249.0, 0.824386715888977]"
img_000724,"[556.0, 267.0, 0.9545010328292847, 570.0, 299.0, 0.9024791717529297, 542.0, 298.0, 0.9244301319122314, 526.0, 334.0, 0.6992843151092529, 513.0, 360.0, 0.6520002484321594, 592.0, 299.0, 0.8943148851394653, 608.0, 347.0, 0.9246077537536621, 606.0, 400.0, 0.9445210099220276, 542.0, 382.0, 0.9496227502822876, 513.0, 452.0, 0.9655923247337341, 496.0, 528.0, 0.9207168817520142, 579.0, 391.0, 0.894220769405365, 568.0, 465.0, 0.8386996388435364, 566.0, 535.0, 0.7811583876609802, 550.0, 257.0, 0.8905035257339478, 566.0, 259.0, 0.9262615442276001, 551.0, 265.0, 0.2743871212005615, 580.0, 264.0, 0.8386523127555847]"
img_001684,"[532.0, 259.0, 0.9086691737174988, 538.0, 290.0, 0.9084550738334656, 505.0, 295.0, 0.9285444021224976, 494.0, 336.0, 0.7587644457817078, 477.0, 364.0, 0.634113073348999, 566.0, 288.0, 0.9016339778900146, 588.0, 327.0, 0.9236272573471069, 587.0, 359.0, 0.8121223449707031, 523.0, 382.0, 0.8729984164237976, 526.0, 459.0, 0.9240362644195557, 517.0, 533.0, 0.8850916624069214, 557.0, 380.0, 0.9141477942466736, 565.0, 460.0, 0.972854733467102, 569.0, 530.0, 0.8297642469406128, 524.0, 250.0, 0.8995782136917114, 538.0, 249.0, 0.9279146194458008, 515.0, 255.0, 0.6152574419975281, 546.0, 250.0, 0.770912230014801]"
img_000794,"[541.0, 231.0, 0.36906978487968445, 532.0, 274.0, 0.8691359162330627, 537.0, 271.0, 0.8457754850387573, 534.0, 307.0, 0.4650859534740448, 542.0, 261.0, 0.5207153558731079, 520.0, 272.0, 0.7269224524497986, 510.0, 316.0, 0.37272945046424866, 562.0, 268.0, 0.3134114742279053, 540.0, 373.0, 0.9255058765411377, 542.0, 449.0, 0.8887609839439392, 552.0, 532.0, 0.8066452741622925, 526.0, 372.0, 0.8955292105674744, 525.0, 450.0, 0.9164366722106934, 517.0, 529.0, 0.8228974342346191, 541.0, 224.0, 0.3297151029109955, 542.0, 231.0, 0.20942294597625732, 538.0, 235.0, 0.5030697584152222, 531.0, 241.0, 0.2001773566007614]"
img_001703,"[531.0, 258.0, 0.9090654850006104, 538.0, 291.0, 0.9014069437980652, 505.0, 296.0, 0.9329333305358887, 495.0, 339.0, 0.7579101920127869, 483.0, 367.0, 0.6413470506668091, 567.0, 288.0, 0.8969991207122803, 589.0, 329.0, 0.958534836769104, 589.0, 368.0, 0.8709056377410889, 522.0, 384.0, 0.8673793077468872, 522.0, 461.0, 0.9208095669746399, 516.0, 535.0, 0.8743883371353149, 558.0, 383.0, 0.9029338955879211, 564.0, 462.0, 0.9672861099243164, 567.0, 532.0, 0.8112756013870239, 523.0, 249.0, 0.9048301577568054, 537.0, 247.0, 0.9318825602531433, 513.0, 254.0, 0.6108654141426086, 546.0, 249.0, 0.7867862582206726]"
img_001087,"[532.0, 262.0, 0.8715293407440186, 540.0, 294.0, 0.9002500772476196, 508.0, 297.0, 0.9278421401977539, 493.0, 336.0, 0.805340588092804, 486.0, 350.0, 0.6072843074798584, 573.0, 292.0, 0.8735541105270386, 589.0, 338.0, 0.9162499904632568, 592.0, 388.0, 0.9505366086959839, 523.0, 388.0, 0.8571343421936035, 521.0, 461.0, 0.9418538808822632, 513.0, 535.0, 0.8424361944198608, 558.0, 389.0, 0.8751669526100159, 562.0, 465.0, 0.8899984359741211, 561.0, 536.0, 0.7869910597801208, 524.0, 253.0, 0.8404837846755981, 538.0, 251.0, 0.8864080905914307, 517.0, 256.0, 0.5152632594108582, 547.0, 251.0, 0.7776902318000793]"
img_000415,"[539.0, 255.0, 0.8561149835586548, 546.0, 293.0, 0.8956742286682129, 519.0, 293.0, 0.9246366620063782, 499.0, 330.0, 0.8237113356590271, 519.0, 317.0, 0.6441493630409241, 576.0, 294.0, 0.890933632850647, 581.0, 331.0, 0.7445377111434937, 567.0, 322.0, 0.5877147912979126, 532.0, 384.0, 0.8897315263748169, 528.0, 458.0, 0.9165721535682678, 516.0, 534.0, 0.8485900163650513, 561.0, 384.0, 0.8944374322891235, 561.0, 459.0, 0.9157290458679199, 562.0, 537.0, 0.8013589382171631, 534.0, 248.0, 0.8166215419769287, 544.0, 248.0, 0.8744019269943237, 533.0, 249.0, 0.4447008967399597, 557.0, 251.0, 0.7220077514648438]"
img_001034,"[531.0, 247.0, 0.9318885207176208, 537.0, 288.0, 0.917143702507019, 503.0, 291.0, 0.9528403878211975, 490.0, 338.0, 0.7996761798858643, 475.0, 371.0, 0.7199186682701111, 568.0, 286.0, 0.9203550815582275, 592.0, 333.0, 0.9414706826210022, 597.0, 381.0, 0.9536716341972351, 520.0, 386.0, 0.8746658563613892, 524.0, 461.0, 0.8979487419128418, 515.0, 538.0, 0.8442205190658569, 558.0, 384.0, 0.8732348680496216, 559.0, 465.0, 0.915570855140686, 561.0, 539.0, 0.801403820514679, 522.0, 242.0, 0.9267511367797852, 537.0, 240.0, 0.9574822187423706, 509.0, 248.0, 0.6818878650665283, 545.0, 243.0, 0.8205538392066956]"
img_000065,"[532.0, 246.0, 0.8689883351325989, 540.0, 288.0, 0.9193657040596008, 507.0, 288.0, 0.9114903211593628, 486.0, 327.0, 0.7300893068313599, 459.0, 342.0, 0.6760514974594116, 571.0, 287.0, 0.901260256767273, 597.0, 332.0, 0.8744856715202332, 621.0, 369.0, 0.9086941480636597, 518.0, 388.0, 0.825150728225708, 522.0, 460.0, 0.8796708583831787, 517.0, 535.0, 0.8148200511932373, 555.0, 388.0, 0.8509814739227295, 557.0, 463.0, 0.912781834602356, 560.0, 538.0, 0.8309407830238342, 525.0, 241.0, 0.8355990052223206, 539.0, 240.0, 0.8931081295013428, 518.0, 245.0, 0.5497055053710938, 549.0, 243.0, 0.8190848231315613]"
img_000075,"[534.0, 251.0, 0.9020883440971375, 540.0, 291.0, 0.9003157019615173, 506.0, 293.0, 0.942256510257721, 491.0, 338.0, 0.8288235068321228, 468.0, 370.0, 0.7804151773452759, 575.0, 290.0, 0.8960108757019043, 593.0, 338.0, 0.8918905258178711, 599.0, 379.0, 0.9030762314796448, 518.0, 388.0, 0.8696762323379517, 518.0, 461.0, 0.8902367353439331, 510.0, 537.0, 0.8446249961853027, 556.0, 389.0, 0.8641682267189026, 561.0, 466.0, 0.9087414741516113, 564.0, 538.0, 0.8302865028381348, 526.0, 244.0, 0.8770212531089783, 540.0, 243.0, 0.9232494831085205, 518.0, 249.0, 0.5680485367774963, 550.0, 246.0, 0.8100283145904541]"
