0,1
img_000065,"[562.0, 188.0, 0.937131404876709, 546.0, 240.0, 0.9966925978660583, 503.0, 236.0, 0.9804039597511292, 458.0, 292.0, 0.9239529967308044, 436.0, 358.0, 0.8765944242477417, 588.0, 246.0, 0.9742522835731506, 611.0, 308.0, 0.8934690356254578, 633.0, 361.0, 1.0019981861114502, 510.0, 375.0, 0.925973653793335, 482.0, 479.0, 0.8198078274726868, 451.0, 578.0, 0.8827999830245972, 564.0, 378.0, 0.89192795753479, 553.0, 481.0, 0.9313148856163025, 552.0, 587.0, 0.9650970697402954, 550.0, 177.0, 0.9637719988822937, 574.0, 178.0, 0.9437543153762817, 535.0, 182.0, 0.9878882765769958, 578.0, 185.0, 0.5446970462799072]"
img_001153,"[555.0, 186.0, 0.9089608788490295, 528.0, 233.0, 0.8731905221939087, 504.0, 235.0, 0.926039457321167, 487.0, 305.0, 0.9544950723648071, 495.0, 381.0, 0.9937514662742615, 545.0, 233.0, 0.861431896686554, 544.0, 311.0, 0.4078715145587921, 554.0, 359.0, 0.35554611682891846, 502.0, 363.0, 0.8456705808639526, 496.0, 470.0, 0.7795439958572388, 476.0, 578.0, 0.7590043544769287, 536.0, 363.0, 0.8471153974533081, 511.0, 472.0, 0.7537140846252441, 485.0, 567.0, 0.7560919523239136, 545.0, 176.0, 0.9690532684326172, 555.0, 178.0, 0.5978705883026123, 521.0, 183.0, 0.937798261642456, -1, -1, -1]"
img_000193,"[663.0, 185.0, 0.8041913509368896, 623.0, 228.0, 0.83779376745224, 600.0, 231.0, 0.9016910791397095, 624.0, 273.0, 0.8183239102363586, 678.0, 221.0, 0.8121936917304993, 646.0, 228.0, 0.7633348703384399, 663.0, 266.0, 0.35788294672966003, 697.0, 211.0, 0.3568677306175232, 594.0, 381.0, 0.8609246015548706, 585.0, 500.0, 0.7868278622627258, 563.0, 628.0, 0.6634442806243896, 627.0, 382.0, 0.8545030355453491, 604.0, 502.0, 0.6696776151657104, 576.0, 617.0, 0.6003004908561707, 652.0, 173.0, 0.804685115814209, 661.0, 181.0, 0.21661032736301422, 627.0, 180.0, 0.8977223634719849, -1, -1, -1]"
img_000577,"[540.0, 194.0, 0.6110237836837769, 503.0, 219.0, 0.8666548728942871, 507.0, 219.0, 0.935990571975708, 505.0, 276.0, 0.7699717283248901, 519.0, 324.0, 0.6549270749092102, 497.0, 216.0, 0.7760871052742004, 486.0, 267.0, 0.19395360350608826, -1, -1, -1, 498.0, 323.0, 0.8606204390525818, 496.0, 403.0, 0.8273541927337646, 480.0, 478.0, 0.697157084941864, 485.0, 323.0, 0.7320809364318848, 488.0, 403.0, 0.7731521129608154, 474.0, 470.0, 0.6856361627578735, 538.0, 189.0, 0.6606835126876831, -1, -1, -1, 519.0, 187.0, 0.7915827035903931, -1, -1, -1]"
img_000769,"[714.0, 205.0, 0.8445161581039429, 663.0, 249.0, 0.8547745943069458, 675.0, 252.0, 0.984459400177002, 680.0, 332.0, 1.0069905519485474, 729.0, 378.0, 0.777626097202301, 644.0, 243.0, 0.7936480641365051, 675.0, 322.0, 0.27717238664627075, 739.0, 358.0, 0.35979342460632324, 657.0, 390.0, 0.8970377445220947, 675.0, 498.0, 0.9180371165275574, 652.0, 621.0, 0.8861817121505737, 632.0, 384.0, 0.7907509803771973, 638.0, 483.0, 0.8164329528808594, 593.0, 568.0, 0.8447138667106628, 710.0, 196.0, 0.8746460676193237, -1, -1, -1, 685.0, 198.0, 1.0052844285964966, -1, -1, -1]"
img_000833,"[756.0, 201.0, 0.9823841452598572, 704.0, 252.0, 0.8481918573379517, 682.0, 248.0, 0.927094578742981, 654.0, 336.0, 0.9657613635063171, 668.0, 424.0, 1.0065157413482666, 723.0, 252.0, 0.8882901668548584, 719.0, 335.0, 0.5810051560401917, 722.0, 385.0, 0.4153622090816498, 667.0, 388.0, 0.8253648281097412, 668.0, 495.0, 0.7441592216491699, 639.0, 614.0, 0.754480242729187, 703.0, 389.0, 0.8230593204498291, 673.0, 497.0, 0.635295033454895, 643.0, 595.0, 0.5611401796340942, 748.0, 194.0, 0.9905932545661926, 757.0, 195.0, 0.34813737869262695, 718.0, 196.0, 0.9807077646255493, -1, -1, -1]"
img_000257,"[678.0, 186.0, 0.9807300567626953, 623.0, 240.0, 0.8054512739181519, 617.0, 241.0, 0.9058695435523987, 586.0, 327.0, 0.8796602487564087, 602.0, 409.0, 0.9185550808906555, 630.0, 239.0, 0.7882395386695862, 629.0, 330.0, 0.36403945088386536, 633.0, 394.0, 0.2946018874645233, 597.0, 401.0, 0.8131414651870728, 586.0, 521.0, 0.7375587224960327, 556.0, 640.0, 0.7447179555892944, 616.0, 402.0, 0.7373563051223755, 587.0, 519.0, 0.6145510673522949, 561.0, 626.0, 0.5232357978820801, 672.0, 173.0, 0.9536231756210327, -1, -1, -1, 638.0, 180.0, 0.9548408389091492, -1, -1, -1]"
img_000961,"[627.0, 195.0, 0.951431155204773, 583.0, 230.0, 0.8664492964744568, 568.0, 232.0, 0.9504255056381226, 626.0, 275.0, 0.8002166152000427, 687.0, 241.0, 0.8634425401687622, 598.0, 234.0, 0.7890332937240601, 635.0, 269.0, 0.6378441452980042, 687.0, 239.0, 0.6027022004127502, 551.0, 373.0, 0.9244211912155151, 540.0, 489.0, 0.9305276274681091, 511.0, 601.0, 0.8514529466629028, 577.0, 373.0, 0.9052347540855408, 561.0, 491.0, 0.8094658255577087, 539.0, 592.0, 0.8802869915962219, 621.0, 185.0, 0.9546087384223938, 632.0, 184.0, 0.5389958620071411, 590.0, 186.0, 0.9048557877540588, -1, -1, -1]"
img_000321,"[651.0, 192.0, 0.7864492535591125, 603.0, 231.0, 0.8699638843536377, 608.0, 231.0, 0.9143568277359009, 645.0, 283.0, 0.8987967371940613, 699.0, 259.0, 0.8512799143791199, 604.0, 230.0, 0.7621060609817505, 640.0, 270.0, 0.35146281123161316, 696.0, 250.0, 0.418539822101593, 592.0, 364.0, 0.8841243386268616, 581.0, 473.0, 0.8040977120399475, 551.0, 579.0, 0.7290335297584534, 594.0, 363.0, 0.8164740204811096, 586.0, 474.0, 0.6943498849868774, 563.0, 570.0, 0.627415120601654, 642.0, 185.0, 0.8355745673179626, -1, -1, -1, 622.0, 186.0, 0.8510629534721375, -1, -1, -1]"
img_000641,"[589.0, 200.0, 0.4919809401035309, 547.0, 227.0, 0.9063829183578491, 556.0, 228.0, 0.9237052798271179, 567.0, 288.0, 0.9017752408981323, 598.0, 327.0, 0.7448487877845764, 538.0, 223.0, 0.7990635633468628, 554.0, 279.0, 0.35991576313972473, 602.0, 304.0, 0.3270392417907715, 540.0, 337.0, 0.8906300067901611, 535.0, 424.0, 0.7797349095344543, 508.0, 515.0, 0.7139326930046082, 529.0, 332.0, 0.7581793069839478, 528.0, 421.0, 0.7174963355064392, 509.0, 505.0, 0.6516907215118408, 587.0, 195.0, 0.5389604568481445, -1, -1, -1, 574.0, 193.0, 0.8168081045150757, -1, -1, -1]"
