0,1
img_002497,"[-1, -1, -1, 591.0, 345.0, 0.906424343585968, 626.0, 346.0, 0.8890413641929626, 661.0, 376.0, 0.8679701685905457, 665.0, 385.0, 0.4396231174468994, 562.0, 351.0, 0.8824268579483032, 548.0, 398.0, 0.6345307230949402, 550.0, 433.0, 0.3724411129951477, 624.0, 439.0, 0.8613739609718323, 629.0, 501.0, 0.729654848575592, 631.0, 556.0, 0.6789724826812744, 582.0, 447.0, 0.8711906671524048, 595.0, 495.0, 0.6672134399414062, 609.0, 550.0, 0.5607950687408447, -1, -1, -1, -1, -1, -1, 606.0, 310.0, 0.7693125605583191, 578.0, 312.0, 0.6674737930297852]"
img_003265,"[-1, -1, -1, 613.0, 352.0, 0.8686590194702148, 638.0, 356.0, 0.8453017473220825, 652.0, 400.0, 0.7024096250534058, 648.0, 424.0, 0.4313601553440094, 583.0, 351.0, 0.8226503133773804, 567.0, 391.0, 0.498488187789917, 576.0, 428.0, 0.19687294960021973, 624.0, 439.0, 0.7910270094871521, 630.0, 495.0, 0.6206928491592407, 630.0, 547.0, 0.5513983964920044, 587.0, 443.0, 0.7959233522415161, 599.0, 494.0, 0.581977128982544, 613.0, 548.0, 0.47355854511260986, -1, -1, -1, -1, -1, -1, 632.0, 319.0, 0.7435672879219055, 596.0, 315.0, 0.5786012411117554]"
img_000065,"[-1, -1, -1, 623.0, 255.0, 0.894885778427124, 658.0, 255.0, 0.8716651797294617, 688.0, 311.0, 0.8558497428894043, 718.0, 358.0, 0.8283270597457886, 587.0, 254.0, 0.8283947706222534, 563.0, 312.0, 0.8831778168678284, 566.0, 354.0, 0.8015168905258179, 644.0, 360.0, 0.824198842048645, 647.0, 446.0, 0.7768878936767578, 654.0, 517.0, 0.37145939469337463, 599.0, 365.0, 0.8136395812034607, 620.0, 437.0, 0.559634804725647, 624.0, 495.0, 0.22466163337230682, -1, -1, -1, -1, -1, -1, 637.0, 211.0, 0.8279566168785095, 607.0, 209.0, 0.6688892245292664]"
img_001153,"[677.0, 243.0, 0.3137644827365875, 671.0, 266.0, 0.5287704467773438, 670.0, 267.0, 0.5592197775840759, 668.0, 291.0, 0.47120243310928345, 677.0, 310.0, 0.30291977524757385, 672.0, 263.0, 0.4532580077648163, 674.0, 288.0, 0.16744716465473175, 677.0, 291.0, 0.13659381866455078, 670.0, 323.0, 0.4681891202926636, 670.0, 386.0, 0.2748195230960846, 662.0, 440.0, 0.1333732157945633, 671.0, 324.0, 0.42135003209114075, 670.0, 388.0, 0.24446652829647064, 667.0, 436.0, 0.1643778383731842, 678.0, 239.0, 0.33929067850112915, -1, -1, -1, 674.0, 241.0, 0.4383898675441742, -1, -1, -1]"
img_002369,"[-1, -1, -1, 609.0, 332.0, 0.9330389499664307, 635.0, 336.0, 0.9317846298217773, 661.0, 383.0, 0.8212136626243591, 687.0, 389.0, 0.5705301761627197, 581.0, 330.0, 0.9346142411231995, 554.0, 370.0, 0.6453807353973389, 561.0, 401.0, 0.3075559139251709, 620.0, 429.0, 0.8453752994537354, 648.0, 476.0, 0.7132720351219177, 646.0, 546.0, 0.6676892042160034, 579.0, 427.0, 0.8673352003097534, 592.0, 482.0, 0.6841408610343933, 597.0, 540.0, 0.5276004076004028, 642.0, 305.0, 0.11761366575956345, -1, -1, -1, 634.0, 303.0, 0.9207313060760498, 599.0, 290.0, 0.4293105900287628]"
img_000193,"[-1, -1, -1, 655.0, 256.0, 0.902533769607544, 684.0, 258.0, 0.8895487189292908, 701.0, 308.0, 0.7622583508491516, 698.0, 359.0, 0.6108964681625366, 624.0, 255.0, 0.8627627491950989, 596.0, 295.0, 0.9010373950004578, 592.0, 325.0, 0.5814581513404846, 671.0, 354.0, 0.8665353655815125, 665.0, 435.0, 0.7972655296325684, 655.0, 518.0, 0.567939281463623, 630.0, 354.0, 0.8796236515045166, 631.0, 427.0, 0.7798346281051636, 629.0, 480.0, 0.42802950739860535, -1, -1, -1, -1, -1, -1, 670.0, 219.0, 0.6549392342567444, 635.0, 220.0, 0.6740184426307678]"
img_003521,"[587.0, 315.0, 0.10640930384397507, 609.0, 342.0, 0.8693981170654297, 636.0, 349.0, 0.8271617889404297, 646.0, 389.0, 0.4950796067714691, -1, -1, -1, 577.0, 335.0, 0.7823486328125, 527.0, 361.0, 0.6366775631904602, 541.0, 329.0, 0.3387230634689331, 622.0, 439.0, 0.6968575119972229, 624.0, 483.0, 0.47447124123573303, 628.0, 528.0, 0.42338547110557556, 584.0, 443.0, 0.7202113270759583, 595.0, 491.0, 0.3848665654659271, 613.0, 538.0, 0.3053142726421356, -1, -1, -1, -1, -1, -1, 629.0, 312.0, 0.4527735710144043, 591.0, 305.0, 0.7153906226158142]"
img_000577,"[489.0, 232.0, 0.9074535369873047, 429.0, 278.0, 0.8596706986427307, 409.0, 280.0, 0.9118850231170654, 401.0, 373.0, 0.9824745059013367, 443.0, 447.0, 0.9757782220840454, 456.0, 277.0, 0.8660706281661987, 492.0, 321.0, 0.5812605023384094, 496.0, 262.0, 0.5434321761131287, 426.0, 430.0, 0.8103349804878235, 454.0, 545.0, 0.7949478626251221, 439.0, 678.0, 0.8635233640670776, 462.0, 420.0, 0.8554856777191162, 488.0, 542.0, 0.9018832445144653, 452.0, 665.0, 0.8266581296920776, 477.0, 221.0, 0.9066401124000549, -1, -1, -1, 449.0, 221.0, 0.9141519069671631, -1, -1, -1]"
img_000769,"[820.0, 232.0, 0.9316104650497437, 779.0, 251.0, 0.8809656500816345, 764.0, 247.0, 0.947321355342865, 739.0, 304.0, 0.8324803113937378, 733.0, 367.0, 0.766588568687439, 799.0, 256.0, 0.8985075354576111, 807.0, 303.0, 0.6616150140762329, 836.0, 286.0, 0.504088819026947, 757.0, 364.0, 0.9192063212394714, 760.0, 462.0, 0.859049916267395, 764.0, 561.0, 0.8118663430213928, 781.0, 365.0, 0.8284071087837219, 768.0, 463.0, 0.8164318799972534, 762.0, 551.0, 0.6885894536972046, 814.0, 223.0, 0.9956054091453552, -1, -1, -1, 796.0, 216.0, 0.9157784581184387, -1, -1, -1]"
img_002561,"[599.0, 324.0, 0.1014653891324997, 584.0, 344.0, 0.9019730091094971, 615.0, 343.0, 0.8756453990936279, 654.0, 372.0, 0.8555896282196045, 673.0, 371.0, 0.5147287249565125, 553.0, 349.0, 0.8700596690177917, 545.0, 396.0, 0.4478912353515625, 552.0, 423.0, 0.15760056674480438, 619.0, 437.0, 0.8496719598770142, 633.0, 496.0, 0.7173676490783691, 636.0, 551.0, 0.6034673452377319, 580.0, 446.0, 0.8560007214546204, 598.0, 491.0, 0.6242644786834717, 616.0, 550.0, 0.5213069319725037, 608.0, 314.0, 0.1186586394906044, -1, -1, -1, 597.0, 309.0, 0.8191584348678589, 570.0, 312.0, 0.39978596568107605]"
