0,1
img_000065,"[540.0, 191.0, 0.954255223274231, 514.0, 236.0, 0.9335014820098877, 472.0, 233.0, 0.9234842658042908, 447.0, 295.0, 0.9352173805236816, 444.0, 370.0, 0.8861746191978455, 553.0, 240.0, 0.9340066909790039, 566.0, 306.0, 0.8858572840690613, 572.0, 375.0, 0.8670996427536011, 477.0, 366.0, 0.9044618010520935, 464.0, 466.0, 0.930578887462616, 445.0, 579.0, 0.9067229628562927, 529.0, 368.0, 0.8842170238494873, 526.0, 473.0, 0.8694681525230408, 516.0, 579.0, 0.9032578468322754, 532.0, 180.0, 0.9372650980949402, 546.0, 182.0, 0.932402491569519, 506.0, 181.0, 0.9345870018005371, 546.0, 193.0, 0.2573964297771454]"
img_001153,"[616.0, 185.0, 0.9564485549926758, 573.0, 238.0, 0.8664623498916626, 552.0, 236.0, 0.9039126634597778, 540.0, 315.0, 0.9354272484779358, 561.0, 382.0, 0.8935458064079285, 588.0, 239.0, 0.8800383806228638, 586.0, 318.0, 0.5854681730270386, 609.0, 367.0, 0.5537876486778259, 549.0, 397.0, 0.8679537773132324, 566.0, 509.0, 0.8494729399681091, 543.0, 618.0, 0.8356891870498657, 578.0, 398.0, 0.8053778409957886, 566.0, 508.0, 0.8091469407081604, 537.0, 608.0, 0.8425453901290894, 601.0, 172.0, 0.9648371934890747, 621.0, 172.0, 0.6561782360076904, 571.0, 177.0, 0.9289499521255493, -1, -1, -1]"
img_000193,"[519.0, 186.0, 0.9392873644828796, 497.0, 233.0, 0.9796916842460632, 456.0, 233.0, 0.9597532153129578, 393.0, 284.0, 0.9658826589584351, 440.0, 340.0, 0.8736341595649719, 537.0, 233.0, 0.9421336650848389, 572.0, 261.0, 0.7891692519187927, 629.0, 252.0, 0.8275088667869568, 459.0, 369.0, 0.9008740186691284, 459.0, 477.0, 0.8489551544189453, 454.0, 580.0, 0.8982831239700317, 507.0, 371.0, 0.9075855016708374, 513.0, 475.0, 0.9018531441688538, 532.0, 581.0, 0.9291682839393616, 507.0, 177.0, 0.9756581783294678, 528.0, 174.0, 0.8843785524368286, 488.0, 185.0, 0.901387095451355, 529.0, 181.0, 0.12959504127502441]"
img_000577,"[539.0, 190.0, 0.9494634866714478, 513.0, 237.0, 0.94400554895401, 472.0, 234.0, 0.9271302819252014, 445.0, 295.0, 0.9425379037857056, 431.0, 367.0, 0.9368435740470886, 553.0, 242.0, 0.9214034676551819, 570.0, 305.0, 0.9056611657142639, 574.0, 371.0, 0.9624319672584534, 482.0, 368.0, 0.8993555307388306, 476.0, 472.0, 0.9293595552444458, 461.0, 579.0, 0.9242752194404602, 530.0, 370.0, 0.8814613819122314, 521.0, 475.0, 0.8602592945098877, 502.0, 577.0, 0.948413074016571, 531.0, 179.0, 0.9227138161659241, 546.0, 180.0, 0.9231915473937988, 506.0, 179.0, 0.9304326772689819, 546.0, 191.0, 0.26770663261413574]"
img_000769,"[650.0, 253.0, 0.8871056437492371, 598.0, 280.0, 0.9081107974052429, 608.0, 282.0, 0.9455233216285706, 620.0, 345.0, 0.7647321224212646, 646.0, 380.0, 0.8059556484222412, 589.0, 275.0, 0.7662272453308105, 614.0, 327.0, 0.292289137840271, 640.0, 362.0, 0.26328542828559875, 571.0, 395.0, 0.867228090763092, 553.0, 492.0, 0.7650977373123169, 455.0, 574.0, 0.7953962683677673, 564.0, 393.0, 0.770993173122406, 561.0, 489.0, 0.7334332466125488, 470.0, 562.0, 0.3993752896785736, 645.0, 245.0, 0.9450322389602661, 642.0, 239.0, 0.3406088650226593, 625.0, 245.0, 0.9537525177001953, -1, -1, -1]"
img_000833,"[584.0, 190.0, 0.9626414775848389, 567.0, 239.0, 0.9445242285728455, 527.0, 231.0, 0.9145143628120422, 478.0, 274.0, 0.9637885093688965, -1, -1, -1, 602.0, 247.0, 0.9292711615562439, 619.0, 313.0, 0.8901737928390503, 609.0, 355.0, 0.9448342323303223, 520.0, 360.0, 0.8890326023101807, 508.0, 455.0, 0.9406415224075317, 492.0, 548.0, 0.9019711017608643, 571.0, 368.0, 0.8819417357444763, 574.0, 459.0, 0.880226731300354, 586.0, 548.0, 0.9273697137832642, 576.0, 180.0, 0.9358577728271484, 590.0, 184.0, 0.9406983852386475, 554.0, 184.0, 0.88091641664505, 595.0, 195.0, 0.48770034313201904]"
img_000257,"[529.0, 183.0, 0.9429690837860107, 543.0, 237.0, 1.0125205516815186, 496.0, 232.0, 0.9784886240959167, 425.0, 240.0, 0.8641539812088013, 372.0, 217.0, 0.9449974894523621, 590.0, 239.0, 0.9540970325469971, 637.0, 276.0, 0.8502804040908813, 701.0, 265.0, 0.7098343968391418, 509.0, 376.0, 0.8938040733337402, 502.0, 479.0, 0.8886406421661377, 493.0, 584.0, 0.9251419901847839, 566.0, 380.0, 0.9131088256835938, 544.0, 489.0, 0.9330729246139526, 536.0, 579.0, 0.8571979999542236, 522.0, 171.0, 0.8613496422767639, 540.0, 173.0, 0.9529165625572205, 515.0, 184.0, 0.23542220890522003, 561.0, 182.0, 0.907693088054657]"
img_000961,"[597.0, 194.0, 0.9493969678878784, 591.0, 231.0, 0.9860432744026184, 552.0, 221.0, 0.9337263107299805, 506.0, 204.0, 0.8060303926467896, 521.0, 154.0, 0.7438756823539734, 631.0, 239.0, 0.972176194190979, 654.0, 299.0, 0.9354097247123718, 623.0, 354.0, 0.9371460676193237, 546.0, 347.0, 0.9574553966522217, 533.0, 450.0, 0.8858895897865295, 503.0, 550.0, 0.9015059471130371, 593.0, 360.0, 0.9870847463607788, 573.0, 458.0, 0.8881670832633972, 558.0, 562.0, 0.8971399068832397, 590.0, 186.0, 0.9369605779647827, 606.0, 187.0, 0.8760257959365845, 576.0, 189.0, 0.751002848148346, 615.0, 195.0, 0.5010783076286316]"
img_001601,"[450.0, 198.0, 0.9796300530433655, 466.0, 241.0, 0.9515528678894043, 442.0, 241.0, 0.8948575258255005, 421.0, 295.0, 0.5816197395324707, 388.0, 255.0, 0.43711015582084656, 497.0, 239.0, 0.9878362417221069, 444.0, 293.0, 0.9244146943092346, 381.0, 254.0, 0.8365691304206848, 463.0, 369.0, 0.8761304616928101, 442.0, 470.0, 0.828032910823822, 453.0, 583.0, 0.8719476461410522, 496.0, 369.0, 0.9385217428207397, 475.0, 472.0, 0.8205731511116028, 514.0, 566.0, 0.7957170009613037, 441.0, 192.0, 0.9382382035255432, 457.0, 191.0, 1.016510009765625, 449.0, 197.0, 0.3549622893333435, 477.0, 193.0, 0.9190670847892761]"
img_001857,"[517.0, 190.0, 0.9237300753593445, 499.0, 235.0, 0.9759811758995056, 457.0, 233.0, 0.9666891694068909, 437.0, 302.0, 1.0019419193267822, 471.0, 355.0, 0.8388748168945312, 539.0, 238.0, 0.9478340744972229, 550.0, 305.0, 0.9213320016860962, 553.0, 366.0, 0.9746531844139099, 462.0, 372.0, 0.8623583316802979, 480.0, 480.0, 0.883575439453125, 445.0, 562.0, 0.7720850706100464, 507.0, 377.0, 0.8869978785514832, 492.0, 484.0, 0.8516260981559753, 444.0, 555.0, 0.8411633372306824, 506.0, 181.0, 0.9320778846740723, 527.0, 181.0, 0.8816860318183899, 491.0, 184.0, 0.9044656753540039, 529.0, 190.0, 0.3054896593093872]"
img_001665,"[442.0, 193.0, 0.950571596622467, 454.0, 241.0, 0.9531455636024475, 420.0, 239.0, 0.9472264051437378, 419.0, 318.0, 0.6620491743087769, 418.0, 343.0, 0.5194552540779114, 488.0, 241.0, 0.9036173820495605, 495.0, 307.0, 0.7461984157562256, 489.0, 352.0, 0.6215555667877197, 426.0, 374.0, 0.8704850673675537, 430.0, 474.0, 0.8536423444747925, 464.0, 562.0, 0.7604151964187622, 469.0, 376.0, 0.9073257446289062, 442.0, 475.0, 0.866293728351593, 458.0, 567.0, 0.8194359540939331, 433.0, 186.0, 0.906010627746582, 451.0, 185.0, 0.9780921936035156, 427.0, 194.0, 0.38318854570388794, 466.0, 189.0, 0.8695114850997925]"
img_000321,"[565.0, 183.0, 0.9373541474342346, 553.0, 237.0, 1.009247899055481, 507.0, 233.0, 0.9930375814437866, 438.0, 238.0, 0.8454481363296509, 382.0, 225.0, 0.8564788103103638, 601.0, 240.0, 0.9855256080627441, 649.0, 276.0, 0.8312700390815735, 698.0, 272.0, 0.7935960292816162, 513.0, 375.0, 0.9104194045066833, 505.0, 477.0, 0.8760367631912231, 493.0, 581.0, 0.8919022679328918, 574.0, 380.0, 0.9582749605178833, 546.0, 487.0, 0.9071665406227112, 533.0, 576.0, 0.8623301982879639, 552.0, 172.0, 0.9362820386886597, 577.0, 172.0, 0.9280020594596863, 537.0, 181.0, 0.9417277574539185, 584.0, 182.0, 0.6075348258018494]"
img_000641,"[585.0, 228.0, 0.6957986354827881, 519.0, 234.0, 0.8647438287734985, 518.0, 238.0, 0.9716821908950806, 497.0, 314.0, 0.9096764326095581, 484.0, 371.0, 0.7337630987167358, 515.0, 230.0, 0.7857547998428345, 503.0, 313.0, 0.22181066870689392, 532.0, 357.0, 0.21037650108337402, 492.0, 380.0, 0.8288990259170532, 490.0, 488.0, 0.8589907288551331, 469.0, 589.0, 0.8917240500450134, 480.0, 377.0, 0.7139436602592468, 470.0, 484.0, 0.8487886190414429, 460.0, 583.0, 0.8188160061836243, 585.0, 215.0, 0.723863959312439, -1, -1, -1, 565.0, 199.0, 0.9306652545928955, -1, -1, -1]"
img_001793,"[509.0, 195.0, 0.965672492980957, 492.0, 245.0, 0.9617835879325867, 449.0, 240.0, 0.9622356295585632, 417.0, 315.0, 1.0280684232711792, 463.0, 362.0, 1.0436559915542603, 534.0, 249.0, 0.9426360726356506, 542.0, 319.0, 0.9155961275100708, 536.0, 366.0, 0.9208699464797974, 452.0, 379.0, 0.8927502632141113, 471.0, 483.0, 0.8380738496780396, 441.0, 559.0, 0.7739465236663818, 501.0, 384.0, 0.9244855046272278, 492.0, 488.0, 0.8557618856430054, 443.0, 555.0, 0.8255307674407959, 501.0, 187.0, 0.9783303141593933, 516.0, 189.0, 0.9212789535522461, 481.0, 190.0, 0.9167724251747131, 521.0, 196.0, 0.3261941373348236]"
img_000385,"[534.0, 186.0, 0.9250536561012268, 507.0, 236.0, 0.971027672290802, 466.0, 235.0, 0.9530217051506042, 447.0, 301.0, 0.9293757081031799, 438.0, 373.0, 0.9438687562942505, 548.0, 239.0, 0.9247371554374695, 563.0, 301.0, 0.902502715587616, 569.0, 372.0, 0.9155732989311218, 472.0, 368.0, 0.9009873270988464, 470.0, 471.0, 0.9199017286300659, 456.0, 580.0, 0.9444449543952942, 523.0, 369.0, 0.882570743560791, 531.0, 473.0, 0.8776563405990601, 525.0, 576.0, 0.8943634629249573, 521.0, 177.0, 0.9196089506149292, 540.0, 177.0, 0.904026985168457, 499.0, 181.0, 0.990651547908783, 535.0, 191.0, 0.16899201273918152]"
img_000001,"[517.0, 172.0, 0.9175159335136414, 506.0, 234.0, 1.0012317895889282, 456.0, 228.0, 0.9536195993423462, 381.0, 229.0, 0.8020752668380737, 326.0, 223.0, 0.6760651469230652, 559.0, 236.0, 0.9500830769538879, 617.0, 251.0, 0.7157829403877258, 673.0, 232.0, 0.7271685600280762, 463.0, 377.0, 0.9154781103134155, 451.0, 481.0, 0.8503831028938293, 442.0, 584.0, 0.8633502125740051, 531.0, 382.0, 0.882413387298584, 517.0, 485.0, 0.8444957137107849, 512.0, 583.0, 0.8846927285194397, 506.0, 161.0, 0.9344664812088013, 529.0, 161.0, 0.9077067375183105, 490.0, 173.0, 0.8858827352523804, 540.0, 173.0, 0.5578564405441284]"
img_001025,"[541.0, 184.0, 0.9440433979034424, 529.0, 232.0, 0.8989669680595398, 492.0, 228.0, 0.8677148222923279, 452.0, 286.0, 0.9789989590644836, 473.0, 347.0, 0.8935408592224121, 565.0, 236.0, 0.8734126687049866, 587.0, 297.0, 0.9186190366744995, 582.0, 368.0, 0.9680878520011902, 496.0, 358.0, 0.9112473726272583, 484.0, 460.0, 0.8761967420578003, 475.0, 551.0, 0.8042229413986206, 543.0, 364.0, 0.8899427652359009, 533.0, 465.0, 0.8424245715141296, 535.0, 566.0, 0.81293785572052, 534.0, 174.0, 0.9286484718322754, 547.0, 176.0, 0.915604293346405, 511.0, 179.0, 0.8746163845062256, 549.0, 187.0, 0.41237080097198486]"
img_001473,"[668.0, 196.0, 0.9550163745880127, 660.0, 250.0, 0.9309463500976562, 615.0, 243.0, 0.933349609375, 586.0, 323.0, 0.7212949991226196, 569.0, 392.0, 0.6532328724861145, 705.0, 260.0, 0.9023851156234741, 710.0, 352.0, 0.9693112373352051, 669.0, 419.0, 0.9487354755401611, 600.0, 400.0, 0.9306356310844421, 584.0, 521.0, 0.8783588409423828, 555.0, 634.0, 0.8987210988998413, 659.0, 411.0, 0.8865976929664612, 630.0, 533.0, 0.9109232425689697, 621.0, 650.0, 0.8788878321647644, 660.0, 187.0, 0.946174681186676, 676.0, 190.0, 0.9749376773834229, 643.0, 189.0, 0.8441243767738342, 690.0, 195.0, 0.7969123721122742]"
img_001089,"[593.0, 185.0, 0.925835907459259, 567.0, 240.0, 0.9190962314605713, 542.0, 240.0, 0.9431354999542236, 540.0, 327.0, 0.9467347264289856, 581.0, 393.0, 0.8714442253112793, 588.0, 242.0, 0.9160317778587341, 596.0, 320.0, 0.795570433139801, 621.0, 375.0, 0.8001750111579895, 550.0, 405.0, 0.9249365329742432, 568.0, 516.0, 0.8844772577285767, 542.0, 625.0, 0.8537957668304443, 583.0, 402.0, 0.8465580344200134, 578.0, 518.0, 0.8319770097732544, 539.0, 614.0, 0.8932561278343201, 583.0, 173.0, 0.9241948127746582, 598.0, 174.0, 0.8578149676322937, 555.0, 179.0, 0.9228948950767517, -1, -1, -1]"
img_001345,"[486.0, 187.0, 0.8841221928596497, 452.0, 219.0, 0.8521867394447327, 452.0, 219.0, 0.9200567603111267, 458.0, 280.0, 0.7648181915283203, 478.0, 325.0, 0.6124549508094788, 449.0, 219.0, 0.7369789481163025, 468.0, 260.0, 0.21779988706111908, 497.0, 300.0, 0.16841070353984833, 447.0, 341.0, 0.8887648582458496, 456.0, 436.0, 0.8586954474449158, 454.0, 533.0, 0.8910782933235168, 428.0, 338.0, 0.7770360708236694, 423.0, 436.0, 0.8141592144966125, 406.0, 514.0, 0.7994403839111328, 480.0, 179.0, 0.9128677248954773, 486.0, 178.0, 0.40482011437416077, 459.0, 180.0, 0.8576011657714844, -1, -1, -1]"
img_001537,"[541.0, 193.0, 0.8632140159606934, 584.0, 244.0, 0.8954029083251953, 567.0, 239.0, 0.8356372117996216, 546.0, 321.0, 0.37601998448371887, 512.0, 366.0, 0.3164937496185303, 599.0, 248.0, 0.9332263469696045, 585.0, 345.0, 0.8869045972824097, 539.0, 386.0, 0.8108192086219788, 550.0, 399.0, 0.7624282836914062, 545.0, 510.0, 0.8225977420806885, 553.0, 616.0, 0.828076958656311, 580.0, 406.0, 0.8486520648002625, 564.0, 515.0, 0.8203086853027344, 613.0, 628.0, 0.9140161871910095, 543.0, 186.0, 0.28548306226730347, 546.0, 185.0, 0.8672205805778503, -1, -1, -1, 575.0, 189.0, 0.9121558666229248]"
img_001729,"[516.0, 179.0, 0.8694548010826111, 502.0, 232.0, 0.9744642376899719, 460.0, 229.0, 0.9262903928756714, 418.0, 283.0, 1.0145100355148315, 418.0, 349.0, 0.959804356098175, 544.0, 237.0, 0.9349428415298462, 565.0, 293.0, 0.9084054827690125, 568.0, 357.0, 0.9575314521789551, 465.0, 357.0, 0.8754516243934631, 457.0, 452.0, 0.8949384689331055, 427.0, 553.0, 0.8865153789520264, 516.0, 360.0, 0.8777238726615906, 499.0, 458.0, 0.9538344740867615, 488.0, 554.0, 0.9424644708633423, 507.0, 169.0, 0.8700012564659119, 526.0, 169.0, 0.8343058824539185, 494.0, 178.0, 0.8398311138153076, 530.0, 183.0, 0.4732380211353302]"
