0,1
img_000065,"[666.0, 293.0, 0.599391520023346, 670.0, 317.0, 0.8260024785995483, 662.0, 319.0, 0.6936944723129272, 655.0, 338.0, 0.5856661796569824, 651.0, 361.0, 0.5286365747451782, 676.0, 316.0, 0.7136886119842529, 689.0, 334.0, 0.6483705043792725, 698.0, 360.0, 0.5804598331451416, 669.0, 363.0, 0.7391071915626526, 670.0, 407.0, 0.5118237137794495, 671.0, 447.0, 0.2648842930793762, 681.0, 363.0, 0.6972672939300537, 696.0, 405.0, 0.46971723437309265, 707.0, 434.0, 0.273330420255661, 664.0, 289.0, 0.535718560218811, 667.0, 289.0, 0.5966771245002747, 663.0, 293.0, 0.3593771755695343, 671.0, 295.0, 0.5525320768356323]"
img_001153,"[568.0, 268.0, 0.7519121766090393, 602.0, 294.0, 0.9400850534439087, 591.0, 294.0, 0.8277431726455688, 538.0, 320.0, 0.6248239278793335, 495.0, 316.0, 0.5480404496192932, 618.0, 293.0, 0.849590003490448, 655.0, 332.0, 0.6908427476882935, 627.0, 361.0, 0.5700687766075134, 602.0, 395.0, 0.8121458292007446, 610.0, 477.0, 0.8376032114028931, 621.0, 554.0, 0.8391819596290588, 613.0, 400.0, 0.8882409334182739, 601.0, 478.0, 0.8632291555404663, 603.0, 556.0, 0.8308404088020325, 569.0, 265.0, 0.3490668535232544, 574.0, 260.0, 0.7831889986991882, -1, -1, -1, 591.0, 260.0, 0.8752651810646057]"
img_000193,[]
img_000577,"[577.0, 279.0, 0.9094582796096802, 585.0, 307.0, 0.9175924062728882, 553.0, 310.0, 0.9296227693557739, 540.0, 347.0, 0.8566153645515442, 535.0, 380.0, 0.6402807235717773, 616.0, 308.0, 0.8700582981109619, 633.0, 349.0, 0.8655461072921753, 636.0, 378.0, 0.8904798030853271, 565.0, 399.0, 0.8991362452507019, 557.0, 473.0, 0.8396428823471069, 548.0, 550.0, 0.8278379440307617, 599.0, 401.0, 0.8858298063278198, 607.0, 479.0, 0.9313719868659973, 616.0, 554.0, 0.8512626886367798, 571.0, 273.0, 0.8320237398147583, 584.0, 271.0, 0.9097115993499756, 572.0, 280.0, 0.4263058304786682, 595.0, 275.0, 0.8061583042144775]"
img_000769,"[586.0, 276.0, 0.8501207232475281, 602.0, 303.0, 0.8648366332054138, 575.0, 308.0, 0.9004494547843933, 556.0, 349.0, 0.8169819116592407, 560.0, 381.0, 0.7730854153633118, 629.0, 301.0, 0.8838920593261719, 651.0, 338.0, 0.8301324844360352, 635.0, 372.0, 0.7614267468452454, 589.0, 394.0, 0.8893362283706665, 578.0, 471.0, 0.7820713520050049, 564.0, 549.0, 0.76368248462677, 627.0, 393.0, 0.9093660712242126, 623.0, 473.0, 0.9284621477127075, 623.0, 554.0, 0.8509705066680908, 583.0, 270.0, 0.7621654272079468, 591.0, 268.0, 0.8383228182792664, 587.0, 279.0, 0.3024923503398895, 606.0, 270.0, 0.7790834307670593]"
img_000833,"[570.0, 274.0, 0.8718775510787964, 579.0, 301.0, 0.9245406985282898, 548.0, 305.0, 0.9520459175109863, 540.0, 347.0, 0.7931662797927856, 539.0, 374.0, 0.6567420363426208, 606.0, 297.0, 0.8817429542541504, 626.0, 336.0, 0.8376975655555725, 625.0, 371.0, 0.8149183392524719, 570.0, 394.0, 0.8967213034629822, 556.0, 468.0, 0.8079292178153992, 547.0, 555.0, 0.796363115310669, 607.0, 391.0, 0.8803640007972717, 620.0, 469.0, 0.9009251594543457, 629.0, 553.0, 0.8656507134437561, 565.0, 267.0, 0.796885073184967, 578.0, 265.0, 0.8398345708847046, 558.0, 271.0, 0.44399386644363403, 586.0, 265.0, 0.7362262606620789]"
img_000257,[]
img_000961,"[627.0, 268.0, 0.9127962589263916, 632.0, 293.0, 0.9056987762451172, 601.0, 295.0, 0.9337236881256104, 582.0, 335.0, 0.8360264897346497, 583.0, 362.0, 0.7599949836730957, 664.0, 296.0, 0.8801493048667908, 673.0, 338.0, 0.8412178158760071, 667.0, 367.0, 0.8058162927627563, 609.0, 384.0, 0.8683808445930481, 596.0, 467.0, 0.8831099271774292, 591.0, 552.0, 0.9029800295829773, 643.0, 388.0, 0.8858786821365356, 634.0, 473.0, 0.9589846134185791, 632.0, 553.0, 0.8993326425552368, 622.0, 258.0, 0.8636817336082458, 633.0, 256.0, 0.9161386489868164, 621.0, 265.0, 0.48591601848602295, 645.0, 261.0, 0.7802664041519165]"
img_000321,"[551.0, 325.0, 0.6064990162849426, 573.0, 336.0, 0.9330174922943115, 551.0, 340.0, 0.9046673774719238, 545.0, 380.0, 0.7691532969474792, 545.0, 409.0, 0.6377243399620056, 589.0, 332.0, 0.8438583612442017, 616.0, 366.0, 0.8342642188072205, 614.0, 417.0, 0.7466927766799927, 576.0, 408.0, 0.8614969849586487, 555.0, 465.0, 0.787392258644104, 550.0, 544.0, 0.7044917941093445, 606.0, 404.0, 0.8389110565185547, 610.0, 468.0, 0.7891138195991516, 619.0, 541.0, 0.6713516712188721, 549.0, 322.0, 0.4566185772418976, 555.0, 322.0, 0.6122645139694214, 554.0, 320.0, 0.1553114950656891, 566.0, 317.0, 0.644579291343689]"
img_000641,"[499.0, 289.0, 0.9190070629119873, 524.0, 313.0, 0.9256535172462463, 497.0, 319.0, 0.9244099855422974, 476.0, 358.0, 0.8289869427680969, 452.0, 383.0, 0.7362539172172546, 551.0, 308.0, 0.8826291561126709, 558.0, 341.0, 0.7127192616462708, 481.0, 359.0, 0.5515305995941162, 534.0, 406.0, 0.9316112399101257, 538.0, 478.0, 0.7575708627700806, 546.0, 551.0, 0.643592357635498, 572.0, 400.0, 0.8666363954544067, 583.0, 477.0, 0.8388529419898987, 603.0, 549.0, 0.7492855191230774, 494.0, 283.0, 0.7954246997833252, 505.0, 284.0, 0.9619702696800232, 507.0, 280.0, 0.14784906804561615, 523.0, 280.0, 0.9196293950080872]"
