0,1
img_002497,"[501.0, 288.0, 0.9157300591468811, 482.0, 332.0, 0.9103185534477234, 439.0, 335.0, 0.8882534503936768, 384.0, 388.0, 0.8967565894126892, 417.0, 423.0, 0.7527761459350586, 525.0, 327.0, 0.9151707887649536, 573.0, 375.0, 0.7946714162826538, 583.0, 408.0, 0.7483415603637695, 466.0, 455.0, 0.8890841603279114, 455.0, 505.0, 0.8254550695419312, 472.0, 606.0, 0.9082750678062439, 532.0, 447.0, 0.8497771620750427, 586.0, 486.0, 0.9579636454582214, 582.0, 601.0, 0.9415684342384338, 492.0, 283.0, 0.948334813117981, 503.0, 280.0, 0.7073884010314941, 463.0, 289.0, 0.9632813930511475, -1, -1, -1]"
img_000065,"[541.0, 197.0, 0.9366798400878906, 510.0, 236.0, 0.9501954913139343, 468.0, 234.0, 0.9431151747703552, 415.0, 288.0, 0.9201695919036865, 395.0, 342.0, 0.8778470754623413, 551.0, 241.0, 0.9519625306129456, 580.0, 300.0, 0.9027844071388245, 602.0, 361.0, 0.9317631721496582, 476.0, 368.0, 0.8196230530738831, 506.0, 476.0, 0.855609118938446, 518.0, 589.0, 0.8605897426605225, 518.0, 370.0, 0.876836895942688, 476.0, 479.0, 0.8480739593505859, 446.0, 582.0, 0.8777002692222595, 534.0, 189.0, 0.9398308396339417, 546.0, 189.0, 0.8631373047828674, 507.0, 189.0, 0.9112756848335266, 533.0, 198.0, 0.13173255324363708]"
img_001153,"[458.0, 302.0, 0.8990523219108582, 440.0, 348.0, 0.8240271210670471, 414.0, 347.0, 0.7927135229110718, 427.0, 364.0, 0.32760491967201233, -1, -1, -1, 462.0, 347.0, 0.8037978410720825, 533.0, 392.0, 0.4767415523529053, 545.0, 398.0, 0.28961098194122314, 452.0, 464.0, 0.7094530463218689, 514.0, 449.0, 0.46889811754226685, 658.0, 438.0, 0.12849615514278412, 485.0, 447.0, 0.674463152885437, 571.0, 409.0, 0.5100369453430176, 660.0, 416.0, 0.4722141921520233, 450.0, 294.0, 0.9123138189315796, 457.0, 295.0, 0.5483388900756836, 419.0, 306.0, 0.8304056525230408, -1, -1, -1]"
img_002369,"[467.0, 279.0, 0.9098180532455444, 464.0, 323.0, 0.848241925239563, 432.0, 328.0, 0.8439774513244629, 411.0, 285.0, 0.6707733869552612, 434.0, 257.0, 0.506253182888031, 496.0, 317.0, 0.8308275938034058, 537.0, 264.0, 0.7831919193267822, 532.0, 222.0, 0.556774914264679, 460.0, 455.0, 0.9378100037574768, 461.0, 535.0, 0.9013919830322266, 452.0, 620.0, 0.8544334173202515, 510.0, 441.0, 0.8387095332145691, 577.0, 495.0, 0.9735928177833557, 578.0, 601.0, 0.9198049902915955, 454.0, 269.0, 0.7809325456619263, 471.0, 272.0, 0.7351593375205994, 436.0, 287.0, 0.6475308537483215, 491.0, 283.0, 0.26932191848754883]"
img_000193,"[478.0, 276.0, 0.9405808448791504, 464.0, 322.0, 0.9238811135292053, 427.0, 325.0, 0.9078630805015564, 407.0, 387.0, 0.9660001993179321, 447.0, 435.0, 0.8382039666175842, 501.0, 321.0, 0.9431724548339844, 528.0, 378.0, 0.8849443793296814, 529.0, 416.0, 0.8463751077651978, 446.0, 430.0, 0.927377462387085, 453.0, 497.0, 0.7647179961204529, 453.0, 584.0, 0.8843933939933777, 497.0, 425.0, 0.9071216583251953, 546.0, 487.0, 0.9552173614501953, 538.0, 598.0, 0.9165364503860474, 467.0, 269.0, 0.9592496752738953, 487.0, 266.0, 0.9126560688018799, 452.0, 276.0, 0.9410493969917297, 486.0, 279.0, 0.3390110731124878]"
img_000577,"[500.0, 286.0, 0.9326595664024353, 477.0, 328.0, 0.8967680335044861, 447.0, 328.0, 0.938271701335907, 434.0, 386.0, 0.8098611235618591, 487.0, 406.0, 0.895722508430481, 508.0, 329.0, 0.887943685054779, 528.0, 386.0, 0.7481709718704224, 513.0, 400.0, 0.5146849155426025, 456.0, 446.0, 0.9551506042480469, 505.0, 521.0, 0.659593403339386, 456.0, 558.0, 0.5900614857673645, 502.0, 441.0, 0.9334750771522522, 540.0, 521.0, 0.7037132978439331, 543.0, 614.0, 0.7171891331672668, 492.0, 280.0, 0.9549006819725037, 504.0, 278.0, 0.8058225512504578, 465.0, 283.0, 0.9386277794837952, -1, -1, -1]"
img_000769,"[501.0, 288.0, 0.9466625452041626, 477.0, 329.0, 0.9321338534355164, 440.0, 328.0, 0.9385035037994385, 403.0, 381.0, 0.8829858899116516, 414.0, 410.0, 0.7696697115898132, 513.0, 331.0, 0.9398632645606995, 537.0, 386.0, 0.7640746235847473, 547.0, 407.0, 0.7297630906105042, 457.0, 444.0, 0.91115403175354, 536.0, 504.0, 0.7476131916046143, 542.0, 616.0, 0.6372435092926025, 506.0, 439.0, 0.9330164194107056, 535.0, 503.0, 0.6327507495880127, 457.0, 562.0, 0.5851216912269592, 492.0, 282.0, 0.9644774794578552, 506.0, 281.0, 0.8551533818244934, 465.0, 284.0, 0.938277542591095, -1, -1, -1]"
img_002561,"[531.0, 317.0, 0.9179335832595825, 500.0, 339.0, 0.9448378682136536, 459.0, 337.0, 0.8762434720993042, 406.0, 388.0, 1.0055313110351562, 438.0, 453.0, 0.9027702212333679, 539.0, 340.0, 0.9128291010856628, 572.0, 397.0, 0.8356857895851135, 578.0, 434.0, 0.7392218112945557, 468.0, 444.0, 0.8690089583396912, 459.0, 505.0, 0.8346445560455322, 468.0, 602.0, 0.8783013820648193, 528.0, 438.0, 0.8099400997161865, 587.0, 486.0, 0.8663515448570251, 583.0, 599.0, 0.8883281350135803, 523.0, 309.0, 0.933482825756073, 535.0, 309.0, 0.6644849181175232, 496.0, 306.0, 0.9576167464256287, -1, -1, -1]"
img_000833,"[541.0, 313.0, 0.959251880645752, 500.0, 330.0, 0.9586522579193115, 473.0, 328.0, 0.8921163082122803, 440.0, 379.0, 0.9140815734863281, 436.0, 451.0, 0.8490837812423706, 527.0, 334.0, 0.9038549661636353, 521.0, 392.0, 0.531051516532898, 534.0, 431.0, 0.32364895939826965, 457.0, 442.0, 0.9699150919914246, 508.0, 513.0, 0.7139415740966797, 501.0, 596.0, 0.8117163777351379, 500.0, 437.0, 0.9367226958274841, 574.0, 496.0, 0.9684533476829529, 597.0, 599.0, 0.88233882188797, 535.0, 299.0, 0.9791088700294495, 542.0, 301.0, 0.48466166853904724, 506.0, 292.0, 0.9687997102737427, -1, -1, -1]"
img_002049,"[545.0, 423.0, 0.5437829494476318, 503.0, 425.0, 0.7904340028762817, 468.0, 423.0, 0.6846814155578613, 451.0, 481.0, 0.6415455937385559, 482.0, 471.0, 0.4776388108730316, 546.0, 422.0, 0.6611698865890503, 571.0, 471.0, 0.502783477306366, -1, -1, -1, 458.0, 482.0, 0.57126384973526, 462.0, 510.0, 0.8272088170051575, 464.0, 607.0, 0.9076761603355408, 514.0, 476.0, 0.5826483964920044, 582.0, 499.0, 0.9687584638595581, 580.0, 604.0, 0.9161535501480103, 540.0, 414.0, 0.5435494780540466, 550.0, 416.0, 0.3163788914680481, 517.0, 414.0, 0.6455056071281433, -1, -1, -1]"
