0,1
img_000065,"[501.0, 270.0, 0.9108743071556091, 513.0, 303.0, 0.8823482394218445, 483.0, 305.0, 0.8899788856506348, 461.0, 359.0, 0.8919912576675415, 452.0, 403.0, 0.8303199410438538, 545.0, 297.0, 0.9044280648231506, 567.0, 344.0, 0.8430253267288208, 578.0, 399.0, 0.8399519324302673, 497.0, 400.0, 0.8964841961860657, 501.0, 477.0, 0.7474424839019775, 502.0, 545.0, 0.5854838490486145, 539.0, 398.0, 0.8593398332595825, 543.0, 477.0, 0.7943854331970215, 558.0, 549.0, 0.6003750562667847, 495.0, 260.0, 0.9043200612068176, 508.0, 257.0, 0.902948260307312, 494.0, 266.0, 0.48497274518013, 527.0, 257.0, 0.810463547706604]"
img_001153,"[428.0, 281.0, 0.705409049987793, 407.0, 300.0, 0.8578705787658691, 392.0, 301.0, 0.8858442902565002, 378.0, 343.0, 0.8893583416938782, 404.0, 384.0, 0.7852351069450378, 414.0, 300.0, 0.7986732721328735, 422.0, 346.0, 0.39433449506759644, 430.0, 379.0, 0.3113115727901459, 396.0, 386.0, 0.8159851431846619, 413.0, 457.0, 0.683922529220581, 409.0, 539.0, 0.4503270387649536, 412.0, 383.0, 0.7579436898231506, 424.0, 457.0, 0.6242474317550659, 412.0, 532.0, 0.4384963810443878, 425.0, 277.0, 0.7238260507583618, -1, -1, -1, 413.0, 272.0, 0.7832210063934326, -1, -1, -1]"
img_000193,"[547.0, 271.0, 0.4901217818260193, 505.0, 301.0, 0.8541936278343201, 507.0, 305.0, 0.907724916934967, 508.0, 377.0, 0.8618319034576416, 570.0, 421.0, 0.7660649418830872, 501.0, 298.0, 0.7649571895599365, 522.0, 362.0, 0.21586786210536957, 577.0, 402.0, 0.1980757862329483, 501.0, 430.0, 0.8529453873634338, 520.0, 530.0, 0.8450260162353516, 507.0, 628.0, 0.8137987852096558, 496.0, 428.0, 0.7383518218994141, 494.0, 527.0, 0.7873425483703613, 479.0, 621.0, 0.7750687599182129, 545.0, 264.0, 0.5387861132621765, -1, -1, -1, 536.0, 253.0, 0.8417546153068542, -1, -1, -1]"
img_000577,"[540.0, 294.0, 0.8101099133491516, 549.0, 319.0, 0.9517025947570801, 524.0, 324.0, 0.907620370388031, 508.0, 360.0, 0.7015792727470398, 519.0, 366.0, 0.5072706937789917, 579.0, 317.0, 0.9163451790809631, 598.0, 345.0, 0.8085711598396301, 605.0, 376.0, 0.6798796057701111, 548.0, 406.0, 0.8942602872848511, 551.0, 467.0, 0.84633469581604, 558.0, 533.0, 0.7120992541313171, 581.0, 400.0, 0.8888717293739319, 579.0, 467.0, 0.828200101852417, 577.0, 533.0, 0.7819736003875732, 535.0, 288.0, 0.7670402526855469, 543.0, 287.0, 0.7970192432403564, 533.0, 288.0, 0.4387483298778534, 553.0, 286.0, 0.6497740745544434]"
img_000769,"[376.0, 342.0, 0.6259496212005615, 390.0, 360.0, 0.9015049934387207, 359.0, 361.0, 0.8883304595947266, 330.0, 400.0, 0.8164587616920471, 299.0, 441.0, 0.7938045859336853, 417.0, 357.0, 0.8439254760742188, 449.0, 384.0, 0.5715704560279846, 456.0, 417.0, 0.45379558205604553, 377.0, 464.0, 0.8531177639961243, 375.0, 539.0, 0.8304764032363892, 360.0, 611.0, 0.6902686953544617, 417.0, 460.0, 0.8690042495727539, 413.0, 539.0, 0.8614940047264099, 404.0, 614.0, 0.7318956255912781, 373.0, 334.0, 0.5450997352600098, 384.0, 334.0, 0.622524619102478, 371.0, 333.0, 0.29957452416419983, 397.0, 329.0, 0.5768090486526489]"
img_000833,"[565.0, 274.0, 0.6644555330276489, 551.0, 302.0, 0.8029122352600098, 541.0, 300.0, 0.7991853952407837, 524.0, 340.0, 0.6186608076095581, 528.0, 384.0, 0.5022786855697632, 568.0, 306.0, 0.7527310848236084, 573.0, 346.0, 0.5092124342918396, 569.0, 379.0, 0.4193456470966339, 537.0, 384.0, 0.7673829197883606, 544.0, 466.0, 0.5613248348236084, 541.0, 545.0, 0.4873633086681366, 550.0, 383.0, 0.7167877554893494, 553.0, 472.0, 0.605324387550354, 543.0, 547.0, 0.5902634263038635, 559.0, 269.0, 0.6426100730895996, 573.0, 268.0, 0.5662926435470581, 548.0, 271.0, 0.5873703956604004, 568.0, 274.0, 0.22526422142982483]"
img_002049,"[564.0, 277.0, 0.6898161172866821, 582.0, 290.0, 0.9300448298454285, 570.0, 289.0, 0.8186578750610352, 553.0, 326.0, 0.5248936414718628, 543.0, 346.0, 0.42639094591140747, 588.0, 291.0, 0.9054973721504211, 592.0, 324.0, 0.7972735166549683, 577.0, 354.0, 0.6880288124084473, 577.0, 363.0, 0.8676182627677917, 573.0, 425.0, 0.7520875930786133, 592.0, 489.0, 0.6601399779319763, 587.0, 365.0, 0.8573424220085144, 582.0, 422.0, 0.8307090997695923, 605.0, 491.0, 0.6834140419960022, 559.0, 269.0, 0.3874395489692688, 569.0, 275.0, 0.7138336896896362, 578.0, 276.0, 0.11191476881504059, 579.0, 271.0, 0.7794449329376221]"
img_000257,"[-1, -1, -1, 681.0, 298.0, 0.9205116629600525, 717.0, 301.0, 0.9542351365089417, 736.0, 366.0, 0.9583238959312439, 751.0, 417.0, 0.8485763072967529, 646.0, 297.0, 0.8589105010032654, 632.0, 355.0, 0.8781773447990417, 634.0, 403.0, 0.7566219568252563, 700.0, 410.0, 0.8612608909606934, 711.0, 499.0, 0.9373645782470703, 691.0, 583.0, 0.8036685585975647, 657.0, 410.0, 0.8580635190010071, 674.0, 494.0, 0.8695956468582153, 674.0, 579.0, 0.7766225337982178, -1, -1, -1, -1, -1, -1, 705.0, 254.0, 0.9084599614143372, 672.0, 250.0, 0.6664721965789795]"
img_000961,"[662.0, 275.0, 0.2720790505409241, 675.0, 289.0, 0.9434183239936829, 689.0, 290.0, 0.815967857837677, 709.0, 329.0, 0.5362303853034973, 705.0, 358.0, 0.3246517777442932, 664.0, 289.0, 0.9001297354698181, 654.0, 319.0, 0.7909547090530396, 649.0, 350.0, 0.6576603055000305, 681.0, 366.0, 0.8664432168006897, 675.0, 432.0, 0.8376558423042297, 674.0, 493.0, 0.7509670853614807, 664.0, 365.0, 0.9099482893943787, 662.0, 426.0, 0.8111916780471802, 663.0, 489.0, 0.6663089990615845, -1, -1, -1, 663.0, 269.0, 0.2926216125488281, 679.0, 266.0, 0.2536490261554718, 664.0, 265.0, 0.7483216524124146]"
img_001601,[]
