0,1
img_000065,"[-1, -1, -1, 612.0, 258.0, 0.8877904415130615, 642.0, 261.0, 0.8850846886634827, 659.0, 322.0, 0.8775703310966492, 668.0, 376.0, 0.8938441872596741, 579.0, 255.0, 0.8444697856903076, 549.0, 304.0, 0.9053934812545776, 534.0, 359.0, 0.8080580234527588, 623.0, 369.0, 0.8571519255638123, 623.0, 458.0, 0.899421215057373, 613.0, 544.0, 0.7827300429344177, 583.0, 368.0, 0.8323491811752319, 588.0, 452.0, 0.8316569924354553, 584.0, 540.0, 0.6933066248893738, -1, -1, -1, -1, -1, -1, 630.0, 219.0, 0.7727935314178467, 596.0, 215.0, 0.6068369150161743]"
img_001153,"[756.0, 203.0, 0.15818381309509277, 744.0, 253.0, 0.9368151426315308, 771.0, 253.0, 0.8922078013420105, 798.0, 311.0, 0.8380275368690491, 804.0, 362.0, 0.7985305786132812, 711.0, 254.0, 0.851812481880188, 676.0, 285.0, 0.7596947550773621, -1, -1, -1, 765.0, 356.0, 0.871241569519043, 773.0, 430.0, 0.8047671318054199, 768.0, 505.0, 0.7553418278694153, 723.0, 360.0, 0.8544818162918091, 738.0, 429.0, 0.8017811179161072, 745.0, 504.0, 0.7422540783882141, 756.0, 197.0, 0.17860832810401917, -1, -1, -1, 756.0, 207.0, 0.7654517292976379, 726.0, 215.0, 0.459137886762619]"
img_000193,"[552.0, 243.0, 0.7896718382835388, 575.0, 267.0, 0.8494532704353333, 553.0, 267.0, 0.788127064704895, 545.0, 311.0, 0.4829918146133423, 539.0, 325.0, 0.43589574098587036, 587.0, 261.0, 0.8971806764602661, 588.0, 297.0, 0.891640305519104, 558.0, 326.0, 0.7851893901824951, 570.0, 356.0, 0.8499273657798767, 571.0, 427.0, 0.7908974289894104, 579.0, 497.0, 0.8159342408180237, 589.0, 353.0, 0.885787844657898, 586.0, 425.0, 0.8470604419708252, 589.0, 499.0, 0.804389238357544, 546.0, 237.0, 0.6163994669914246, 557.0, 240.0, 0.7765993475914001, 560.0, 229.0, 0.11799800395965576, 571.0, 236.0, 0.7136432528495789]"
img_000577,"[-1, -1, -1, 737.0, 257.0, 0.9087323546409607, 772.0, 262.0, 0.8975551128387451, 790.0, 330.0, 0.9073562026023865, 795.0, 391.0, 0.8856154680252075, 696.0, 256.0, 0.8194077014923096, 667.0, 311.0, 0.9273300170898438, 658.0, 349.0, 0.7199989557266235, 755.0, 376.0, 0.8591314554214478, 757.0, 460.0, 0.8988693356513977, 765.0, 544.0, 0.8059796690940857, 711.0, 376.0, 0.8552055954933167, 718.0, 459.0, 0.9349309206008911, 718.0, 548.0, 0.8526338934898376, -1, -1, -1, -1, -1, -1, 756.0, 203.0, 0.8571476936340332, 720.0, 206.0, 0.6349439024925232]"
img_000769,"[461.0, 240.0, 0.7830851078033447, 468.0, 271.0, 0.8328602910041809, 455.0, 273.0, 0.8055184483528137, 452.0, 316.0, 0.5477578043937683, 456.0, 338.0, 0.3619128465652466, 492.0, 268.0, 0.8196930885314941, 505.0, 299.0, 0.6938146352767944, 506.0, 322.0, 0.5838671922683716, 467.0, 351.0, 0.7796316146850586, 481.0, 421.0, 0.5565415620803833, 484.0, 496.0, 0.3519725799560547, 498.0, 345.0, 0.8066073060035706, 500.0, 419.0, 0.5590305328369141, 501.0, 489.0, 0.3668775260448456, 458.0, 236.0, 0.7219667434692383, 465.0, 236.0, 0.7320982813835144, 456.0, 238.0, 0.3932976722717285, 478.0, 237.0, 0.5631532073020935]"
img_000833,"[339.0, 236.0, 0.9240642786026001, 350.0, 275.0, 0.8907449841499329, 317.0, 280.0, 0.9203107357025146, 308.0, 328.0, 0.8267425298690796, 306.0, 382.0, 0.730122983455658, 382.0, 269.0, 0.8878656029701233, 412.0, 307.0, 0.7515537738800049, 409.0, 368.0, 0.5147692561149597, 341.0, 377.0, 0.8925802707672119, 359.0, 462.0, 0.8955298066139221, 372.0, 540.0, 0.8542698621749878, 384.0, 373.0, 0.894051194190979, 383.0, 461.0, 0.8919278979301453, 390.0, 540.0, 0.7669196128845215, 331.0, 231.0, 0.9308657050132751, 348.0, 229.0, 0.9104123711585999, 324.0, 235.0, 0.7067116498947144, 361.0, 233.0, 0.845278799533844]"
img_000257,"[421.0, 239.0, 0.9054843783378601, 426.0, 271.0, 0.8900224566459656, 405.0, 274.0, 0.9052062034606934, 398.0, 313.0, 0.6683533191680908, 410.0, 323.0, 0.5548354983329773, 452.0, 268.0, 0.922203540802002, 465.0, 305.0, 0.9000372290611267, 458.0, 321.0, 0.9003503322601318, 417.0, 359.0, 0.9256457686424255, 422.0, 433.0, 0.8971441984176636, 444.0, 512.0, 0.7840778827667236, 451.0, 355.0, 0.9413819313049316, 446.0, 434.0, 0.81330406665802, 452.0, 508.0, 0.7684946656227112, 415.0, 234.0, 0.8704599142074585, 426.0, 234.0, 0.8660321831703186, 412.0, 237.0, 0.6248304843902588, 438.0, 236.0, 0.7407236695289612]"
img_000961,"[431.0, 232.0, 0.9281854629516602, 397.0, 277.0, 0.8994975686073303, 359.0, 284.0, 0.9264599680900574, 345.0, 369.0, 0.9266218543052673, 366.0, 440.0, 0.9021828770637512, 435.0, 269.0, 0.9010859131813049, 493.0, 283.0, 0.6138837337493896, 508.0, 275.0, 0.5023977756500244, 387.0, 424.0, 0.8404965996742249, 418.0, 539.0, 0.9410075545310974, 429.0, 671.0, 0.9490535259246826, 426.0, 416.0, 0.8703938126564026, 406.0, 534.0, 0.7049123048782349, 358.0, 631.0, 0.8940907120704651, 416.0, 225.0, 0.9697477221488953, 429.0, 224.0, 0.5666629076004028, 390.0, 231.0, 0.8669558167457581, -1, -1, -1]"
img_001601,"[-1, -1, -1, 713.0, 258.0, 0.9336166977882385, 753.0, 261.0, 0.8985215425491333, 774.0, 325.0, 0.9419814348220825, 794.0, 380.0, 0.8890347480773926, 672.0, 260.0, 0.8451226353645325, 645.0, 319.0, 0.9605810642242432, 668.0, 353.0, 0.5677542686462402, 742.0, 377.0, 0.8161999583244324, 745.0, 469.0, 0.8537726998329163, 733.0, 562.0, 0.8002983927726746, 696.0, 379.0, 0.8150859475135803, 717.0, 469.0, 0.8854841589927673, 720.0, 557.0, 0.7825738787651062, -1, -1, -1, -1, -1, -1, 728.0, 205.0, 0.8834424018859863, 694.0, 209.0, 0.6628934144973755]"
img_001665,"[-1, -1, -1, 729.0, 255.0, 0.9230372905731201, 762.0, 258.0, 0.9422906041145325, 782.0, 315.0, 0.8582473397254944, 787.0, 361.0, 0.716490626335144, 697.0, 256.0, 0.8452873229980469, 668.0, 302.0, 0.8874081373214722, 673.0, 321.0, 0.42334797978401184, 754.0, 357.0, 0.8559367060661316, 746.0, 433.0, 0.8299197554588318, 734.0, 498.0, 0.7451562285423279, 711.0, 358.0, 0.8575537204742432, 714.0, 426.0, 0.8775168657302856, 707.0, 496.0, 0.7310304045677185, -1, -1, -1, -1, -1, -1, 743.0, 209.0, 0.6859436631202698, 713.0, 212.0, 0.7355942130088806]"
